depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 3.707877 5.109918 6.182634 5.910478 6.622347 6.944717
0.100000 4.403009 5.754212 6.561945 6.354007 6.910904 7.184403
0.150000 5.169687 6.478273 6.927892 6.809167 7.215777 7.462223
0.220000 7.008575 7.204641 7.418677 7.424077 7.632522 7.872506
0.260000 7.244658 7.467818 7.714369 7.729987 7.997478 8.357274
0.300000 7.447413 7.701710 8.010310 8.057611 8.401982 8.918438
0.350000 7.744297 8.021429 8.445656 8.520611 9.026700 9.662459
0.400000 8.057189 8.357736 8.893996 8.977643 9.607550 10.284539
0.500000 8.674190 9.127620 9.854387 9.908528 10.713799 11.347630
0.575000 9.183908 9.745669 10.633188 10.601862 11.434474 11.982757
0.650000 9.796523 10.592852 11.417064 11.340789 12.102398 12.552829
0.730000 11.017476 11.750387 12.372435 12.320048 12.877936 13.361156
0.820000 12.089072 12.652780 13.157420 13.154461 13.688259 14.155921
0.910000 12.727028 13.288960 13.777151 13.784771 14.310744 14.838608
1.000000 13.400150 13.905244 14.361040 14.392327 14.905066 15.467150
1.100000 13.996853 14.581604 15.101851 15.132521 15.721029 16.371462
1.200000 14.717204 15.295414 15.824808 15.895269 16.532955 17.357558
1.300000 15.612436 16.071791 16.610077 16.697912 17.340623 18.282692
1.400000 16.268556 16.802738 17.454526 17.577886 18.332267 19.456831
1.500000 17.022633 17.584501 18.345885 18.430327 19.225285 20.301333
1.600000 17.578743 18.282029 19.151301 19.210671 20.206514 21.132675
1.700000 18.117687 18.981885 19.927781 19.958293 20.961078 21.855280
1.840000 18.971374 19.914665 20.988839 20.938342 21.960434 22.752889
1.980000 19.814522 20.848004 22.008328 21.895032 22.816403 23.526030
2.120000 20.906684 21.970481 22.977114 22.869850 23.698479 24.341361
2.260000 22.159288 23.244569 23.928184 23.871259 24.514535 25.072488
2.400000 24.011434 24.515770 24.964798 24.962565 25.410801 25.909949
2.500000 24.629037 25.246280 25.866338 26.068500 26.883480 28.492226
2.600000 25.211398 25.904156 26.904624 27.149500 28.446184 30.252544
2.700000 25.790152 26.513846 27.812458 28.087836 29.720581 31.927244
2.800000 26.307322 27.123631 28.604689 28.972678 30.863945 33.232366
2.900000 26.787922 27.688261 29.450625 29.817637 32.101997 34.645368
3.000000 27.320084 28.218953 30.265937 30.671238 33.198822 36.098437
3.100000 27.801990 28.854038 31.163512 31.509929 34.083713 37.532609
3.200000 28.355782 29.427388 32.029459 32.347448 35.160443 38.859065
3.325000 28.984385 30.204699 32.990256 33.372322 36.626386 40.304275
3.450000 29.603007 31.025395 33.956625 34.430751 38.018343 41.669570
3.575000 30.198605 31.801472 34.857337 35.469103 39.345836 43.023970
3.700000 30.788887 32.551520 35.821108 36.551406 40.876678 44.432341
3.800000 31.279083 33.241291 36.874236 37.470060 42.232396 45.216343
3.900000 31.842548 33.968757 38.072684 38.403581 43.300839 46.162462
4.010000 32.599459 34.722047 39.433743 39.439443 44.378554 46.942899
4.105000 33.224804 35.413639 40.191257 40.244307 45.120864 47.599243
4.200000 33.829310 36.081260 41.284455 41.022129 45.953411 48.354786
4.300000 34.465966 36.962157 42.371510 41.880046 46.835308 49.377995
4.400000 35.140367 37.769680 43.053826 42.682559 47.547331 50.129788
4.500000 35.734062 38.604209 43.768569 43.486521 48.362022 50.822860
4.600000 36.228863 39.540529 44.455165 44.311032 49.298339 51.804077
4.700000 36.910111 40.610388 45.205085 45.171172 50.137480 52.589205
4.833333 37.517326 41.729897 46.067967 46.318089 51.128278 53.682703
4.966667 38.185336 42.846482 47.176105 47.493387 52.142472 55.274366
5.100000 38.929922 43.982224 48.409074 48.683540 53.298797 56.736646
5.200000 39.500078 44.708989 49.017568 49.522958 54.195266 57.990301
5.300000 40.699477 45.494923 50.034537 50.401882 55.138346 59.289738
5.400000 42.133885 46.460396 51.015935 51.280978 56.017712 60.550977
