depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.175000 0.595990 2.048461 3.999330 3.851553 5.585553 6.332678
0.225000 1.419522 2.856573 4.869651 4.627731 6.179214 6.815768
0.275000 2.105767 3.732545 5.778395 5.397641 6.777404 7.367722
0.375000 4.341091 5.936370 7.230188 6.937603 7.822837 8.198994
0.450000 6.359871 7.630074 8.215130 8.074237 8.575214 8.935469
0.525000 8.627262 8.881005 9.109517 9.113615 9.361534 9.582274
0.555000 8.920634 9.194926 9.447862 9.452195 9.720880 9.995265
0.605000 9.375953 9.672952 9.966654 9.971468 10.267523 10.624121
0.655000 9.856642 10.162064 10.495578 10.496096 10.837830 11.196915
0.705000 10.331891 10.687650 11.051151 11.051960 11.393855 11.811110
0.725000 10.565160 10.942060 11.283888 11.304344 11.667384 12.098664
0.755000 10.970560 11.319344 11.692709 11.704619 12.088462 12.534855
0.805000 11.626671 12.018948 12.410446 12.424264 12.858643 13.301089
0.855000 12.365844 12.688318 13.109826 13.148976 13.640106 14.021837
0.905000 12.925339 13.274378 13.740482 13.764841 14.283783 14.624290
0.955000 13.486515 13.853077 14.290607 14.310953 14.796715 15.156394
1.005000 14.082522 14.503782 14.932630 14.910145 15.335145 15.675310
1.055000 14.839630 15.286479 15.662142 15.659908 16.042582 16.468894
1.075000 15.397462 15.788903 16.128630 16.143554 16.510851 16.926847
1.105000 15.984580 16.359097 16.791858 16.877521 17.396757 18.199920
1.155000 16.530711 16.994927 17.578854 17.779043 18.585192 20.119695
1.205000 17.001184 17.521413 18.237530 18.555383 19.677300 21.572713
1.305000 17.860886 18.516538 19.525209 19.919103 21.501007 23.592288
1.405000 18.796213 19.613844 20.816993 21.183338 23.027944 24.890474
1.505000 19.839237 20.794409 22.205361 22.540117 24.652035 26.340961
1.605000 21.070765 22.172835 24.396108 24.296530 26.318673 28.194571
1.705000 22.692278 24.089066 26.829824 26.656702 28.665386 30.970937
1.755000 23.314947 25.635096 28.179933 27.966881 30.075888 32.306620
1.805000 24.181213 26.802877 29.499122 29.189459 31.460350 33.357423
1.905000 26.487191 29.957125 32.328252 32.131443 34.536206 36.060952
2.005000 30.536746 35.059734 36.666056 36.367323 37.974659 38.881918
2.105000 35.258623 37.765265 39.192667 39.080485 40.492727 42.071637
2.205000 38.981763 40.135288 41.409820 41.431918 42.711688 44.105237
