depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.048384 0.153394 0.297298 0.295070 0.426101 0.560050
0.132500 0.705050 1.018363 1.387000 1.521269 1.972756 3.208965
0.255000 1.525727 1.930314 2.469880 2.690828 3.572138 4.823206
0.377500 2.364267 2.885979 3.625016 3.865670 4.925612 6.260616
0.500000 3.233162 3.929230 4.894054 5.048168 6.261077 7.431008
0.550000 3.766815 4.428948 5.499595 5.592429 6.769785 8.048122
0.600000 4.319497 4.986392 6.128367 6.173770 7.311924 8.575246
0.650000 4.722319 5.528536 6.713118 6.721592 7.830628 9.077589
0.700000 5.244268 6.077942 7.264527 7.277811 8.483155 9.551813
0.750000 5.806887 6.725266 7.787966 7.843860 9.021229 10.015405
0.800000 6.302141 7.307631 8.385607 8.429900 9.597594 10.520469
0.840000 6.759159 7.871612 8.894824 8.931409 10.093388 10.975165
0.900000 7.652124 8.714585 9.800672 9.770388 10.838668 11.554124
0.950000 8.438423 9.577694 10.540197 10.499650 11.532312 12.084578
1.010000 10.122705 11.051915 11.773764 11.706745 12.357099 12.722899
1.060000 11.417720 11.955115 12.548669 12.487463 12.973408 13.306561
1.100000 12.109884 12.643709 13.095980 13.050067 13.458762 13.746520
1.160000 12.868444 13.362124 13.725037 13.699201 14.057488 14.340629
1.190000 13.146395 13.662473 14.009931 13.993353 14.339388 14.626543
1.260000 13.780287 14.254517 14.576391 14.548776 14.854741 15.111473
1.320000 14.419373 14.750742 15.076234 15.042177 15.327047 15.585041
1.350000 14.702310 14.998913 15.303700 15.290158 15.563960 15.883209
1.400000 15.110043 15.384262 15.676249 15.674809 15.964726 16.308148
1.470000 15.639051 15.947476 16.250852 16.273885 16.580582 17.042227
1.510000 16.049069 16.364762 16.686335 16.769428 17.180639 18.024002
1.550000 16.609624 16.924978 17.486988 17.619155 18.338959 19.305709
1.660000 17.744031 18.658478 19.701363 19.673837 20.594227 21.537997
1.700000 18.324942 19.452779 20.522718 20.415611 21.277406 21.991463
1.750000 19.545282 20.992142 21.686674 21.540832 22.149457 22.492912
1.800000 22.142607 22.382732 22.612310 22.601534 22.825475 22.999471
1.810000 22.375465 22.555536 22.760241 22.758907 22.956935 23.139852
