depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.314803 0.568335 0.804705 0.794966 1.010038 1.227717
0.040000 0.397771 0.620459 0.863699 0.852362 1.061970 1.292394
0.060000 0.469757 0.694051 0.928776 0.917928 1.126772 1.345415
0.080000 0.521044 0.763973 1.009470 1.008886 1.229694 1.533590
0.100000 0.568264 0.827147 1.094126 1.103068 1.356598 1.711159
0.120000 0.612116 0.902271 1.177036 1.194687 1.470312 1.885988
0.140000 0.683698 0.970372 1.262565 1.286140 1.584705 2.021197
0.160000 0.753381 1.038654 1.353068 1.378286 1.700382 2.242876
0.180000 0.799210 1.104599 1.451828 1.474002 1.821001 2.428965
0.200000 0.824615 1.159565 1.541303 1.573256 1.963625 2.619344
0.240000 0.902088 1.296960 1.812283 1.889855 2.464141 3.246960
0.260000 0.934425 1.373528 1.910880 1.990960 2.588919 3.461191
0.280000 0.999816 1.428604 2.021570 2.088751 2.726819 3.586579
0.300000 1.046793 1.507863 2.116326 2.185601 2.842049 3.795859
0.320000 1.091112 1.610698 2.238344 2.290817 2.949278 3.911026
0.360000 1.198252 1.873270 2.621431 2.658604 3.405586 4.495633
0.380000 1.231224 1.949985 2.767721 2.773996 3.545494 4.685291
0.400000 1.273328 2.073393 2.883146 2.880862 3.672038 4.773303
0.420000 1.312876 2.180402 3.002714 2.992442 3.783196 4.946494
0.440000 1.353003 2.253969 3.155955 3.100232 3.874596 5.040210
0.460000 1.385029 2.330967 3.294425 3.213785 4.017919 5.165440
0.480000 1.419324 2.429465 3.416641 3.330126 4.142378 5.295186
0.500000 1.453034 2.522624 3.522155 3.441734 4.269253 5.393885
0.520000 1.489356 2.625117 3.629006 3.550196 4.422228 5.490386
0.540000 1.517850 2.722339 3.725916 3.661241 4.547089 5.537439
0.560000 1.548068 2.818939 3.834468 3.773429 4.665762 5.591062
0.580000 1.586064 2.876066 3.950118 3.879970 4.824803 5.743216
0.600000 1.611281 2.975780 4.043558 3.987365 4.973168 5.866423
0.620000 1.661155 3.089304 4.153871 4.098518 5.134338 5.929482
0.640000 1.690671 3.153285 4.279493 4.203063 5.267217 6.057699
0.660000 1.730212 3.238919 4.387678 4.310422 5.439936 6.146699
0.680000 1.775306 3.318026 4.497527 4.409770 5.543870 6.268592
0.700000 1.816171 3.389214 4.606489 4.510799 5.663847 6.385267
0.720000 1.862029 3.457098 4.708661 4.606293 5.795223 6.493292
0.740000 1.917370 3.556628 4.791601 4.695592 5.909561 6.571696
0.760000 1.971472 3.670917 4.887863 4.782280 6.007720 6.626404
0.780000 2.024428 3.727365 4.970800 4.869021 6.081063 6.710556
0.800000 2.119204 3.806387 5.050898 4.954307 6.170708 6.797162
0.840000 2.313079 4.043390 5.302847 5.204162 6.448363 7.102042
0.860000 2.372563 4.107006 5.379889 5.292752 6.554961 7.188872
0.880000 2.436308 4.164742 5.448778 5.380924 6.647986 7.297381
0.900000 2.517564 4.230858 5.540468 5.465962 6.721303 7.361735
0.920000 2.625898 4.307986 5.627790 5.552742 6.800766 7.446128
0.940000 2.712341 4.377479 5.717075 5.637869 6.883521 7.553424
0.960000 2.784141 4.483013 5.792539 5.727635 6.959678 7.634939
0.980000 2.872407 4.610804 5.879465 5.818571 7.014011 7.728078
1.000000 3.021883 4.784084 5.961035 5.910565 7.105082 7.845673
1.020000 3.151808 4.875107 6.058346 6.001690 7.174378 7.911032
1.040000 3.276073 4.973494 6.167049 6.092958 7.249050 8.001595
1.060000 3.364225 5.083027 6.277514 6.185808 7.331087 8.087987
1.080000 3.487045 5.135826 6.369588 6.275806 7.422576 8.134456
1.100000 3.650902 5.275695 6.475657 6.365201 7.500681 8.189069
1.120000 3.822342 5.400955 6.581156 6.456011 7.583929 8.251147
1.140000 3.905853 5.482987 6.680859 6.542530 7.662435 8.290619
1.160000 3.959936 5.571758 6.773036 6.633320 7.769940 8.361015
1.200000 4.352039 5.786117 7.115306 6.900388 7.981037 8.587560
1.220000 4.410754 5.857622 7.219052 6.987089 8.044051 8.653989
1.240000 4.501032 5.924752 7.294294 7.069251 8.113256 8.708269
1.260000 4.619072 6.045253 7.373040 7.151383 8.171421 8.780317
1.280000 4.713981 6.160804 7.449096 7.234679 8.251907 8.830472
1.300000 4.843423 6.257009 7.541847 7.319610 8.321756 8.894388
1.320000 5.020736 6.328855 7.625446 7.404342 8.385494 8.948514
1.340000 5.098997 6.468432 7.682767 7.482171 8.429653 9.008713
1.360000 5.210508 6.600656 7.741549 7.556858 8.489195 9.054893
1.380000 5.297963 6.688875 7.805180 7.630918 8.555036 9.125781
1.400000 5.324382 6.782031 7.855830 7.705204 8.626080 9.213282
1.420000 5.445673 6.875265 7.926928 7.783816 8.692239 9.260020
1.440000 5.535960 6.944206 7.981918 7.856369 8.747361 9.296912
1.460000 5.608321 7.046891 8.032118 7.924451 8.801206 9.333016
1.480000 5.768496 7.142772 8.091052 7.989988 8.882294 9.374269
1.520000 6.044072 7.356290 8.251537 8.153154 8.989282 9.470856
1.560000 6.248796 7.576166 8.399323 8.312587 9.104583 9.565201
1.580000 6.334273 7.665590 8.468033 8.378401 9.160800 9.633508
1.620000 6.534298 7.896176 8.576975 8.527495 9.259727 9.748687
1.640000 6.628989 7.957154 8.644163 8.590140 9.309523 9.800899
1.680000 6.994465 8.149433 8.767491 8.737970 9.419620 9.875251
1.700000 7.091150 8.215253 8.822145 8.795508 9.470818 9.931913
1.720000 7.146903 8.281636 8.873539 8.849451 9.514720 9.966899
1.740000 7.263956 8.326579 8.934351 8.904995 9.561728 10.011543
1.760000 7.345557 8.380624 8.987272 8.958118 9.608553 10.059145
1.780000 7.468294 8.439614 9.039485 9.011825 9.652432 10.095943
1.820000 7.649994 8.569331 9.135934 9.131655 9.758149 10.212527
1.840000 7.707946 8.610156 9.176146 9.182871 9.802467 10.245534
1.860000 7.752446 8.652311 9.223035 9.233184 9.838308 10.307491
1.880000 7.937245 8.696442 9.274211 9.284787 9.886369 10.334577
1.900000 8.002197 8.739963 9.323498 9.334427 9.937940 10.374791
1.920000 8.104695 8.784874 9.361181 9.383732 9.982910 10.429725
1.940000 8.166878 8.821615 9.408047 9.432832 10.035636 10.467327
1.960000 8.256158 8.863382 9.449611 9.480769 10.078370 10.516328
1.980000 8.321984 8.915631 9.487596 9.527763 10.119107 10.571387
2.000000 8.389513 8.959129 9.529438 9.572456 10.156756 10.609339
2.020000 8.450253 9.001193 9.576611 9.617057 10.188007 10.653377
2.040000 8.500864 9.041583 9.621249 9.659416 10.230597 10.687778
2.060000 8.588580 9.088201 9.661222 9.703378 10.270592 10.736517
2.080000 8.649040 9.127423 9.704717 9.748098 10.309508 10.793628
2.100000 8.691677 9.173613 9.761893 9.789813 10.339969 10.829307
2.120000 8.741302 9.214775 9.816034 9.832412 10.377239 10.879168
2.140000 8.775976 9.259754 9.860322 9.873349 10.407788 10.907077
2.160000 8.845157 9.306466 9.909960 9.914934 10.438408 10.959538
2.180000 8.890316 9.355032 9.962894 9.956207 10.478375 11.001373
2.200000 8.939507 9.391123 10.007770 9.998660 10.513119 11.033790
2.220000 9.003434 9.432556 10.053386 10.039515 10.551531 11.082695
2.240000 9.072882 9.492492 10.085009 10.079956 10.589762 11.132707
2.260000 9.127888 9.524384 10.125069 10.119606 10.630231 11.168782
2.280000 9.164732 9.594930 10.168617 10.159426 10.669288 11.202038
2.320000 9.278515 9.685556 10.253909 10.234259 10.725050 11.267915
2.340000 9.319664 9.736607 10.287190 10.272464 10.768184 11.308606
2.360000 9.355720 9.780681 10.338156 10.311695 10.801907 11.339910
2.380000 9.389101 9.819859 10.380115 10.349858 10.836914 11.378127
2.400000 9.424445 9.873528 10.413477 10.388684 10.866829 11.411118
2.420000 9.455489 9.919386 10.450628 10.428128 10.901097 11.455078
2.440000 9.515381 9.972720 10.486675 10.465363 10.937524 11.496401
2.460000 9.568042 10.010273 10.527521 10.503117 10.972193 11.525438
2.480000 9.602217 10.058447 10.566131 10.541454 11.006894 11.547440
