depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 1.522997 2.179794 2.874903 2.779435 3.358830 3.720925
0.040000 1.879782 2.630639 3.225786 3.134940 3.635953 3.974343
0.060000 2.386384 3.109173 3.560584 3.492455 3.921069 4.237968
0.100000 3.624412 3.904852 4.164842 4.167142 4.428699 4.684577
0.120000 3.997091 4.292188 4.623271 4.686078 5.061333 5.912901
0.140000 4.382743 4.740546 5.230743 5.323225 5.945359 6.730263
0.180000 5.204843 5.874030 6.702715 6.676570 7.407581 8.110402
0.200000 5.718635 6.600812 7.353940 7.310225 7.978954 8.733392
0.220000 6.234678 7.315975 7.987158 7.977785 8.725719 9.349628
0.260000 8.361596 8.982379 9.625618 9.610722 10.222170 10.769834
0.280000 8.836997 9.576264 10.199155 10.179640 10.791243 11.215577
0.300000 9.402122 10.146437 10.801285 10.767031 11.385288 11.882450
0.340000 12.315619 12.713381 13.121062 13.125949 13.544744 13.959239
0.360000 13.253395 13.581498 13.942805 13.935051 14.277966 14.629012
0.380000 14.102086 14.432512 14.840989 14.829269 15.211371 15.521052
0.420000 15.566921 15.891854 16.220369 16.209331 16.519710 16.803240
0.440000 16.273829 16.556873 16.806516 16.816352 17.074422 17.382681
0.460000 16.539305 16.822469 17.090579 17.090992 17.364390 17.673050
0.500000 16.938635 17.225639 17.492377 17.502334 17.799512 18.092534
0.520000 17.167660 17.431055 17.712141 17.726162 18.031222 18.320854
0.540000 17.360611 17.644341 17.930941 17.939341 18.250300 18.521784
0.580000 17.790896 18.061019 18.382101 18.379537 18.686109 18.983643
0.600000 18.018944 18.290473 18.623359 18.606407 18.908766 19.200661
0.620000 18.234966 18.535516 18.826750 18.825954 19.122339 19.418518
0.660000 18.597159 18.932481 19.226574 19.219843 19.518642 19.780023
0.680000 18.826912 19.131892 19.430716 19.430337 19.734552 20.001754
0.700000 18.995256 19.334796 19.645317 19.636130 19.953920 20.209334
0.740000 19.390511 19.720599 20.015585 20.008777 20.306829 20.571949
0.760000 19.587093 19.929809 20.223300 20.214234 20.498703 20.778698
0.780000 19.773497 20.139394 20.438249 20.418729 20.713349 20.976584
0.820000 20.166230 20.502472 20.807206 20.785338 21.059020 21.324459
0.840000 20.356452 20.693123 21.007827 20.981622 21.254202 21.518396
0.860000 20.568067 20.901330 21.197538 21.175775 21.442566 21.683985
0.900000 20.937520 21.259923 21.535806 21.517329 21.783465 21.988849
0.920000 21.148703 21.472653 21.727664 21.714098 21.966762 22.180640
0.940000 21.426957 21.692270 21.932808 21.922600 22.155941 22.365032
0.980000 21.942020 22.124980 22.322070 22.320471 22.500187 22.722349
1.000000 22.159781 22.356661 22.568484 22.585101 22.792705 23.109622
