depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 1.084296 2.078188 3.060099 2.902610 3.650180 4.026161
0.045000 1.356468 2.434919 3.332496 3.184244 3.883786 4.249934
0.085000 1.787566 2.778528 3.618566 3.475229 4.113686 4.425861
0.125000 2.221301 3.134112 3.860256 3.747530 4.320523 4.656005
0.165000 2.630052 3.497953 4.136002 4.034699 4.536606 4.829364
0.205000 3.116818 3.878773 4.397157 4.319132 4.753765 5.021679
0.245000 3.721596 4.300937 4.653981 4.624342 4.965643 5.248212
0.285000 4.363439 4.669923 4.942197 4.934000 5.206955 5.508095
0.305000 4.560752 4.854366 5.103036 5.095336 5.332855 5.637355
0.325000 4.719621 5.006657 5.282594 5.293684 5.576624 5.930264
0.365000 4.968407 5.368818 5.734030 5.799322 6.308551 6.890625
0.405000 5.282504 5.748495 6.323685 6.372128 7.026905 7.701667
0.485000 7.044335 7.782862 8.735547 8.695303 9.559678 10.205610
0.525000 7.742417 8.602698 9.444235 9.385878 10.155077 10.814469
0.565000 8.703363 9.431368 10.173588 10.139485 10.803420 11.488037
0.605000 9.944159 10.603325 11.178467 11.167848 11.775180 12.328117
0.645000 10.988288 11.821458 12.347874 12.325512 12.878010 13.352241
0.685000 12.136000 12.609996 13.122504 13.126472 13.668133 14.084891
0.725000 12.587752 13.056225 13.614724 13.605824 14.155428 14.443765
0.765000 13.084316 13.490074 14.059973 13.992497 14.436631 14.711660
0.805000 13.449435 13.860914 14.358087 14.301952 14.686425 14.949517
0.845000 13.820751 14.262582 14.628130 14.581122 14.904355 15.151675
0.885000 14.222600 14.600918 14.893057 14.868969 15.143024 15.371902
0.925000 14.616102 14.873102 15.113015 15.109559 15.344413 15.562665
0.965000 14.879842 15.098977 15.313771 15.314722 15.538100 15.736153
1.005000 15.092596 15.283024 15.499213 15.497944 15.719653 15.908472
1.045000 15.262247 15.462775 15.679777 15.675731 15.885787 16.059150
1.085000 15.458140 15.638373 15.845725 15.849664 16.063283 16.236201
1.125000 15.627298 15.815950 16.022378 16.026400 16.237655 16.425223
1.165000 15.800591 15.983799 16.186747 16.195381 16.406627 16.588354
1.205000 15.977123 16.150276 16.360173 16.364992 16.589999 16.778811
1.245000 16.136366 16.319696 16.527371 16.539029 16.758294 16.960427
1.285000 16.304664 16.477532 16.697414 16.706133 16.927474 17.131712
1.325000 16.465664 16.647284 16.867398 16.871187 17.093767 17.301005
1.365000 16.619143 16.798241 17.027757 17.035107 17.271922 17.472582
1.405000 16.784302 16.945957 17.181450 17.194305 17.437026 17.649516
1.445000 16.914109 17.101778 17.334862 17.352928 17.595075 17.835463
1.485000 17.058510 17.253317 17.489367 17.506969 17.757208 18.011872
1.525000 17.208569 17.406462 17.647064 17.663388 17.913296 18.164679
1.605000 17.435741 17.662248 17.921533 17.927084 18.199303 18.442078
1.645000 17.577660 17.815933 18.068573 18.080132 18.356423 18.615460
1.685000 17.742428 17.975976 18.220446 18.240259 18.515053 18.775684
1.725000 17.890547 18.125015 18.383246 18.399793 18.674357 18.953381
1.765000 18.060294 18.292026 18.550057 18.569250 18.844316 19.116268
1.805000 18.216864 18.453951 18.731092 18.737632 19.019469 19.270127
1.845000 18.398664 18.623508 18.903199 18.910046 19.179364 19.449613
1.885000 18.589207 18.797824 19.079081 19.087148 19.350776 19.601964
1.925000 18.780691 18.989251 19.259905 19.267382 19.526438 19.773734
1.965000 18.985225 19.200506 19.454045 19.454984 19.695937 19.936245
2.005000 19.207916 19.415084 19.655905 19.660251 19.897470 20.121033
