depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
1.325000 9.848383 10.220872 10.496158 10.475397 10.743600 10.968170
1.365000 10.249361 10.480460 10.708848 10.704299 10.941522 11.130076
1.375000 10.315441 10.528587 10.764745 10.759782 10.991130 11.182547
1.405000 10.510248 10.729957 10.980787 10.987272 11.245163 11.496879
1.445000 10.814844 11.052968 11.381328 11.394519 11.730945 12.041034
1.485000 11.148608 11.405696 11.721188 11.731931 12.057862 12.365648
1.525000 11.832698 12.080199 12.350964 12.360188 12.644713 12.935731
1.565000 12.117084 12.328066 12.606517 12.625302 12.924197 13.204139
1.605000 12.311694 12.546117 12.846027 12.861797 13.185070 13.464414
1.645000 12.435957 12.692232 13.035898 13.044303 13.378129 13.713430
1.685000 12.541721 12.827020 13.191101 13.194413 13.551078 13.906946
1.725000 12.646620 12.941134 13.346705 13.347390 13.743747 14.053400
1.765000 12.746835 13.053797 13.486197 13.490913 13.939087 14.255956
1.810000 12.862467 13.164239 13.641244 13.632659 14.093661 14.375256
1.845000 12.945959 13.260999 13.753820 13.736559 14.209924 14.465696
1.885000 13.050241 13.364955 13.869739 13.845853 14.307998 14.568476
1.925000 13.144192 13.463561 13.985567 13.948812 14.395293 14.654026
1.965000 13.241088 13.581156 14.092304 14.048720 14.476708 14.743248
2.005000 13.331969 13.684482 14.193741 14.144417 14.551936 14.811911
2.085000 13.499963 13.895075 14.336069 14.290516 14.645544 14.907263
2.125000 13.614387 14.012209 14.424656 14.380850 14.722205 14.989142
2.165000 13.722170 14.105295 14.513517 14.469910 14.797648 15.051698
2.205000 13.800605 14.206288 14.597946 14.554735 14.877635 15.122086
2.245000 13.908573 14.317146 14.686290 14.644465 14.944593 15.205909
2.285000 14.049537 14.419571 14.773368 14.736611 15.016926 15.273003
2.325000 14.169441 14.524248 14.867199 14.830696 15.103749 15.357681
2.365000 14.289109 14.631005 14.952696 14.921824 15.182350 15.437116
2.405000 14.424453 14.730502 15.048799 15.018599 15.273672 15.514348
2.445000 14.563349 14.848645 15.145028 15.122414 15.374491 15.609217
2.525000 14.798112 15.059039 15.309456 15.293608 15.520959 15.765645
2.565000 14.911117 15.165670 15.402484 15.393837 15.613718 15.840602
2.605000 15.019394 15.276726 15.496715 15.491368 15.693489 15.917506
2.645000 15.130443 15.393065 15.599964 15.593436 15.796122 16.007895
2.685000 15.248534 15.505778 15.695279 15.698500 15.890492 16.127727
2.725000 15.406890 15.629793 15.805996 15.814818 15.996757 16.237992
2.765000 15.537578 15.740942 15.910916 15.923233 16.095989 16.355936
2.805000 15.671284 15.856219 16.017486 16.030261 16.197460 16.444544
2.845000 15.801022 15.977865 16.137403 16.148086 16.309713 16.570504
2.885000 15.930071 16.107683 16.272403 16.280488 16.451552 16.687447
2.925000 16.097866 16.262125 16.435045 16.444210 16.621723 16.859740
2.965000 16.245190 16.425993 16.615990 16.636662 16.842561 17.185758
3.005000 16.401043 16.588149 16.810584 16.844556 17.085682 17.554135
3.045000 16.561853 16.786772 17.036751 17.102141 17.423260 17.969491
3.085000 16.875285 17.156805 17.509789 17.564430 17.993219 18.441242
3.125000 17.359499 17.707576 18.151327 18.171104 18.638576 19.103923
3.165000 17.722695 18.177195 18.687189 18.682340 19.190819 19.564287
3.205000 18.210104 18.670508 19.252819 19.190434 19.636386 20.011273
3.225000 18.391770 18.833453 19.438972 19.359504 19.781049 20.128110
3.245000 18.581154 19.059592 19.586668 19.523099 19.921859 20.222575
3.285000 19.435960 19.731529 20.009693 20.007753 20.288647 20.548050
3.325000 19.675586 19.967233 20.293230 20.309241 20.653329 21.066584
3.405000 20.048267 20.429616 20.952429 21.075565 21.799196 22.529900
3.485000 20.445383 20.932272 21.746838 21.790139 22.589433 23.586524
3.525000 20.618630 21.168402 22.003923 22.030060 22.813396 23.882646
3.565000 20.854347 21.385458 22.186166 22.242772 23.047186 24.236123
3.645000 21.164726 21.728598 22.541822 22.633096 23.426691 24.821841
3.685000 21.321785 21.912120 22.720411 22.820575 23.599074 24.975515
