depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.362316 0.610053 0.835056 0.837283 1.064645 1.296495
0.010000 0.398325 0.653264 0.867690 0.870893 1.098355 1.326163
0.050000 0.505184 0.783394 1.082125 1.119518 1.498285 1.862166
0.100000 0.595557 0.937349 1.398541 1.492187 2.116715 2.631169
0.140000 0.695918 1.040314 1.662660 1.757259 2.526196 3.206520
0.150000 0.719953 1.068134 1.693905 1.796686 2.593822 3.266611
0.180000 0.789134 1.147856 1.871500 2.000805 2.930245 3.683010
0.220000 0.853397 1.270481 2.198174 2.338918 3.491806 4.318315
0.250000 0.939341 1.336034 2.375525 2.544112 3.859115 4.739166
0.260000 0.954928 1.358417 2.402288 2.585390 3.906453 4.791613
0.300000 1.041182 1.448839 2.755520 2.954656 4.518637 5.444482
0.320000 1.075534 1.498565 2.855894 3.066191 4.702622 5.698123
0.340000 1.096786 1.561586 2.951692 3.177868 4.883527 5.925586
0.350000 1.112417 1.586223 2.977495 3.218007 4.936650 5.997240
0.360000 1.132563 1.614220 3.044944 3.259841 4.994648 6.055256
0.380000 1.162507 1.668838 3.167516 3.388500 5.183810 6.325723
0.400000 1.201999 1.729662 3.296656 3.517904 5.403528 6.575229
0.420000 1.246283 1.796498 3.405576 3.653614 5.647914 6.862409
0.440000 1.297501 1.863378 3.565943 3.789290 5.857642 7.087596
0.460000 1.338454 1.916060 3.685307 3.919593 6.068489 7.368540
0.480000 1.382778 1.996148 3.796141 4.049005 6.260709 7.636261
0.500000 1.440743 2.073874 3.937445 4.181985 6.452775 7.900275
0.530000 1.571731 2.206855 4.205297 4.448623 6.860959 8.364555
0.540000 1.605667 2.253391 4.252867 4.495442 6.906397 8.403105
0.570000 1.750451 2.515666 4.494587 4.764625 7.210067 8.845784
0.580000 1.781435 2.548997 4.547092 4.810055 7.266189 8.892665
0.600000 1.881747 2.686108 4.663430 4.922172 7.377159 8.938627
0.620000 1.949684 2.826648 4.799698 5.036266 7.485278 9.020194
0.640000 2.007603 2.984074 4.924923 5.145125 7.591909 9.122978
0.650000 2.052354 3.032670 4.945027 5.184207 7.628289 9.148546
0.660000 2.063134 3.081389 4.967110 5.220865 7.652616 9.180097
0.680000 2.124090 3.181468 5.073939 5.306521 7.728647 9.222419
0.730000 2.441909 3.739906 5.509577 5.678851 7.897534 9.347034
0.740000 2.473976 3.768452 5.555929 5.716819 7.937329 9.366946
0.780000 2.617590 4.057809 5.785993 5.937936 8.054377 9.478103
0.860000 2.856995 4.920656 6.645331 6.614384 8.478416 9.702466
0.900000 2.961936 5.120526 6.866467 6.830036 8.618703 9.833952
0.940000 3.051092 5.334605 7.099690 7.032859 8.774490 10.007080
0.950000 3.096999 5.358688 7.125016 7.067057 8.810655 10.019561
0.980000 3.245961 5.506766 7.239406 7.174230 8.920590 10.095361
1.020000 3.346143 5.626835 7.414814 7.325943 9.048684 10.177496
1.060000 3.496357 5.786554 7.589517 7.487388 9.170017 10.307974
1.140000 4.150843 6.197179 8.062705 7.893849 9.545408 10.586077
1.260000 4.960916 7.142405 8.747044 8.603104 10.153018 11.058913
1.380000 5.734639 7.999164 9.463081 9.304641 10.784152 11.516441
1.420000 5.835126 8.148854 9.603972 9.451377 10.911642 11.624793
1.460000 6.017803 8.296054 9.752063 9.587438 11.054180 11.771593
1.480000 6.108286 8.358466 9.825830 9.650477 11.102497 11.830808
1.530000 6.308360 8.626313 10.040884 9.845283 11.277585 11.988879
1.580000 6.636687 8.815894 10.221171 10.044048 11.454872 12.142749
1.620000 6.761846 9.007435 10.382468 10.208986 11.586487 12.257481
1.700000 7.487982 9.563752 10.891246 10.712586 11.989589 12.547961
1.740000 7.760862 9.724324 11.063221 10.886443 12.152140 12.686414
1.780000 7.920976 9.900342 11.209779 11.060350 12.308635 12.823186
