depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.008490 0.043496 0.125976 0.136681 0.226176 0.328992
0.100000 0.194826 0.305657 0.430701 0.484244 0.645133 1.103789
0.150000 0.345927 0.482445 0.634057 0.733009 0.999721 1.587441
0.200000 0.505032 0.658739 0.838165 0.975019 1.336642 2.137225
0.300000 0.783275 0.993691 1.263493 1.435187 1.936653 2.851445
0.350000 0.982098 1.182562 1.510320 1.701089 2.273055 3.153965
0.400000 1.140006 1.386643 1.776833 1.963099 2.608590 3.536208
0.500000 1.462841 1.745968 2.275852 2.459897 3.256841 4.288082
0.550000 1.631683 1.938444 2.546795 2.722265 3.549413 4.715094
0.600000 1.837346 2.153443 2.800272 2.970477 3.851717 4.939292
0.650000 2.005506 2.355068 3.090927 3.230022 4.110197 5.245465
0.700000 2.203515 2.572426 3.362303 3.481301 4.369815 5.522469
0.800000 2.556290 3.008439 3.838331 3.958208 4.942281 6.082622
0.850000 2.757002 3.210036 4.101325 4.214913 5.210269 6.395071
0.900000 2.941503 3.418637 4.394947 4.482795 5.476389 6.663590
0.950000 3.130338 3.650234 4.673618 4.744965 5.761805 6.852103
1.000000 3.331794 3.915042 4.958136 5.007137 6.052059 7.065791
1.050000 3.577846 4.178983 5.240083 5.287704 6.332692 7.280468
1.100000 3.781552 4.471030 5.524418 5.566351 6.589046 7.517070
1.150000 3.970107 4.783986 5.864854 5.849482 6.888858 7.715507
1.200000 4.213058 5.069084 6.162500 6.139235 7.170326 8.009986
1.250000 4.491067 5.384947 6.479561 6.427121 7.475412 8.250357
1.300000 4.757112 5.699885 6.719998 6.710623 7.761173 8.537838
1.350000 5.040734 6.049204 6.963547 6.976922 8.041686 8.787838
1.400000 5.302702 6.356502 7.219362 7.241055 8.245513 8.960562
1.450000 5.568801 6.637830 7.475087 7.511224 8.527177 9.210401
1.500000 5.926817 6.935592 7.769890 7.781865 8.734103 9.508171
1.550000 6.188940 7.230653 8.034118 8.062560 8.981982 9.754083
1.600000 6.483864 7.547602 8.303651 8.340746 9.244334 10.008437
1.650000 6.915999 7.797308 8.549273 8.604279 9.512215 10.216151
1.700000 7.231928 8.100460 8.852431 8.890910 9.778045 10.424120
1.750000 7.539504 8.383670 9.116379 9.154513 10.018386 10.663209
1.800000 7.892683 8.658156 9.401696 9.431466 10.293285 10.889891
1.850000 8.189118 8.928126 9.670861 9.692900 10.535523 11.102879
1.950000 8.778884 9.422360 10.137408 10.148710 10.953573 11.497467
2.000000 8.994979 9.654435 10.377419 10.377726 11.179460 11.689868
2.050000 9.309112 9.894534 10.609658 10.610284 11.393868 11.871162
2.100000 9.608643 10.175397 10.855002 10.861702 11.596437 12.070569
2.150000 9.869338 10.535337 11.132839 11.141228 11.814428 12.271331
2.200000 10.195644 10.926756 11.442908 11.444850 12.057027 12.463442
2.250000 10.644981 11.285857 11.749269 11.760235 12.311543 12.707883
2.350000 11.416939 11.902566 12.357032 12.353606 12.824336 13.140614
2.400000 11.673997 12.182244 12.658364 12.628342 13.087538 13.359395
2.450000 11.975749 12.552566 13.011686 12.966874 13.390975 13.653212
2.500000 12.183009 12.861889 13.319859 13.259651 13.643715 13.918201
2.550000 12.363450 13.176362 13.603090 13.527457 13.887555 14.140264
2.600000 12.561028 13.453340 13.847915 13.768796 14.107823 14.351161
2.650000 12.723581 13.708067 14.064142 13.992553 14.319586 14.561742
2.700000 12.897568 13.956611 14.281884 14.212871 14.531533 14.766738
2.750000 13.065048 14.183615 14.479809 14.419934 14.725135 14.986113
2.800000 13.256250 14.410690 14.693789 14.637573 14.931914 15.200742
2.850000 13.592867 14.632840 14.894878 14.849961 15.135498 15.396325
2.900000 13.994703 14.840118 15.092436 15.070006 15.379897 15.632326
2.950000 14.587509 15.079740 15.339911 15.362631 15.696057 16.023874
3.000000 15.346210 15.806662 16.283555 16.306768 16.831683 17.279558
3.050000 15.862584 16.290423 16.819467 16.882612 17.531838 18.256926
3.100000 16.315447 16.813096 17.419576 17.563086 18.417676 19.363170
3.150000 16.645679 17.285419 18.108655 18.235552 19.266320 20.418069
3.200000 16.877349 17.719163 18.910038 18.911814 20.044019 21.049634
3.250000 17.124869 18.263870 19.573177 19.498869 20.767028 21.555606
3.300000 17.344399 18.759638 20.206328 20.053374 21.315738 21.987301
3.350000 17.522335 19.180051 20.838500 20.567890 21.821309 22.422661
3.400000 17.760964 19.563703 21.403994 21.020182 22.212596 22.830036
3.500000 18.144693 20.444678 22.330272 21.877270 22.903694 23.538952
3.550000 18.416074 20.704267 22.661943 22.210194 23.198500 23.814254
3.600000 18.641937 20.996844 22.970551 22.529182 23.463755 24.093721
3.650000 18.956188 21.457792 23.240417 22.804472 23.718108 24.340177
3.700000 19.515071 21.858993 23.459723 23.066685 23.980802 24.609351
3.750000 19.852729 22.283676 23.697604 23.323462 24.230868 24.890430
3.800000 20.256973 22.610383 23.932292 23.582801 24.513518 25.157426
3.850000 20.627794 22.844526 24.165462 23.848417 24.793385 25.433481
3.900000 20.944130 23.119302 24.385861 24.105919 25.053649 25.679083
3.950000 21.250187 23.458116 24.616828 24.368262 25.344446 25.983747
4.000000 21.560681 23.738921 24.879024 24.624204 25.608169 26.205090
4.050000 21.943845 23.965172 25.115796 24.886306 25.892327 26.458519
4.100000 22.172075 24.275904 25.333543 25.144674 26.126250 26.677796
4.150000 22.408246 24.584244 25.573793 25.404429 26.357127 26.916510
4.200000 22.692145 24.854455 25.829150 25.669960 26.607470 27.154696
4.250000 23.068206 25.169105 26.126318 25.959292 26.874149 27.476648
4.300000 23.624700 25.530238 26.397417 26.272036 27.152954 27.800459
4.400000 24.906257 26.343075 26.991036 26.998513 27.765718 28.722622
4.500000 26.433133 27.122260 27.806520 27.907594 28.747861 29.984643
4.600000 27.246826 27.921556 28.825398 28.832553 29.648866 30.985359
4.700000 27.704120 28.675232 29.601373 29.688399 30.810609 32.144277
4.800000 28.229589 29.311200 30.496542 30.520609 31.822916 32.870349
4.900000 28.792627 29.945978 31.406359 31.311335 32.617156 33.642723
5.000000 29.455398 30.668502 32.264111 32.144395 33.413434 34.427388
5.100000 30.135796 31.520034 33.379811 33.114361 34.413505 35.160051
5.200000 30.696879 32.700558 34.171175 33.886363 34.984213 35.632298
5.300000 31.299928 33.490588 34.806453 34.540885 35.547156 36.030238
5.400000 32.335250 34.232307 35.247374 35.084831 35.984981 36.469888
5.500000 33.672091 34.895023 35.728283 35.635676 36.462721 36.976472
5.600000 34.772353 35.531700 36.184475 36.190330 36.903256 37.466537
5.700000 35.348727 36.078937 36.706674 36.691928 37.331300 37.862816
5.800000 35.886141 36.644889 37.212249 37.189114 37.757050 38.335864
5.900000 36.526074 37.128540 37.677619 37.666463 38.177379 38.803051
6.000000 37.155020 37.652917 38.146018 38.163110 38.671844 39.342386
6.100000 37.629376 38.187531 38.710386 38.770042 39.370564 40.240910
6.200000 38.161462 38.700320 39.310707 39.423082 40.173681 41.297442
6.300000 38.578851 39.196696 39.929452 40.075269 41.055193 42.339271
6.400000 39.114769 39.787152 40.628760 40.770826 41.859804 42.922885
6.500000 39.638105 40.342207 41.343481 41.455918 42.739607 43.692062
6.600000 40.123802 41.062960 41.995767 42.096970 43.303055 44.155445
6.700000 40.905384 41.738795 42.735990 42.769143 43.926032 44.653137
6.800000 41.584357 42.300488 43.447892 43.417304 44.516315 45.116607
6.900000 42.035805 42.710407 44.115592 43.977952 45.129426 45.749692
7.000000 42.423181 43.167039 44.687821 44.505849 45.663603 46.461726
7.100000 42.802259 43.570576 45.247356 45.008865 46.187866 47.031561
7.200000 43.223480 43.963986 45.832592 45.523057 46.756252 47.666380
7.300000 43.668316 44.332339 46.390846 46.052904 47.323222 48.299211
7.400000 44.076023 44.723508 46.901353 46.560535 47.924484 48.825142
7.500000 44.474776 45.167743 47.357949 47.032783 48.424808 49.456340
