depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.046759 0.234675 0.508398 0.513876 0.776500 1.009382
0.040000 0.152350 0.339008 0.614907 0.612346 0.862467 1.076469
0.120000 0.370455 0.561893 0.794797 0.793813 1.027708 1.229203
0.200000 0.565805 0.762525 0.978626 0.978349 1.193225 1.367913
0.245000 0.709750 0.891836 1.090587 1.090542 1.295605 1.451494
0.322500 0.858549 1.069580 1.299078 1.324555 1.563502 1.955186
0.400000 1.007650 1.237569 1.525720 1.560710 1.872576 2.369513
0.500000 1.196414 1.467291 1.802114 1.871218 2.282833 2.861059
0.600000 1.381447 1.705535 2.101934 2.196957 2.711313 3.388017
0.733333 1.669177 2.020109 2.568038 2.659994 3.338608 4.153411
0.866667 1.910997 2.321205 3.020817 3.123371 3.896817 4.879670
1.000000 2.178855 2.643908 3.468202 3.570483 4.469847 5.513218
1.100000 2.359623 2.903373 3.824471 3.898885 4.817278 6.021179
1.200000 2.545010 3.163328 4.182553 4.229218 5.184078 6.384586
1.300000 2.776513 3.489972 4.553157 4.566580 5.553717 6.764429
1.400000 2.968719 3.777837 4.875926 4.900891 5.898980 7.171678
1.500000 3.181651 4.144155 5.192407 5.221129 6.266419 7.451456
1.600000 3.422547 4.499577 5.511813 5.538741 6.571163 7.735160
1.700000 3.664120 4.847394 5.863741 5.850041 6.890361 8.064801
1.800000 3.930043 5.112703 6.190499 6.167786 7.193021 8.320203
1.900000 4.150621 5.457843 6.554214 6.492965 7.560008 8.550969
2.000000 4.491650 5.802956 6.862324 6.810526 7.883954 8.831599
2.100000 4.839257 6.181267 7.198120 7.160520 8.216624 9.093853
2.200000 5.142957 6.501292 7.501594 7.486189 8.487554 9.376106
2.300000 5.623886 6.927156 7.860256 7.831999 8.777822 9.660082
2.400000 6.069018 7.315454 8.204465 8.184256 9.114157 9.940270
2.500000 6.450035 7.777020 8.583238 8.560601 9.418329 10.261070
2.600000 7.074012 8.237378 8.987775 8.963668 9.768087 10.592280
2.700000 7.655758 8.608899 9.329005 9.320337 10.109235 10.867515
2.800000 8.146165 9.000734 9.721853 9.679427 10.388398 11.065812
2.900000 8.575257 9.371969 10.051801 10.013647 10.647549 11.283474
3.000000 9.007632 9.727242 10.402100 10.361173 10.941038 11.532468
3.100000 9.565873 10.215982 10.834885 10.773361 11.286111 11.793575
3.200000 10.063974 10.664614 11.198950 11.169093 11.656198 12.105439
3.300000 10.468325 11.086617 11.540812 11.522798 11.978699 12.381273
3.400000 10.979807 11.421376 11.833744 11.827298 12.252920 12.611600
3.500000 11.318929 11.740332 12.151269 12.131362 12.527223 12.934522
3.600000 11.708787 12.103442 12.488544 12.490437 12.865133 13.288524
3.700000 12.161103 12.482090 12.838381 12.857794 13.234044 13.635195
3.800000 12.531104 12.843029 13.180260 13.206965 13.601120 14.018504
3.900000 12.792356 13.114276 13.474306 13.487605 13.889042 14.257380
4.000000 12.986842 13.336871 13.723945 13.729370 14.124935 14.485034
4.040000 13.123479 13.459218 13.852434 13.845321 14.233711 14.582693
4.080000 13.214645 13.584133 13.966489 13.959174 14.336465 14.684015
4.100000 13.283725 13.637249 14.026683 14.016206 14.397699 14.738746
4.120000 13.332686 13.690884 14.072940 14.067794 14.438085 14.776019
4.160000 13.468628 13.804541 14.174953 14.172268 14.535275 14.880125
4.200000 13.580826 13.910497 14.286359 14.273658 14.625801 14.956993
4.240000 13.735047 14.029292 14.379883 14.377129 14.717921 15.043761
4.280000 13.859065 14.139323 14.481444 14.484559 14.831801 15.130932
4.300000 13.918244 14.207857 14.545245 14.544026 14.887095 15.189424
4.320000 13.992604 14.284290 14.597324 14.603800 14.942525 15.225962
4.360000 14.114846 14.410274 14.706103 14.716007 15.043345 15.309062
4.400000 14.215897 14.549780 14.815263 14.828410 15.139490 15.430840
4.440000 14.379755 14.688884 14.951326 14.955082 15.252931 15.525320
4.480000 14.528008 14.809221 15.079662 15.080679 15.367608 15.638416
4.500000 14.595223 14.860515 15.146510 15.142924 15.427035 15.723350
4.520000 14.662216 14.923847 15.203742 15.203263 15.486911 15.803533
4.560000 14.773790 15.035136 15.320962 15.320334 15.593111 15.922204
4.600000 14.904389 15.142183 15.435878 15.431766 15.701333 16.044208
4.640000 15.014919 15.257252 15.560611 15.551624 15.816009 16.172054
4.680000 15.101914 15.379043 15.691806 15.693733 15.994788 16.327661
4.700000 15.145438 15.431230 15.764583 15.759249 16.058417 16.397039
4.720000 15.183892 15.497045 15.825547 15.825513 16.144065 16.476679
4.760000 15.307310 15.633903 15.961477 15.961692 16.295743 16.602836
4.800000 15.391104 15.719626 16.074090 16.086525 16.440880 16.753287
4.840000 15.474822 15.819977 16.173563 16.193508 16.551682 16.917676
4.880000 15.555927 15.915572 16.286753 16.292346 16.644162 17.043252
4.900000 15.591292 15.972025 16.341443 16.351360 16.706117 17.098050
4.920000 15.654279 16.022923 16.404041 16.408550 16.765336 17.203461
4.960000 15.737024 16.117405 16.506207 16.520772 16.895110 17.416542
5.000000 15.812210 16.202886 16.636213 16.631186 17.005946 17.605586
5.040000 15.892335 16.286976 16.751634 16.743486 17.132886 17.819578
5.080000 15.959339 16.370652 16.856648 16.855136 17.266559 18.078930
5.100000 16.002191 16.417711 16.900330 16.905677 17.337301 18.143611
5.120000 16.049453 16.466029 16.946682 16.954756 17.383090 18.228801
5.160000 16.140160 16.554885 17.033264 17.048337 17.500792 18.365561
5.200000 16.221295 16.630595 17.118241 17.143095 17.616479 18.490206
5.240000 16.302160 16.716989 17.206258 17.242826 17.721881 18.648627
5.280000 16.364551 16.826379 17.289939 17.343455 17.823045 18.837174
5.300000 16.405029 16.872800 17.333003 17.393598 17.874546 18.898094
5.320000 16.454617 16.913107 17.377495 17.444975 17.946989 18.975622
5.360000 16.547417 17.017218 17.478587 17.544934 18.024849 19.102614
5.400000 16.634580 17.132314 17.567925 17.646611 18.129845 19.234957
5.440000 16.724379 17.235514 17.651810 17.752273 18.284808 19.369893
5.480000 16.805851 17.339026 17.748267 17.856243 18.411788 19.454655
5.500000 16.844528 17.382039 17.794103 17.905964 18.470074 19.513929
5.520000 16.883466 17.427420 17.843076 17.957211 18.548193 19.611662
5.560000 16.968656 17.507238 17.943403 18.058855 18.681804 19.790659
5.600000 17.055693 17.593370 18.037436 18.153093 18.773017 19.948345
5.640000 17.109675 17.676682 18.131263 18.249858 18.859650 20.084384
5.680000 17.178662 17.755406 18.225436 18.343148 18.941655 20.144814
5.700000 17.212936 17.797328 18.273930 18.389704 18.989022 20.206889
