depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 0.002075 0.018591 0.075931 0.096209 0.176599 0.313655
0.100000 0.103647 0.165960 0.238344 0.248975 0.337507 0.458332
0.150000 0.229154 0.308052 0.393988 0.400599 0.492175 0.626245
0.170000 0.292134 0.377536 0.461731 0.470934 0.563269 0.698742
0.200000 0.381925 0.471546 0.578763 0.595005 0.700449 0.914076
0.250000 0.517544 0.626461 0.753331 0.804394 0.960351 1.476114
0.300000 0.655289 0.783407 0.938300 1.021165 1.247724 2.022630
0.350000 0.791551 0.934191 1.108579 1.227586 1.530335 2.357760
0.400000 0.939592 1.099152 1.293449 1.436923 1.806945 2.772980
0.450000 1.102246 1.256895 1.481989 1.653553 2.074653 3.047954
0.490000 1.235520 1.400670 1.653405 1.842198 2.337548 3.302453
0.540000 1.395549 1.574228 1.902676 2.088427 2.671473 3.725441
0.590000 1.549399 1.752317 2.122136 2.330323 2.970174 4.123994
0.640000 1.708349 1.920382 2.373149 2.569016 3.259105 4.530938
0.690000 1.873540 2.106191 2.630081 2.809275 3.509560 4.760693
0.740000 2.030663 2.319420 2.887673 3.060736 3.770154 5.065237
0.790000 2.200270 2.526073 3.160601 3.306969 4.023983 5.376278
0.840000 2.374119 2.734461 3.474397 3.563182 4.310548 5.689873
0.890000 2.559601 2.921330 3.777478 3.824613 4.590715 5.905811
0.940000 2.726779 3.121585 4.058039 4.081506 4.876280 6.128518
0.990000 2.893452 3.337718 4.364801 4.345531 5.142381 6.364568
1.030000 3.028303 3.527031 4.613566 4.556426 5.379878 6.587182
1.080000 3.158122 3.756416 4.852164 4.799724 5.605786 6.826650
1.130000 3.352748 3.932342 5.071341 5.025304 5.913163 7.010449
1.180000 3.501448 4.108716 5.269995 5.242074 6.190681 7.221686
1.230000 3.692078 4.335550 5.457037 5.458511 6.490382 7.406111
1.280000 3.848491 4.542893 5.667992 5.660793 6.687533 7.571113
1.330000 4.045359 4.738362 5.896686 5.872926 6.918186 7.787986
1.380000 4.230505 4.945293 6.121201 6.087899 7.156274 8.014820
1.430000 4.423832 5.160625 6.342729 6.308885 7.392405 8.161632
1.500000 4.654133 5.488491 6.620516 6.614804 7.703538 8.460722
1.550000 4.917418 5.787566 6.837058 6.852820 7.936446 8.700953
1.600000 5.127927 6.085240 7.086480 7.082459 8.149236 8.900100
1.650000 5.392158 6.367082 7.296555 7.332706 8.361563 9.131518
1.700000 5.666062 6.664534 7.538758 7.581703 8.601031 9.324193
1.750000 5.898874 6.991269 7.791990 7.848683 8.864418 9.592563
1.800000 6.165614 7.337043 8.062443 8.115234 9.074289 9.852749
1.850000 6.373490 7.628130 8.370072 8.393377 9.309902 10.031703
1.900000 6.642101 7.889415 8.657011 8.643959 9.515817 10.194648
2.010000 7.152947 8.349769 9.095768 9.114013 10.010122 10.601126
2.030000 7.284465 8.438698 9.198168 9.206851 10.081335 10.682724
2.080000 7.554099 8.649587 9.441841 9.426115 10.270586 10.860369
2.130000 7.862070 8.895263 9.658748 9.650703 10.482337 11.056409
2.180000 8.188474 9.153672 9.895320 9.890588 10.662245 11.238195
2.255000 8.732373 9.568211 10.276909 10.251743 10.961213 11.468699
2.330000 9.214099 9.969009 10.650846 10.610908 11.265620 11.739760
2.380000 9.530140 10.265935 10.913702 10.869630 11.501913 11.936356
2.430000 9.861203 10.570476 11.202985 11.151464 11.745099 12.135792
2.480000 10.247896 10.924699 11.512730 11.458849 12.006273 12.352095
2.510000 10.510375 11.172793 11.708581 11.668018 12.175104 12.509137
2.560000 11.113762 11.623049 12.051829 12.028702 12.454191 12.804784
2.610000 11.547048 11.974871 12.388477 12.366418 12.764568 13.107198
2.660000 11.840595 12.292653 12.670536 12.648777 13.026811 13.357002
2.710000 12.154211 12.561458 12.921562 12.912417 13.282046 13.588170
2.760000 12.492554 12.821242 13.184901 13.176878 13.515429 13.847584
2.810000 12.814176 13.122656 13.485068 13.471952 13.810182 14.126309
2.860000 13.063360 13.420583 13.778399 13.760248 14.098372 14.400492
2.910000 13.355960 13.743721 14.065885 14.060535 14.390888 14.656165
3.000000 13.877421 14.274020 14.598356 14.585603 14.900004 15.203177
3.050000 14.159193 14.528029 14.879028 14.848189 15.150475 15.467079
3.100000 14.466131 14.861591 15.177525 15.161022 15.459717 15.776228
3.150000 14.881391 15.221596 15.537538 15.537260 15.867500 16.199231
3.200000 15.343590 15.676812 16.041408 16.065887 16.435529 16.943263
3.250000 16.042489 16.509510 17.029285 17.046610 17.596750 18.135910
3.300000 16.602507 17.039580 17.607486 17.621524 18.202956 18.789581
3.350000 16.964364 17.417607 18.025036 18.056781 18.676552 19.365822
3.400000 17.230190 17.718822 18.426503 18.439755 19.132326 19.931320
3.450000 17.440075 18.043159 18.816290 18.823658 19.571608 20.382038
3.500000 17.669232 18.352461 19.153676 19.171794 19.948030 20.786597
3.530000 17.878139 18.545330 19.360685 19.364210 20.146596 20.923010
3.580000 18.243072 18.870818 19.660185 19.669149 20.482833 21.173313
3.630000 18.535001 19.192324 19.987276 19.969410 20.776184 21.408589
3.680000 18.881524 19.512149 20.305974 20.265701 21.024145 21.677336
3.730000 19.163962 19.818830 20.602081 20.554301 21.267789 21.886020
3.780000 19.476262 20.156896 20.894261 20.849149 21.502878 22.071513
3.830000 19.905337 20.521518 21.218909 21.164046 21.765338 22.284279
3.880000 20.287038 20.899180 21.498977 21.460670 21.999098 22.484908
3.940000 20.827432 21.342529 21.862646 21.832536 22.328506 22.723100
3.980000 21.092268 21.664853 22.136183 22.100308 22.560785 22.922139
4.010000 21.387117 21.880746 22.348299 22.306970 22.736752 23.049445
4.060000 21.934639 22.371046 22.704485 22.685870 23.032034 23.276768
4.110000 22.565386 22.787160 23.055040 23.051695 23.303750 23.534224
4.120000 22.622812 22.863248 23.119062 23.119400 23.370571 23.598175
4.160000 22.831978 23.107953 23.406292 23.412159 23.711624 24.103203
4.210000 23.067426 23.382271 23.741141 23.782257 24.177644 24.813873
4.260000 23.260330 23.657540 24.083923 24.153209 24.644396 25.382930
