depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.366264 1.636760 3.570637 3.177385 4.401623 4.868616
0.100000 1.762490 3.010914 4.326443 4.067558 4.987527 5.394352
0.200000 2.868309 4.269723 5.113577 4.936618 5.568608 5.942093
0.300000 5.509578 5.746830 5.982829 5.993876 6.236641 6.459367
0.400000 6.194562 6.601444 7.074309 7.246281 7.962872 9.098936
0.500000 8.226478 9.257446 10.741505 10.512256 11.586017 12.204207
0.600000 12.170032 12.617191 13.089893 13.066573 13.484942 13.917262
0.700000 13.012381 13.473088 13.836679 13.816406 14.161216 14.511697
0.800000 13.707236 14.076723 14.462148 14.434430 14.785465 15.098003
0.900000 14.548968 14.904068 15.206399 15.196988 15.505477 15.759769
1.000000 15.378668 15.695879 16.026547 16.038809 16.374744 16.781380
1.100000 16.184180 16.536742 17.005181 17.098976 17.658999 18.439263
1.200000 16.889760 17.362519 18.116349 18.165211 18.914859 20.013393
1.300000 17.643778 18.489004 19.121653 19.189694 19.969005 20.800727
1.400000 18.361844 19.376700 20.097672 20.159453 21.008352 22.157599
1.500000 19.188608 20.209675 21.082185 21.094042 21.860581 23.582764
1.600000 20.477079 21.273509 21.981459 22.074556 22.614998 24.834731
1.700000 22.164961 22.561322 23.012751 23.378364 24.509306 26.063756
1.800000 22.832179 23.157334 23.694727 24.296584 25.963294 26.956153
1.900000 23.288245 23.630465 24.339395 25.016694 26.704925 27.531239
2.000000 23.732205 24.165544 25.207665 25.608499 27.174585 27.917390
2.100000 24.203849 24.719641 25.954099 26.162618 27.657604 28.437594
2.200000 24.677229 25.272660 26.575677 26.681667 28.056261 28.810366
2.300000 25.191751 25.843804 27.244948 27.240373 28.543046 29.222402
2.400000 25.817827 26.518264 27.921664 27.821234 29.006722 29.718657
2.500000 26.598373 27.368843 28.665954 28.496702 29.475407 30.126610
2.600000 27.382071 28.177595 29.293656 29.156013 29.959329 30.568963
2.700000 28.140056 28.961459 29.887761 29.771490 30.458428 30.983597
2.800000 29.034726 29.676139 30.519864 30.384265 30.939372 31.439111
2.900000 29.897228 30.447008 31.040871 30.980194 31.435050 31.905844
3.000000 30.400185 30.967381 31.486868 31.439243 31.869977 32.378276
3.100000 30.892383 31.427225 31.919421 31.879278 32.278155 32.747374
3.200000 31.328709 31.878874 32.334885 32.317132 32.730629 33.234020
3.300000 31.752194 32.327571 32.757326 32.749331 33.154168 33.669180
3.400000 32.288973 32.756430 33.197272 33.188928 33.585608 34.102515
3.500000 32.756357 33.225217 33.640342 33.654241 34.082343 34.569255
3.600000 33.364529 33.752019 34.184350 34.213227 34.666139 35.132541
3.700000 33.982265 34.368493 34.863877 34.921964 35.447015 36.230492
3.800000 34.492212 34.981874 35.593314 35.648267 36.296331 36.961356
3.900000 35.268164 35.809464 36.595019 36.592594 37.299708 38.040125
4.000000 36.153173 36.832032 37.551932 37.543733 38.234416 38.843864
4.100000 37.171853 37.853802 38.516796 38.491322 39.100504 39.698509
4.200000 38.563263 39.032706 39.552195 39.622441 40.198500 40.909825
4.300000 39.273070 39.805580 40.383991 40.462440 41.143079 41.806868
4.400000 39.882315 40.475895 41.138633 41.207498 41.996626 42.698554
