depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 0.383925 0.516123 0.654879 0.654044 0.792030 0.922721
0.100000 0.688558 0.899034 1.167962 1.283116 1.656341 2.567995
0.200000 1.091773 1.378747 1.875508 2.042518 2.755051 3.783665
0.300000 1.520321 1.943875 2.710729 2.845190 3.729633 4.963761
0.400000 2.014410 2.609990 3.600698 3.702832 4.815203 5.972250
0.500000 2.600542 3.346879 4.550255 4.589679 5.835736 6.936395
0.600000 3.229575 4.214999 5.516201 5.494051 6.739294 7.769288
0.700000 4.047342 5.212727 6.578620 6.476144 7.692277 8.717176
0.800000 5.021158 6.343988 7.467302 7.442540 8.586325 9.505159
0.900000 6.116865 7.428421 8.521522 8.490461 9.632633 10.474728
1.000000 7.306818 8.445670 9.640350 9.557242 10.603042 11.392110
1.100000 8.432659 9.759225 10.921438 10.777771 11.735761 12.520200
1.200000 10.327803 11.413292 12.095869 12.020449 12.700312 13.158761
1.300000 11.762552 12.324615 12.894995 12.840869 13.333139 13.752258
1.400000 12.498361 13.037586 13.516813 13.470058 13.895182 14.251930
1.500000 13.109378 13.620252 14.053642 14.018388 14.411605 14.739792
1.600000 13.711420 14.138404 14.535719 14.503861 14.849650 15.156844
1.700000 14.320715 14.625593 14.995560 14.979526 15.321896 15.623981
1.800000 14.758810 15.103316 15.480967 15.473489 15.833714 16.209258
1.900000 15.237745 15.610026 16.042315 16.033831 16.436907 16.847912
2.000000 16.382805 16.755224 17.122360 17.133432 17.525926 17.960511
2.015000 16.541908 16.889942 17.260554 17.265764 17.639760 18.065572
2.157500 17.252622 17.803564 18.548867 18.726028 19.689662 21.214050
2.300000 17.899941 18.842715 20.146727 20.128399 21.350703 22.286094
2.400000 18.413542 19.705939 21.138322 20.949368 22.082667 22.967525
2.500000 19.097278 20.556064 21.955853 21.704883 22.708042 23.579174
2.600000 19.582817 21.284043 22.521742 22.308862 23.186531 24.069518
2.700000 20.122481 21.870975 22.941670 22.795710 23.635925 24.462162
2.800000 20.907292 22.412717 23.293018 23.223019 24.080915 24.924830
2.900000 21.570359 22.822160 23.660136 23.629222 24.466608 25.412733
3.000000 22.107610 23.175859 24.017010 24.013380 24.848844 25.801505
3.100000 22.523824 23.517541 24.379673 24.379700 25.234211 26.102165
3.200000 22.800458 23.841975 24.764323 24.742626 25.621413 26.550343
3.300000 23.243210 24.168558 25.155560 25.114022 26.040428 26.877584
3.400000 23.602117 24.499435 25.499799 25.467442 26.387420 27.191332
3.500000 24.035818 24.871519 25.858938 25.827296 26.757212 27.593455
3.600000 24.454397 25.236622 26.245410 26.192083 27.094238 27.871352
3.700000 24.915870 25.569003 26.592710 26.557805 27.463597 28.211193
3.800000 25.175878 25.914706 27.018308 26.929058 27.822550 28.529869
3.900000 25.539286 26.276543 27.412363 27.306807 28.167110 28.873039
4.000000 25.863585 26.639713 27.748092 27.665948 28.514024 29.219035
4.100000 26.179461 26.957349 28.100306 28.010445 28.843630 29.648428
4.200000 26.486222 27.298299 28.453511 28.342324 29.183560 30.058473
4.300000 26.773475 27.617494 28.762421 28.668288 29.497860 30.335298
4.400000 27.065430 27.945029 29.125019 28.998167 29.813649 30.732800
4.500000 27.376336 28.261897 29.447648 29.320337 30.122531 31.041173
4.600000 27.670478 28.597256 29.765950 29.640621 30.440942 31.414294
4.700000 28.017309 28.914802 30.090764 29.963879 30.790255 31.742977
4.800000 28.348247 29.267300 30.421290 30.295110 31.091783 32.070042
4.900000 28.592421 29.611815 30.737099 30.627914 31.413661 32.472085
5.000000 28.965651 29.982797 31.051351 30.976475 31.742770 32.870164
5.100000 29.296679 30.331331 31.401509 31.329852 32.086620 33.214784
5.200000 29.711513 30.721699 31.754340 31.699680 32.455733 33.519242
5.300000 30.042624 31.059069 32.140590 32.081067 32.885029 33.877206
5.400000 30.401258 31.436674 32.528192 32.463976 33.265168 34.259157
5.500000 30.751407 31.867242 32.920947 32.874033 33.719612 34.764794
5.600000 31.115379 32.318574 33.327472 33.326707 34.225020 35.426479
