depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 3.280269 3.667210 4.117801 4.120436 4.592320 4.981120
0.050000 4.023048 4.508128 5.207185 5.294589 6.097206 7.244119
0.100000 4.745264 5.570442 6.700655 6.749427 7.862789 9.235822
0.150000 5.932623 7.152700 8.482187 8.483724 9.881683 10.975153
0.200000 8.056723 9.167731 10.586727 10.395192 11.489591 12.107994
0.250000 9.481289 10.862047 11.708533 11.594892 12.357993 12.943115
0.350000 12.189832 12.746048 13.260816 13.276610 13.841812 14.389675
0.400000 12.898495 13.382772 13.866546 13.895048 14.432399 14.973009
0.450000 13.381617 13.910713 14.418258 14.430971 14.988343 15.467782
0.550000 14.434668 14.840416 15.453759 15.500563 16.092667 16.979263
0.625000 15.371166 15.939263 16.730621 16.913477 17.979360 19.233354
0.700000 16.641667 17.355201 18.426834 18.508429 19.747582 21.022331
0.750000 17.192651 18.093257 19.435317 19.509629 20.972674 21.970989
0.800000 17.700132 18.906047 20.545714 20.497197 22.153122 22.841837
0.850000 18.184332 19.551268 21.739383 21.360641 23.085429 23.648127
0.900000 18.699607 20.130327 22.509502 22.027016 23.704474 24.354731
1.000000 19.879512 21.247390 23.620200 23.141495 24.700399 25.401776
1.050000 20.553014 21.870265 24.192915 23.737064 25.242374 25.906615
1.100000 21.296631 22.483847 24.783746 24.343920 25.726074 26.507157
1.150000 21.936674 23.276332 25.303069 24.991939 26.307488 27.147807
1.200000 22.627023 24.182309 25.913813 25.658088 26.830888 27.811131
1.250000 23.436825 25.042795 26.532397 26.336092 27.418662 28.556382
1.300000 24.217667 25.863734 27.234321 27.071408 28.136613 29.257904
1.350000 25.310584 26.688687 27.851173 27.795943 28.867470 29.931167
1.400000 26.188605 27.593064 28.626972 28.573536 29.587540 30.615659
1.450000 27.091183 28.218814 29.309670 29.263727 30.301792 31.135666
1.500000 27.718450 28.869923 30.048701 29.947397 30.936483 31.642525
1.550000 28.322353 29.519695 30.710591 30.555960 31.553658 32.225381
1.600000 28.964922 30.136683 31.310257 31.147549 32.048407 32.636321
1.650000 29.457961 30.742107 31.855984 31.682519 32.541480 33.070556
1.700000 30.133515 31.433814 32.361777 32.216392 32.979061 33.521206
1.750000 30.827034 32.079419 32.849462 32.733453 33.436990 33.902793
1.800000 31.509465 32.632073 33.322050 33.219931 33.838823 34.292951
1.900000 33.044931 33.694229 34.145071 34.103239 34.556417 34.919735
1.950000 33.728674 34.228428 34.580611 34.577196 34.960337 35.288786
2.000000 34.518797 34.787985 35.103090 35.113887 35.440651 35.727283
