depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 0.254761 0.487908 0.703814 0.695561 0.901683 1.093473
0.125000 0.396329 0.599018 0.805514 0.805140 1.014946 1.184059
0.200000 0.659420 0.871018 1.124254 1.175135 1.454691 2.034721
0.300000 0.964002 1.207120 1.549495 1.675257 2.158170 2.948808
0.400000 1.274913 1.554751 2.057053 2.176153 2.830670 3.711553
0.500000 1.549517 1.930243 2.614964 2.685407 3.437627 4.304337
0.600000 1.866947 2.339253 3.175066 3.234303 4.109291 4.983233
0.700000 2.187528 2.812732 3.778499 3.794363 4.706516 5.730387
0.800000 2.543033 3.368239 4.406291 4.398785 5.363417 6.368127
0.900000 2.938032 3.931145 5.027246 5.009103 6.017642 7.119983
1.000000 3.312723 4.465649 5.637189 5.581248 6.625346 7.615101
1.100000 3.820442 5.061502 6.275048 6.189851 7.312933 8.223871
1.200000 4.356104 5.664105 6.968235 6.843014 7.939801 8.878832
1.300000 4.993931 6.339887 7.662138 7.539348 8.664078 9.561851
1.350000 5.197218 6.655483 7.939355 7.824210 8.962629 9.901826
1.390000 5.439152 6.934580 8.150513 8.044530 9.163833 10.105662
1.450000 5.674555 7.323721 8.482329 8.375086 9.470633 10.444300
1.500000 6.026835 7.647443 8.766478 8.678947 9.777106 10.727277
1.510000 6.067003 7.691090 8.816033 8.731099 9.817969 10.781634
1.550000 6.259269 7.984876 9.059412 8.984420 10.023869 10.916575
1.600000 6.838236 8.388569 9.372672 9.318596 10.327396 11.216934
1.700000 8.288034 9.384486 10.376427 10.269524 11.157862 11.733480
1.800000 9.247072 10.388017 11.191636 11.080135 11.765952 12.217402
1.900000 10.357448 11.169821 11.790709 11.718664 12.263348 12.680000
2.000000 11.277417 11.841406 12.311705 12.283322 12.727278 13.122474
2.100000 11.963653 12.418682 12.847134 12.832788 13.232374 13.611826
2.200000 12.493167 12.921629 13.342341 13.318764 13.727231 14.151007
2.250000 12.709882 13.136779 13.577099 13.559822 13.971907 14.347963
2.300000 12.907557 13.340208 13.796649 13.779281 14.198246 14.575400
2.350000 13.124932 13.543394 14.008269 13.995200 14.446044 14.786154
2.400000 13.305362 13.772132 14.268911 14.236493 14.688775 15.031808
2.450000 13.514265 14.031590 14.529560 14.502253 14.953692 15.327192
2.490000 13.721657 14.235835 14.746200 14.701850 15.153373 15.558098
2.500000 13.772956 14.280268 14.785489 14.747906 15.206109 15.602720
2.550000 14.156161 14.571063 15.009217 14.993151 15.408600 15.755063
2.600000 14.499083 14.906897 15.256247 15.256002 15.604742 15.936347
2.650000 14.814821 15.172796 15.473847 15.471305 15.776092 16.106103
2.700000 15.136144 15.452213 15.717025 15.712213 15.979253 16.272470
2.750000 15.455350 15.680727 15.923081 15.935100 16.181004 16.473131
2.800000 15.644497 15.868341 16.123970 16.133881 16.404020 16.703428
2.850000 15.800142 16.054251 16.318048 16.336432 16.609716 16.988175
2.900000 15.934823 16.202480 16.502772 16.528422 16.802457 17.411376
2.950000 16.084522 16.359062 16.681246 16.731827 17.044246 17.754023
2.995000 16.220178 16.510615 16.860319 16.935264 17.349227 18.102552
3.050000 16.383909 16.652612 17.056668 17.167802 17.688958 18.634749
3.100000 16.518492 16.797060 17.213808 17.359614 17.935379 19.079094
3.150000 16.650587 16.935295 17.362489 17.534127 18.184237 19.459533
3.200000 16.754757 17.061014 17.498237 17.707879 18.396400 19.864899
3.250000 16.848939 17.182262 17.622843 17.870986 18.623419 20.178543
3.300000 16.972522 17.288682 17.761407 18.024801 18.811657 20.481285
3.350000 17.102146 17.413137 17.892856 18.179796 19.008565 20.717443
3.400000 17.219984 17.530381 18.021903 18.329443 19.215781 21.069786
3.450000 17.327590 17.654280 18.138470 18.471234 19.391831 21.276598
3.500000 17.427836 17.776250 18.271504 18.613625 19.535048 21.349960
3.550000 17.547867 17.899108 18.387738 18.753135 19.706004 21.560895
3.600000 17.669911 18.039755 18.527244 18.891131 19.847318 21.752667
3.700000 17.899353 18.281975 18.771289 19.144132 20.087693 22.085238
3.800000 18.160604 18.552229 19.017699 19.388926 20.313318 22.324351
3.900000 18.417383 18.806032 19.284224 19.639840 20.566493 22.515216
4.000000 18.656097 19.049880 19.566446 19.898319 20.817698 22.734713
4.100000 18.884283 19.300516 19.812660 20.156312 21.095275 22.960053
4.240500 19.246607 19.668175 20.227845 20.505754 21.406136 23.221013
4.381000 19.559597 20.016444 20.557170 20.844169 21.734459 23.430657
4.521500 19.903633 20.348452 20.918761 21.183384 22.052772 23.748892
4.662000 20.221357 20.681036 21.292966 21.514041 22.350299 23.941068
4.802500 20.544777 21.027501 21.654406 21.853342 22.687650 24.230265
4.943000 20.891563 21.389831 22.014946 22.191599 22.985508 24.427972
5.083500 21.299506 21.762143 22.354173 22.531675 23.296536 24.645682
5.224000 21.656928 22.131113 22.749792 22.884623 23.621277 24.928302
5.364500 22.041035 22.501891 23.098282 23.223443 23.912699 25.129571
5.505000 22.392918 22.865289 23.448883 23.566519 24.219979 25.377931
5.645500 22.754562 23.260979 23.826616 23.911236 24.549496 25.650766
5.786000 23.127398 23.615892 24.179510 24.258770 24.829814 25.899647
