depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 2.165744 2.451834 2.724981 2.723119 3.010770 3.267385
0.150000 3.046884 3.588742 4.293509 4.731080 6.258658 7.774308
0.250000 4.617792 5.539509 7.846904 7.487704 9.065453 10.243956
0.350000 8.569630 9.920684 11.349758 11.230997 12.392549 13.551198
0.450000 13.253006 14.748149 15.267503 15.163720 15.698801 16.026728
0.550000 14.695167 15.523249 16.028039 15.990126 16.479482 16.904826
0.650000 15.823221 16.292738 16.719155 16.731950 17.163328 17.682809
0.750000 16.769686 17.120361 17.563154 17.582831 18.023091 18.601161
0.850000 17.515869 17.951709 18.415618 18.429380 18.904309 19.382406
0.950000 18.247083 18.786290 19.273610 19.244556 19.731462 20.085896
1.050000 19.046746 19.650456 20.071144 20.042574 20.438645 20.784541
1.150000 20.003132 20.499464 20.874335 20.848493 21.185535 21.548258
1.250000 21.119258 21.398259 21.665708 21.662408 21.915927 22.175534
1.350000 21.824483 22.148863 22.451750 22.473955 22.774562 23.330694
1.450000 22.604478 22.883023 23.241323 23.282214 23.633966 24.288350
1.550000 23.181127 23.579240 24.003935 24.072394 24.542378 25.376946
1.650000 23.857657 24.288820 24.745459 24.851225 25.453978 26.447240
1.750000 24.507818 24.974580 25.550286 25.683952 26.392141 27.408291
1.850000 25.279909 25.731914 26.443555 26.664325 27.572236 29.371537
1.950000 25.971498 26.624499 27.449006 27.809864 29.157205 31.481067
2.050000 26.809824 27.480416 28.466211 28.897822 30.558011 32.728516
