depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.055000 1.839291 2.206225 2.516093 2.515940 2.818176 3.209621
0.105000 3.324618 3.711462 4.036743 4.042996 4.370931 4.772660
0.255000 7.256624 7.565445 7.802200 7.814340 8.070236 8.420986
0.355000 11.030332 11.409616 11.782439 11.782723 12.168689 12.504903
0.455000 9.331365 9.683933 10.018797 10.028014 10.368297 10.835736
0.605000 2.647148 3.004783 3.319720 3.324891 3.637801 4.052257
0.705000 9.024078 9.459776 9.777229 9.783109 10.114366 10.567395
0.715000 5.062392 5.454837 5.726513 5.726031 6.005165 6.328380
0.805000 10.583436 11.376745 11.998125 11.966644 12.550491 13.207552
0.905000 4.111363 4.549667 4.872087 4.865598 5.199212 5.520490
0.955000 3.447829 3.822072 4.155773 4.159425 4.484148 4.893976
1.055000 6.876362 7.241410 7.519884 7.520762 7.801066 8.176466
1.155000 13.462361 13.904380 14.380268 14.390973 14.874113 15.407474
1.205000 15.306969 15.985635 16.506340 16.492722 16.987633 17.638075
1.355000 17.344808 18.187477 18.780657 18.788368 19.409573 20.203607
1.455000 14.029127 14.891856 15.535198 15.510979 16.131255 16.811250
1.705000 19.219985 19.608787 19.938380 19.938846 20.270700 20.665439
1.740000 19.631204 20.134155 20.514671 20.521439 20.904753 21.442258
