depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.305000 4.101277 4.520098 4.850927 4.839682 5.167701 5.487345
0.405000 5.696347 6.012779 6.296728 6.295473 6.571834 6.918691
0.505000 7.739454 8.043173 8.309109 8.332690 8.628752 9.012383
0.605000 10.993048 11.405526 11.783751 11.778741 12.162211 12.500556
0.705000 12.855489 13.167936 13.435711 13.457741 13.736976 14.205440
0.805000 12.303019 12.726024 12.956921 12.960087 13.205492 13.579526
0.905000 13.472778 13.800704 14.149746 14.180315 14.578848 15.004076
1.005000 14.493523 15.060907 15.427450 15.417270 15.785445 16.211391
1.045000 12.951423 13.267597 13.543529 13.572080 13.873111 14.404131
1.105000 12.118790 12.624167 12.863731 12.853484 13.100376 13.447721
1.205000 11.704524 12.161538 12.523058 12.482761 12.773139 13.104551
1.305000 11.212218 11.637457 12.023019 11.996858 12.357007 12.636757
1.405000 9.353939 9.699435 10.037281 10.049152 10.394143 10.846295
1.445000 13.234264 13.567694 13.882176 13.919807 14.279220 14.809233
1.505000 12.365865 12.756236 12.991324 13.000721 13.252133 13.646222
2.005000 18.592397 18.950274 19.257308 19.269837 19.597834 20.019389
