depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.055000 2.180758 2.453168 2.713533 2.728713 3.015995 3.316477
0.105000 3.320496 3.639859 3.924981 3.919445 4.212499 4.480499
0.180000 4.202122 4.751809 6.107237 6.011591 7.175821 7.611903
0.255000 7.431195 7.614114 7.812617 7.816638 8.025129 8.251455
0.355000 8.141684 8.373436 8.685021 8.717625 9.073115 9.487761
0.455000 8.535758 8.802482 9.108775 9.144420 9.522859 9.773182
0.530000 8.765796 9.045332 9.357623 9.380013 9.733626 9.994306
0.605000 9.002609 9.289431 9.616934 9.616418 9.947941 10.220403
0.705000 9.341630 9.604904 9.937080 9.931203 10.256893 10.527898
0.715000 9.375052 9.651254 9.989987 9.983215 10.312158 10.572552
0.805000 9.666797 10.001662 10.377076 10.377267 10.726708 11.101974
0.905000 9.964209 10.284994 10.731822 10.719887 11.103301 11.562990
0.955000 10.173838 10.518393 10.975909 10.956752 11.362873 11.808141
1.055000 10.587791 10.986352 11.496538 11.490486 11.998876 12.451078
1.155000 13.804257 14.218018 14.658386 14.641415 15.037417 15.418722
1.205000 15.120063 15.497166 15.975546 15.961331 16.411065 16.791091
1.280000 15.610826 16.104270 16.628644 16.610871 17.088776 17.569756
1.355000 16.094144 16.558686 17.142030 17.134575 17.659016 18.167997
1.455000 16.512481 17.002505 17.647483 17.612198 18.164868 18.659851
1.580000 17.403930 18.090881 18.760294 18.668574 19.220318 19.608109
1.705000 19.498548 19.753479 19.987914 19.978385 20.192070 20.381689
1.740000 19.870815 20.100325 20.346238 20.336099 20.563586 20.814316
