depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 5.822504 6.056886 6.305802 6.316998 6.577827 6.852443
0.040000 6.821066 7.058066 7.305127 7.297763 7.518913 7.761258
0.090000 7.870938 8.101155 8.319878 8.315845 8.530510 8.734128
0.140000 8.465928 8.669063 8.907945 8.902802 9.121087 9.329522
0.265000 9.470491 10.080717 11.106794 11.124568 12.199795 12.748451
0.390000 12.731721 12.907278 13.096462 13.088839 13.265228 13.415034
0.440000 13.191754 13.328398 13.471212 13.471455 13.606015 13.788466
0.490000 13.451699 13.607987 13.752650 13.755895 13.912229 14.073075
0.606667 13.899079 14.093711 14.288450 14.290001 14.489538 14.688075
0.723333 14.430199 14.623142 14.818926 14.812206 15.001842 15.201365
0.840000 15.027063 15.186125 15.333210 15.337956 15.485032 15.643341
0.890000 15.274558 15.425555 15.573452 15.573689 15.720648 15.876388
0.975000 15.656379 15.801413 15.962728 15.966548 16.128747 16.280786
1.060000 16.055069 16.192742 16.356173 16.355625 16.511805 16.663097
1.180000 16.532277 16.709337 16.859711 16.864021 17.024490 17.197817
1.260000 16.923962 17.086528 17.264101 17.270616 17.459180 17.668508
1.373333 17.417005 17.675924 17.976647 18.009585 18.338937 18.792440
1.486667 18.103626 18.438532 18.807510 18.811446 19.207928 19.560450
1.600000 19.177263 19.446853 19.691434 19.693163 19.942464 20.179989
1.680000 19.903036 20.112471 20.325762 20.324329 20.549095 20.759282
1.720000 20.228972 20.430189 20.633146 20.637152 20.838134 21.098226
1.820000 20.849468 21.144207 21.461045 21.464709 21.788280 22.119809
1.920000 21.895673 22.106997 22.316675 22.317046 22.535188 22.750622
2.000000 22.415447 22.623471 22.861742 22.878334 23.137398 23.403050
