depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 3.270390 3.669562 4.016648 4.019800 4.362907 4.782972
0.180000 6.636772 6.991532 7.263182 7.249613 7.501875 7.810469
0.260000 9.980956 10.385898 10.731087 10.733061 11.071315 11.523826
0.300000 10.838366 11.316851 11.660392 11.662460 12.033676 12.434462
0.340000 12.740350 13.032046 13.294356 13.311750 13.579894 14.035642
0.380000 13.720995 14.114978 14.501850 14.500649 14.875335 15.267802
0.420000 14.815119 15.284004 15.618918 15.612004 15.950050 16.363748
0.740000 20.060183 20.504855 20.835805 20.851484 21.214613 21.698263
0.900000 20.265556 20.624126 20.948600 20.961207 21.297874 21.730064
0.980000 21.318579 21.769714 22.082722 22.066628 22.357227 22.744868
