depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.951089 2.357066 2.670193 2.669188 2.983164 3.370530
0.090000 3.024152 3.437723 3.742970 3.750368 4.077000 4.474044
0.170000 8.604039 8.999725 9.314830 9.314670 9.628648 10.051727
0.210000 10.382046 10.829711 11.197727 11.204970 11.575656 12.034814
0.250000 13.028197 13.321430 13.602329 13.634607 13.941587 14.506499
0.290000 13.469756 13.826492 14.179292 14.204915 14.600168 15.031422
0.490000 17.248480 17.681598 18.032013 18.015641 18.351914 18.704614
0.610000 18.961246 19.368859 19.695923 19.695412 20.023250 20.426941
0.730000 20.655739 21.066375 21.437585 21.423619 21.770617 22.129238
0.850000 24.110626 24.554562 24.918275 24.901255 25.241943 25.602980
