depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 3.494188 3.792757 4.100392 4.111382 4.433354 4.746195
0.180000 6.747781 7.026103 7.265784 7.253143 7.477287 7.692367
0.260000 10.205793 10.434231 10.703768 10.699308 10.966477 11.197219
0.300000 11.264017 11.517330 11.785816 11.791505 12.079269 12.316911
0.340000 12.859532 13.065480 13.266110 13.274790 13.480408 13.752381
0.380000 14.007265 14.235946 14.520077 14.521190 14.804649 15.025042
0.420000 15.046517 15.274533 15.506690 15.521213 15.761120 16.046281
0.526667 16.357739 16.791856 17.222143 17.274047 17.793840 18.429555
0.633333 17.840624 18.340391 18.752860 18.760323 19.208509 19.665706
0.740000 19.551155 19.888852 20.224840 20.199723 20.513873 20.726027
0.820000 20.175122 20.440301 20.779931 20.750363 21.032789 21.293921
0.900000 20.844127 21.054941 21.299704 21.307283 21.573303 21.789626
0.980000 21.773976 22.018637 22.215373 22.218747 22.422953 22.673127
