depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.305000 4.538240 4.866304 5.124331 5.114847 5.363336 5.556012
0.405000 6.312602 6.468796 6.634445 6.637826 6.811317 6.969074
0.505000 7.709222 7.895134 8.074115 8.076199 8.254767 8.438668
0.575000 8.617447 8.791736 9.006271 8.997232 9.192836 9.393380
0.605000 9.187584 9.407726 9.579146 9.589914 9.793268 10.033607
0.655000 9.949575 10.131638 10.376670 10.399923 10.672137 11.010927
0.675000 10.715960 10.962486 11.247919 11.229306 11.465249 11.700236
0.705000 11.284542 11.516396 11.755034 11.745141 11.964801 12.172545
0.755000 11.947431 12.155860 12.374588 12.354017 12.543654 12.675484
0.805000 12.619730 12.784227 12.932355 12.928603 13.074942 13.214618
0.855000 13.196515 13.325946 13.470129 13.478359 13.630230 13.794472
0.905000 13.535904 13.664114 13.811671 13.824830 13.990241 14.149561
0.955000 13.815671 13.951221 14.098506 14.107912 14.277102 14.436509
1.005000 14.156841 14.288956 14.437844 14.442113 14.591466 14.757394
1.055000 14.515619 14.647970 14.794487 14.794406 14.940742 15.075628
1.105000 14.833487 14.955808 15.102976 15.098256 15.239843 15.371954
1.155000 15.098503 15.245704 15.370668 15.369582 15.500808 15.609696
1.205000 15.344716 15.479377 15.606296 15.604505 15.724733 15.859566
1.255000 15.635728 15.751364 15.886063 15.882133 16.002962 16.123976
1.305000 15.927118 16.054140 16.183855 16.181735 16.307358 16.446072
1.345000 16.153308 16.304563 16.440183 16.441976 16.577939 16.721984
1.405000 16.454053 16.646163 16.828667 16.813397 16.976802 17.134666
1.465000 17.103431 17.263925 17.431958 17.449825 17.649215 17.838813
1.505000 17.417819 17.615125 17.829654 17.831728 18.049064 18.270061
1.605000 18.029321 18.307908 18.615920 18.620368 18.926433 19.235508
1.705000 18.792950 19.098220 19.407433 19.395917 19.688515 19.978205
1.805000 19.894140 20.070149 20.255613 20.263076 20.466325 20.671781
1.825000 20.118447 20.311535 20.514159 20.521470 20.726884 20.971215
1.855000 21.052559 21.387977 21.680666 21.652008 21.916175 22.095251
1.905000 21.923919 22.135665 22.363835 22.361398 22.577598 22.795479
