depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
-0.000000 0.039000 0.173454 0.580569 0.704716 1.245567 2.161509
0.050000 0.360649 0.563102 1.004795 1.119971 1.658197 2.519378
0.100000 0.661826 0.932440 1.402561 1.506010 2.068353 2.937750
0.150000 0.976709 1.283170 1.802886 1.879550 2.455063 3.316112
0.200000 1.280639 1.632822 2.171214 2.245744 2.842135 3.698860
0.250000 1.617245 1.985659 2.560393 2.618117 3.242220 4.090643
0.300000 1.947508 2.347577 2.911404 2.990267 3.651976 4.399065
0.350000 2.268736 2.696509 3.279863 3.358896 4.042203 4.836305
0.400000 2.555322 3.055911 3.664011 3.736650 4.406270 5.292347
0.450000 2.917076 3.443052 4.033876 4.117355 4.822705 5.657232
0.500000 3.304103 3.777820 4.429706 4.514875 5.270934 6.092799
0.550000 3.676487 4.164432 4.854715 4.923336 5.680893 6.506887
0.600000 4.057883 4.571503 5.294447 5.339826 6.092157 6.859138
0.650000 4.401511 5.014452 5.747134 5.768798 6.529896 7.265915
0.700000 4.832606 5.459137 6.200511 6.206391 6.958568 7.720426
0.750000 5.301987 5.934413 6.655353 6.671759 7.417898 8.171934
0.800000 5.810035 6.448800 7.123058 7.147104 7.887620 8.631114
0.850000 6.317936 6.988164 7.661563 7.667581 8.363622 9.080790
0.900000 6.840899 7.538242 8.249391 8.226619 8.964359 9.525482
0.950000 7.359459 8.082215 8.818862 8.792688 9.513715 10.042362
1.000000 7.990381 8.695445 9.428986 9.374095 10.048456 10.517305
1.050000 8.604689 9.273799 9.975585 9.921959 10.542713 10.957834
1.100000 9.239941 9.919244 10.509179 10.458316 11.001863 11.389265
1.150000 9.897022 10.501000 11.046993 10.983975 11.470525 11.805601
1.200000 10.455970 11.092035 11.530731 11.506977 11.933050 12.284067
1.250000 11.136761 11.636821 12.040048 12.025597 12.437357 12.758304
1.300000 11.751575 12.145074 12.539364 12.533941 12.921441 13.279397
1.350000 12.231483 12.625029 13.036923 13.011191 13.389234 13.717988
1.400000 12.702557 13.102178 13.493313 13.475313 13.861105 14.153327
1.450000 13.205635 13.613189 13.960739 13.965588 14.357860 14.673787
1.500000 13.730584 14.141709 14.467674 14.476414 14.832292 15.149462
1.550000 14.374966 14.697877 15.047281 15.037823 15.357129 15.654075
1.600000 14.984301 15.305967 15.595842 15.602336 15.899887 16.240541
1.650000 15.516647 15.818429 16.143486 16.170320 16.494237 17.010760
1.700000 16.008634 16.327075 16.711910 16.812040 17.264177 18.351872
1.750000 16.447611 16.831468 17.408625 17.614020 18.411753 20.017610
1.800000 16.908121 17.435471 18.375586 18.603682 19.966396 21.117724
1.850000 17.374187 18.175658 19.682574 19.627102 21.009508 21.866117
1.900000 18.074200 19.247250 20.792819 20.630659 21.847213 22.517623
1.950000 18.835911 20.389200 21.694404 21.483318 22.446631 23.203652
2.000000 19.655962 21.326799 22.361631 22.208649 23.047366 23.896636
2.050000 20.838154 22.091989 22.934360 22.841168 23.640733 24.385446
2.100000 21.633021 22.653582 23.421814 23.398315 24.173225 25.108857
2.150000 22.299056 23.166366 23.865478 23.903344 24.658689 25.582886
2.200000 22.815648 23.682111 24.348430 24.394327 25.160705 26.105082
2.250000 23.299655 24.121541 24.790204 24.874865 25.679389 26.731716
2.300000 23.752921 24.599724 25.298641 25.380230 26.260432 27.388057
2.350000 24.341084 25.039153 25.778143 25.900093 26.804941 28.037261
2.400000 24.868952 25.481013 26.284155 26.446927 27.436139 28.758432
2.450000 25.432689 25.974427 26.866213 27.039255 28.128084 29.632376
2.500000 25.934761 26.433521 27.389313 27.595882 28.745364 30.219901
2.550000 26.293463 26.951255 27.996202 28.178989 29.481482 30.805750
2.600000 26.744524 27.452913 28.677979 28.797343 30.219149 31.440609
2.650000 27.204120 27.951214 29.321748 29.411170 30.920975 32.113953
2.700000 27.672140 28.475097 29.977201 30.020745 31.472565 32.808785
2.750000 28.189116 29.022058 30.682985 30.646022 32.100180 33.347167
2.800000 28.595268 29.561605 31.336473 31.244072 32.669120 34.180861
2.850000 29.107810 30.168053 31.955008 31.831119 33.271504 34.738644
2.900000 29.612002 30.648421 32.596387 32.414595 33.806626 35.314918
2.950000 30.117160 31.284077 33.187265 33.047236 34.395110 36.015397
3.000000 30.637743 31.881535 33.811963 33.680781 35.094375 36.810464
