depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
-0.000000 0.049357 0.263651 0.833787 1.005974 1.837133 2.792931
0.050000 0.389726 0.692814 1.282234 1.421322 2.229247 3.134032
0.100000 0.691885 1.066177 1.684461 1.820164 2.638530 3.509307
0.150000 1.041612 1.407568 2.082885 2.207544 3.064706 3.874600
0.200000 1.351979 1.750519 2.432797 2.575991 3.462903 4.259581
0.250000 1.706931 2.097081 2.821514 2.947218 3.866671 4.611824
0.300000 2.036749 2.421254 3.196289 3.307543 4.244604 4.960318
0.350000 2.357512 2.781888 3.551208 3.682003 4.653401 5.383347
0.400000 2.671086 3.132333 3.957436 4.061890 5.032783 5.866914
0.450000 3.001670 3.476842 4.326820 4.454394 5.484482 6.317129
0.500000 3.280724 3.863698 4.773431 4.863430 5.891838 6.741327
0.550000 3.655051 4.263261 5.202478 5.280657 6.310200 7.120701
0.600000 4.051540 4.706458 5.652975 5.716391 6.717272 7.542356
0.650000 4.544417 5.193303 6.158204 6.179954 7.147001 7.902783
0.700000 4.924777 5.701101 6.647666 6.663462 7.599239 8.449887
0.750000 5.423490 6.268176 7.171503 7.186340 8.090486 9.002956
0.800000 6.021491 6.883834 7.769087 7.758208 8.701118 9.515478
0.850000 6.620210 7.503527 8.398367 8.399663 9.303301 10.047499
0.900000 7.488915 8.283952 9.244519 9.153245 9.993971 10.662036
0.950000 8.259007 9.138306 10.020458 9.959344 10.732448 11.335665
1.000000 9.233833 10.185152 10.900921 10.806045 11.438505 11.938968
1.050000 10.227037 11.067882 11.650204 11.613580 12.181422 12.668144
1.100000 11.436002 11.933622 12.459453 12.420082 12.913930 13.295661
1.150000 12.191882 12.663899 13.127988 13.091320 13.510092 13.798960
1.200000 12.815678 13.266795 13.690958 13.638009 14.004920 14.226944
1.250000 13.357349 13.759273 14.101214 14.073173 14.391822 14.612170
1.300000 13.795235 14.187596 14.506004 14.473426 14.768935 14.996555
1.350000 14.232007 14.606331 14.885802 14.860824 15.122087 15.340337
1.400000 14.658676 14.986630 15.262928 15.239466 15.482496 15.711273
1.450000 15.098615 15.369668 15.630060 15.621097 15.863169 16.122280
1.500000 15.506470 15.769829 16.012333 16.020280 16.268752 16.574089
1.550000 15.921578 16.161432 16.418269 16.448865 16.726313 17.217275
1.600000 16.316817 16.568744 16.856630 16.949877 17.338623 18.148593
1.650000 16.722544 16.960684 17.366166 17.505534 18.077770 19.071618
1.700000 17.078325 17.389227 17.953104 18.131466 18.967383 19.939695
1.750000 17.479990 17.881994 18.649445 18.776369 19.764277 20.616955
1.800000 17.852374 18.385712 19.295934 19.354288 20.313590 21.106939
1.850000 18.279272 18.945930 19.924386 19.919526 20.889918 21.639407
1.900000 18.808033 19.513742 20.555202 20.497328 21.416411 22.060286
1.950000 19.277207 20.070600 21.138016 21.040980 21.923795 22.557970
2.000000 19.740550 20.590852 21.592960 21.533376 22.409397 23.169735
2.050000 20.202587 21.118076 22.040787 22.020329 22.900271 23.848378
2.100000 20.631892 21.593931 22.501486 22.496695 23.394101 24.388124
2.150000 21.054403 22.037928 22.977900 22.955584 23.877451 24.872839
2.200000 21.466810 22.495576 23.458744 23.430125 24.337153 25.261948
2.250000 21.860235 22.991030 23.940211 23.899533 24.811556 25.710171
2.300000 22.332851 23.469116 24.370970 24.347854 25.225645 26.092385
2.350000 22.811218 23.941677 24.834549 24.815972 25.650715 26.726136
2.400000 23.364325 24.395022 25.294426 25.303270 26.173718 27.275978
2.450000 23.833164 24.815510 25.751431 25.787135 26.714615 27.926675
2.500000 24.288295 25.314769 26.250662 26.297521 27.256491 28.752891
2.550000 24.853390 25.801137 26.738407 26.850482 27.869213 29.695071
2.600000 25.344272 26.223331 27.291909 27.437690 28.732548 30.398846
2.650000 25.861680 26.766411 27.812888 28.048042 29.504909 30.994638
2.700000 26.306925 27.264532 28.446351 28.665156 30.204514 31.598588
2.750000 26.780695 27.767648 29.181882 29.292489 30.995971 32.122482
2.800000 27.302952 28.281034 29.834658 29.885184 31.561334 32.814541
2.850000 27.712168 28.789673 30.405294 30.471109 32.192398 33.438022
2.900000 28.109120 29.278978 31.007436 31.034642 32.785071 34.008422
2.950000 28.624811 29.826678 31.603102 31.611023 33.356739 34.553296
3.000000 29.014551 30.355878 32.157897 32.168606 33.945804 35.225726
