depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 1.391041 2.288178 3.185468 3.175836 4.062054 4.990994
0.040000 1.753310 2.646502 3.481314 3.510550 4.372170 5.224856
0.060000 2.222085 3.044027 3.827647 3.859819 4.681059 5.516643
0.100000 3.126532 3.742853 4.522666 4.538154 5.338912 6.080790
0.120000 3.547962 4.137135 4.914172 4.910936 5.720577 6.347635
0.140000 3.884981 4.549947 5.373898 5.333530 6.093658 6.767451
0.180000 4.672647 5.549199 6.211802 6.210132 6.851033 7.889397
0.200000 5.042361 6.080858 6.654801 6.705803 7.406269 8.433013
0.220000 5.469405 6.622203 7.219140 7.310432 8.123813 9.034191
0.260000 7.881798 8.846897 9.243214 9.274564 9.787028 10.624119
0.280000 8.840774 9.309114 9.729823 9.841151 10.532796 11.228348
0.300000 9.254825 9.758374 10.382976 10.453487 11.214601 11.793396
0.340000 12.135002 12.544595 12.889443 12.884049 13.199870 13.621176
0.360000 12.896619 13.178130 13.453658 13.487060 13.784684 14.291286
0.380000 13.381261 13.694381 14.062839 14.193877 14.751084 15.496956
0.420000 14.838822 15.810819 16.913060 16.792289 17.774028 18.088694
0.440000 15.435962 16.440519 17.516019 17.350705 18.154281 18.397721
0.460000 16.083517 16.902801 17.861254 17.701904 18.405107 18.667949
0.500000 17.099570 17.660915 18.354798 18.284334 18.898689 19.130251
0.520000 17.514355 17.954829 18.611335 18.558352 19.140601 19.368129
0.540000 17.893193 18.247821 18.878662 18.820183 19.354741 19.558825
0.580000 18.313816 18.890581 19.446547 19.333372 19.720115 19.903140
0.600000 18.602683 19.213683 19.644564 19.554234 19.886907 20.049548
0.620000 18.930260 19.431970 19.810177 19.748913 20.058003 20.243731
0.660000 19.474747 19.758905 20.060206 20.038992 20.301476 20.502493
0.680000 19.635677 19.923958 20.213689 20.201156 20.462034 20.691780
0.700000 19.833660 20.093937 20.375544 20.361596 20.616776 20.836681
0.740000 20.102495 20.338401 20.619301 20.605759 20.853959 21.150179
0.760000 20.274816 20.493154 20.772213 20.768515 21.030287 21.318206
0.780000 20.444924 20.656330 20.929993 20.935132 21.211733 21.493367
0.820000 20.704635 20.921288 21.211529 21.223038 21.533976 21.810804
0.840000 20.861251 21.085191 21.378820 21.399601 21.728714 22.024625
0.860000 21.002304 21.248355 21.562511 21.579981 21.927659 22.207230
0.900000 21.301369 21.589295 21.918311 21.929019 22.295666 22.585663
0.920000 21.461173 21.779271 22.110944 22.124718 22.512980 22.783112
0.940000 21.648214 21.973121 22.313885 22.326588 22.710273 23.010178
0.980000 22.053785 22.381262 22.704202 22.716343 23.079627 23.382026
1.000000 22.320786 22.621861 22.975924 23.001759 23.383266 23.801307
