depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.045000 1.935008 2.879430 3.748171 3.725044 4.566468 5.404989
0.085000 2.758499 3.798912 4.765956 4.737203 5.652893 6.535297
0.125000 3.819899 4.922884 5.832326 5.775144 6.589590 7.655089
0.165000 5.225529 5.977813 6.973016 6.963679 7.986237 8.582899
0.205000 6.798488 7.557652 8.488045 8.433804 9.333247 10.000225
0.245000 7.790528 8.874911 9.692221 9.570825 10.218077 10.624837
0.285000 8.761567 9.564110 10.345557 10.236494 10.846254 11.345023
0.325000 9.431149 10.241876 10.951834 10.856138 11.445376 11.860008
0.365000 10.036796 10.985186 11.582401 11.505139 12.089621 12.490731
0.405000 11.057648 11.801255 12.342701 12.294035 12.837552 13.193851
0.445000 12.136001 12.632869 13.059923 13.026710 13.406990 13.811573
0.485000 12.980199 13.298583 13.586838 13.623477 13.965218 14.430551
0.525000 13.380123 13.700294 14.169261 14.146188 14.529296 14.951600
0.565000 13.656024 14.000673 14.534201 14.494199 14.902450 15.313372
0.605000 13.939401 14.350833 14.855066 14.832043 15.255980 15.656235
0.645000 14.250019 14.735057 15.181850 15.158094 15.563924 15.977013
0.685000 14.558941 15.057952 15.482739 15.458604 15.842852 16.241168
0.725000 14.822492 15.381357 15.774965 15.751871 16.126758 16.535150
0.735000 14.886336 15.448413 15.857341 15.830004 16.203694 16.600240
0.765000 15.130246 15.675206 16.064877 16.040735 16.415246 16.827245
0.805000 15.397836 15.956861 16.318693 16.305576 16.689846 17.065666
0.845000 15.654198 16.227500 16.570814 16.569270 16.937722 17.354214
0.885000 15.945381 16.498826 16.832333 16.826853 17.199008 17.561278
0.925000 16.211160 16.738883 17.090642 17.082021 17.448055 17.801212
0.965000 16.483977 17.013846 17.340684 17.331852 17.688797 18.025655
1.005000 16.790885 17.253465 17.584919 17.574467 17.905635 18.234667
1.045000 17.065277 17.504336 17.809841 17.805757 18.115252 18.448914
1.085000 17.282090 17.753421 18.051519 18.037684 18.324134 18.672702
1.125000 17.540527 17.984850 18.269713 18.267219 18.539765 18.949275
1.165000 17.832461 18.230324 18.482014 18.495689 18.782082 19.194752
1.205000 18.060755 18.445820 18.723470 18.726251 19.019312 19.413538
1.285000 18.462271 18.893962 19.163533 19.146335 19.414910 19.682439
1.325000 18.673859 19.134103 19.386603 19.372769 19.625885 19.879693
1.365000 18.945965 19.363501 19.600209 19.588974 19.827525 20.071409
1.405000 19.421329 19.646114 19.883617 19.881538 20.107921 20.397549
1.445000 19.709253 19.917004 20.146206 20.165185 20.411665 20.703146
1.485000 19.956497 20.178108 20.429117 20.460206 20.727947 21.144301
1.525000 20.184360 20.424826 20.718584 20.785822 21.120689 21.918618
1.605000 20.590380 20.905953 21.298617 21.503632 22.109358 23.507449
1.685000 21.065736 21.402635 21.952667 22.254548 23.188084 24.987122
1.765000 21.553996 21.976582 22.721980 23.025494 24.195015 26.054620
