depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.804445 2.621813 3.364266 3.365907 4.101017 4.860911
0.090000 2.911236 3.789084 4.779275 4.966941 6.403138 7.614188
0.130000 8.139549 8.886866 9.997879 9.936161 11.024958 11.724001
0.170000 9.966638 10.972207 11.789950 11.687020 12.310732 12.842799
0.210000 11.774557 12.298679 12.819407 12.842703 13.356487 14.292329
0.250000 14.381608 14.770247 15.072766 15.067824 15.391537 15.721112
0.290000 15.188265 15.426482 15.670594 15.667349 15.897462 16.154435
0.330000 15.713056 15.937415 16.163517 16.175622 16.421588 16.677266
0.370000 16.183255 16.420726 16.668787 16.691110 16.962718 17.339033
0.410000 16.772213 17.045881 17.412921 17.577235 18.044262 19.685632
0.450000 17.415465 17.813028 18.669806 18.900764 20.203175 21.198726
0.490000 18.011150 18.792278 20.453902 20.200437 21.399130 21.980874
0.530000 18.732633 19.952360 21.615686 21.272345 22.173747 22.657857
0.570000 19.522673 21.048032 22.384163 22.074086 22.899798 23.397459
0.610000 20.071258 21.753839 22.980076 22.695089 23.490868 24.026122
0.650000 20.754459 22.393563 23.543826 23.272376 24.075785 24.589311
0.690000 21.325439 23.013818 24.077811 23.832031 24.613591 25.134198
0.730000 21.922747 23.662986 24.589429 24.382800 25.131043 25.716671
0.770000 22.588516 24.264676 25.092749 24.929185 25.673541 26.180360
0.810000 23.300319 24.826399 25.630989 25.486119 26.194314 26.757660
0.850000 24.043617 25.412381 26.207451 26.084678 26.766342 27.334817
0.890000 24.914812 26.021809 26.801496 26.730816 27.388470 28.236644
0.930000 25.664605 26.737209 27.416379 27.426189 28.156552 29.138748
0.970000 26.721286 27.557295 28.219804 28.316160 29.127108 30.211360
