depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 0.955085 2.114920 3.401112 3.389057 4.628144 5.696197
0.012500 1.239525 2.280046 3.572365 3.544635 4.800303 5.798785
0.017500 1.354073 2.395659 3.682973 3.652092 4.898399 5.921176
0.022500 1.426744 2.510536 3.787146 3.758411 4.980288 6.010116
0.027500 1.529177 2.617143 3.887415 3.861717 5.091083 6.072774
0.032500 1.644009 2.711431 3.986523 3.966531 5.195902 6.126253
0.037500 1.815300 2.824206 4.085762 4.072526 5.335967 6.186595
0.042500 1.965467 2.953542 4.181463 4.176915 5.427074 6.263026
0.047500 2.050734 3.071994 4.298139 4.281463 5.527871 6.312450
0.052500 2.198093 3.200664 4.393208 4.384578 5.610785 6.387421
0.057500 2.313011 3.338616 4.485956 4.485725 5.693583 6.460083
0.062500 2.432602 3.482024 4.591747 4.593218 5.807329 6.530593
0.067500 2.506281 3.632248 4.680068 4.701708 5.907828 6.610887
0.072500 2.673860 3.756074 4.775542 4.809976 5.992331 6.688808
0.077500 2.835266 3.883762 4.864820 4.921509 6.060293 6.834264
0.085000 2.994492 4.064522 5.028577 5.103539 6.201000 7.072350
0.092500 3.219726 4.328349 5.214801 5.291696 6.328622 7.198145
0.097500 3.413250 4.443577 5.333752 5.406455 6.433645 7.321317
0.102500 3.500270 4.604461 5.460001 5.523141 6.564900 7.441334
0.105000 3.561271 4.671217 5.529470 5.581264 6.608360 7.516546
0.107500 3.600010 4.732553 5.591669 5.641917 6.661150 7.601554
0.112500 3.720464 4.877254 5.759018 5.784622 6.808134 7.699371
0.117500 3.789949 5.009746 5.933779 5.937554 6.924896 7.776426
0.122500 4.038879 5.163419 6.099241 6.096682 7.057588 7.906102
0.127500 4.269254 5.336806 6.266331 6.257216 7.185614 8.142352
0.132500 4.419834 5.525429 6.426291 6.426427 7.346122 8.333576
0.137500 4.528745 5.699917 6.579502 6.592512 7.523729 8.464627
0.142500 4.630623 5.869626 6.764347 6.762736 7.674028 8.655241
0.147500 4.770174 6.055845 6.946004 6.938713 7.864835 8.846367
0.152500 4.910222 6.219337 7.150616 7.118279 8.042036 9.023382
0.157500 5.100728 6.389882 7.356595 7.310791 8.237531 9.146544
0.165000 5.519745 6.698449 7.754567 7.696407 8.691102 9.627992
0.172500 5.896210 6.995285 8.166376 8.072967 9.070712 10.023143
0.177500 6.039096 7.152803 8.342026 8.246621 9.258732 10.193869
0.182500 6.235113 7.290619 8.504206 8.411270 9.461726 10.293265
0.187500 6.370225 7.432014 8.671215 8.569598 9.631576 10.434572
0.192500 6.529248 7.611599 8.843845 8.731825 9.781583 10.593667
0.202500 7.176197 8.204044 9.256902 9.181555 10.164395 10.923674
0.207500 7.370362 8.370807 9.444893 9.366836 10.316223 11.032646
0.222500 8.969225 9.774034 10.482611 10.450630 11.139185 11.757551
0.232500 9.461906 10.367771 11.054502 10.984238 11.616413 12.090022
0.237500 9.668853 10.577611 11.239693 11.173608 11.776186 12.239507
0.245000 10.151151 10.954019 11.547641 11.485044 12.041757 12.497793
0.252500 10.478554 11.273529 11.826996 11.788138 12.307825 12.741507
0.257500 10.722716 11.422140 11.989801 11.941860 12.469375 12.877815
0.262500 10.893765 11.569487 12.114063 12.073690 12.584639 12.999708
0.267500 11.068723 11.713302 12.263574 12.214926 12.731759 13.103840
0.272500 11.220806 11.869724 12.392633 12.345010 12.839507 13.232747
0.277500 11.427062 11.967367 12.505615 12.462735 12.946326 13.362111
0.282500 11.588980 12.082431 12.605126 12.572106 13.053854 13.459585
0.287500 11.757191 12.199675 12.719623 12.681471 13.163890 13.529545
