depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 0.900122 2.258157 3.411203 3.339718 4.351225 5.619019
0.012500 1.006867 2.480383 3.556136 3.497812 4.493134 5.795447
0.017500 1.144215 2.575225 3.663029 3.600241 4.580294 5.864225
0.022500 1.254832 2.673962 3.766240 3.704617 4.674515 5.957182
0.027500 1.380761 2.761343 3.867151 3.805785 4.752806 6.048806
0.032500 1.583668 2.889919 3.939454 3.910692 4.855660 6.115072
0.037500 1.746539 3.000769 4.044912 4.015735 4.927705 6.184551
0.042500 1.870116 3.108108 4.149776 4.119520 5.015312 6.229241
0.047500 1.961762 3.224166 4.244865 4.222929 5.104557 6.375061
0.052500 2.047305 3.316590 4.330884 4.324834 5.188572 6.515400
0.057500 2.189506 3.406458 4.442866 4.428099 5.269137 6.605812
0.062500 2.338173 3.499168 4.543526 4.529895 5.370813 6.665624
0.067500 2.483411 3.581497 4.647838 4.633819 5.454509 6.804811
0.072500 2.617176 3.720843 4.761830 4.739080 5.574266 6.853390
0.077500 2.737315 3.854912 4.848523 4.842470 5.684326 6.915739
0.085000 2.909770 4.069419 5.038465 5.015656 5.832075 7.050459
0.092500 3.149898 4.247516 5.224282 5.182850 6.104685 7.147998
0.097500 3.254298 4.353487 5.330961 5.289313 6.230840 7.220144
0.102500 3.395780 4.481722 5.467360 5.400837 6.338250 7.305503
0.105000 3.458695 4.523623 5.528711 5.457856 6.395233 7.358600
0.107500 3.513852 4.578392 5.589015 5.518562 6.467675 7.414383
0.112500 3.691570 4.725861 5.743672 5.673565 6.637293 7.510812
0.117500 3.822006 4.861098 5.857249 5.824210 6.785342 7.706731
0.122500 3.982196 5.028202 5.996846 5.980588 6.986786 7.868520
0.127500 4.135106 5.195741 6.137745 6.146003 7.130973 8.000084
0.132500 4.299593 5.367370 6.301831 6.312287 7.331666 8.143276
0.137500 4.486051 5.538693 6.460071 6.481708 7.495602 8.317085
0.142500 4.639946 5.678329 6.652277 6.665392 7.730499 8.532362
0.147500 4.821859 5.852292 6.846112 6.851881 7.891101 8.759910
0.152500 5.034835 6.073667 7.067781 7.045231 8.070208 8.977621
0.157500 5.264347 6.230887 7.267954 7.238268 8.255327 9.155316
0.165000 5.517664 6.545995 7.723347 7.642334 8.688818 9.524291
0.172500 5.786974 6.808684 8.110138 8.010250 9.037879 9.902235
0.177500 5.933267 6.960708 8.282188 8.182629 9.257220 10.134862
0.182500 6.114249 7.139044 8.470285 8.355755 9.423462 10.308371
0.187500 6.278764 7.316875 8.628254 8.517252 9.602229 10.473359
0.192500 6.425961 7.473189 8.811328 8.681559 9.733223 10.589449
0.202500 7.114076 8.072577 9.222775 9.135975 10.094465 10.992250
0.207500 7.408227 8.243238 9.419891 9.319955 10.263451 11.154554
0.222500 8.817955 9.752283 10.474773 10.427833 11.102636 11.690208
