depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 1.486709 2.151590 2.749938 2.737446 3.323167 3.925407
0.020000 1.617111 2.286015 2.886662 2.876504 3.457134 4.053858
0.050000 2.417251 3.122215 3.815663 3.777182 4.410676 5.002828
0.090000 3.996110 4.792642 5.669252 5.577023 6.264066 6.845804
0.130000 5.807836 6.518605 7.552506 7.388083 8.113589 8.629489
0.170000 7.674458 8.348699 9.454701 9.281086 10.087934 10.452448
0.210000 9.540208 10.381626 11.464579 11.286328 12.126223 12.494416
0.250000 11.391725 11.994606 12.447225 12.411401 12.839059 13.205276
0.290000 12.533059 12.864493 13.175620 13.199580 13.577579 13.844077
0.330000 13.064659 13.386694 13.710398 13.691879 13.988739 14.219966
0.370000 13.529814 13.840801 14.111979 14.083987 14.319622 14.503734
0.410000 13.951972 14.214295 14.405103 14.396108 14.587992 14.741540
0.450000 14.334038 14.511904 14.680983 14.678088 14.849951 15.003767
0.490000 14.591939 14.739497 14.906821 14.904436 15.072963 15.222540
0.530000 14.773123 14.931799 15.102787 15.095936 15.254679 15.409604
0.570000 14.942122 15.107435 15.265379 15.264568 15.422801 15.559068
0.610000 15.102066 15.259368 15.419240 15.419262 15.582123 15.717674
0.650000 15.244430 15.412375 15.565353 15.567245 15.728670 15.873657
0.690000 15.384608 15.558930 15.706862 15.713337 15.874057 16.030973
0.730000 15.534003 15.716353 15.880672 15.879605 16.041774 16.201865
0.770000 15.731676 15.898491 16.067244 16.063135 16.230225 16.381277
0.810000 15.908148 16.097117 16.265127 16.260046 16.424402 16.582703
0.850000 16.154963 16.333238 16.498969 16.504397 16.676934 16.868141
0.890000 16.369384 16.558925 16.726764 16.739817 16.933135 17.159949
0.930000 16.607480 16.776619 16.946195 16.965868 17.159059 17.425113
0.970000 16.817593 16.970946 17.163394 17.182930 17.386044 17.659594
1.010000 17.016254 17.181943 17.378444 17.400512 17.623077 17.908093
1.050000 17.219276 17.396328 17.594501 17.619124 17.847574 18.126915
1.090000 17.424354 17.597278 17.811177 17.836766 18.079615 18.341193
1.130000 17.625818 17.804298 18.041616 18.059057 18.309582 18.612816
1.170000 17.834647 18.027172 18.261658 18.284171 18.538815 18.890092
1.210000 18.027252 18.242233 18.484295 18.502838 18.762340 19.096516
1.250000 18.226617 18.447047 18.702055 18.720769 18.995400 19.345831
1.290000 18.401907 18.650090 18.913893 18.931322 19.217213 19.581472
1.330000 18.613849 18.875871 19.124506 19.147851 19.429571 19.807742
1.370000 18.836993 19.081758 19.337486 19.363980 19.650238 20.030195
1.410000 19.034592 19.292617 19.551875 19.575138 19.871356 20.252591
1.450000 19.247124 19.495696 19.759004 19.788081 20.085807 20.453108
1.490000 19.455461 19.703395 19.972975 20.002883 20.316602 20.686654
1.530000 19.691772 19.916082 20.181808 20.222849 20.548264 20.907907
1.570000 19.886711 20.137313 20.426223 20.472009 20.823381 21.294424
1.650000 20.227215 20.539775 20.884525 20.965715 21.302808 22.374762
1.690000 20.439584 20.761779 21.128874 21.216984 21.593653 22.676966
1.730000 20.662162 20.983528 21.386673 21.490571 21.914615 23.149575
1.760000 20.866036 21.182606 21.598257 21.711189 22.159144 23.530596
1.800000 21.092526 21.448336 21.882144 22.019101 22.539295 23.776907
