depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 5.453596 5.817254 6.102663 6.105755 6.389236 6.798612
0.040000 6.680699 7.041997 7.311852 7.304001 7.558756 7.878601
0.090000 7.816272 8.142581 8.430419 8.448829 8.768420 9.172436
0.140000 8.245564 8.600830 8.931118 8.930839 9.256353 9.646313
0.390000 12.511162 12.841422 13.091925 13.104252 13.370504 13.749955
0.440000 12.984169 13.295183 13.574977 13.610233 13.912845 14.523696
0.490000 13.273933 13.614174 13.940478 13.983594 14.357067 14.890280
0.840000 14.464024 15.057679 15.415121 15.400925 15.760720 16.175517
0.890000 14.555290 15.126686 15.478912 15.465530 15.816655 16.247093
1.060000 15.644011 16.076299 16.406867 16.402615 16.734584 17.102470
1.180000 15.981439 16.391633 16.720274 16.715333 17.022732 17.453579
1.260000 16.314604 16.748139 17.077657 17.079265 17.413659 17.830439
1.600000 18.928452 19.325603 19.673613 19.670649 20.008977 20.416576
1.720000 19.813505 20.241799 20.547044 20.551201 20.851817 21.324238
1.920000 21.696042 22.140289 22.420992 22.418537 22.719445 23.064315
2.000000 21.643298 22.314534 22.779249 22.791092 23.306420 23.915137
