depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.115000 4.423832 4.686022 4.952238 4.948731 5.211391 5.446139
0.155000 7.259972 7.483772 7.649968 7.648225 7.819016 7.985783
0.195000 8.225028 8.372104 8.571870 8.599366 8.841155 9.092586
0.235000 11.523170 11.842847 12.144672 12.131056 12.423380 12.616200
0.255000 11.883010 12.248241 12.580929 12.586405 12.929664 13.343131
0.350000 13.118268 13.739858 14.409641 14.415775 15.118790 15.641852
0.445000 15.109229 15.740669 16.115226 16.040840 16.349253 16.547174
0.475000 16.197033 16.373075 16.529459 16.529558 16.693596 16.833466
0.495000 16.461753 16.596936 16.756498 16.753442 16.903877 17.043283
0.535000 16.854385 16.993938 17.146346 17.147866 17.298735 17.481957
0.545000 16.955280 17.097963 17.257125 17.257052 17.417168 17.598997
0.565000 17.152353 17.299628 17.463715 17.466361 17.631170 17.809575
0.577000 17.270788 17.415928 17.587499 17.591631 17.764458 17.987305
0.655000 17.977794 18.139864 18.307741 18.307347 18.477740 18.634461
0.675000 18.218728 18.342152 18.504947 18.506691 18.660695 18.832827
0.730000 18.633637 18.781714 18.958089 18.958208 19.124057 19.291222
0.775000 19.042145 19.175190 19.337157 19.335770 19.481033 19.668416
0.815000 19.375259 19.528621 19.697892 19.692176 19.845226 20.021369
0.860000 19.805848 19.974089 20.133678 20.138092 20.305305 20.498591
0.875000 19.964060 20.124040 20.290268 20.293770 20.452577 20.675776
0.995000 20.993341 21.271439 21.529113 21.505840 21.726770 21.917643
1.035000 21.520013 21.772412 21.996621 21.989515 22.202628 22.399236
