age(kyr) mean(permil) sigma(permil)
0.000000 3.145442 0.365812
0.100000 3.143809 0.363614
0.200000 3.142173 0.361402
0.300000 3.140534 0.359173
0.400000 3.138892 0.356930
0.500000 3.137247 0.354671
0.600000 3.135599 0.352396
0.700000 3.133948 0.350106
0.800000 3.132293 0.347800
0.900000 3.130636 0.345478
1.000000 3.128976 0.343139
1.100000 3.127312 0.340784
1.200000 3.125646 0.338412
1.300000 3.123976 0.336023
1.400000 3.122303 0.333616
1.500000 3.120627 0.331191
1.600000 3.118948 0.328747
1.700000 3.117266 0.326285
1.800000 3.115581 0.323802
1.900000 3.113892 0.321299
2.000000 3.112201 0.318775
2.100000 3.110506 0.316229
2.200000 3.108808 0.313660
2.300000 3.107107 0.311068
2.400000 3.105403 0.308451
2.500000 3.103696 0.305808
2.600000 3.101985 0.303138
2.700000 3.100271 0.300441
2.800000 3.098554 0.297715
2.900000 3.096834 0.294960
3.000000 3.095111 0.292173
3.100000 3.093385 0.289353
3.200000 3.091655 0.286500
3.300000 3.089922 0.283613
3.400000 3.088186 0.280690
3.500000 3.086446 0.277729
3.600000 3.084704 0.274730
3.700000 3.082958 0.271692
3.800000 3.081209 0.268613
3.900000 3.079456 0.265492
4.000000 3.077701 0.262328
4.100000 3.075942 0.259119
4.200000 3.074238 0.255905
4.300000 3.072674 0.252747
4.400000 3.071196 0.249607
4.500000 3.069980 0.246604
4.600000 3.069137 0.243828
4.700000 3.068683 0.241304
4.800000 3.069133 0.239310
4.900000 3.071063 0.238180
5.000000 3.074236 0.237773
5.100000 3.078562 0.237984
5.200000 3.083897 0.238654
5.300000 3.090185 0.239644
5.400000 3.097284 0.240797
5.500000 3.104963 0.241923
5.600000 3.113133 0.242935
5.700000 3.121618 0.243759
5.800000 3.130124 0.244333
5.900000 3.138575 0.244660
6.000000 3.146968 0.244683
6.100000 3.155318 0.244447
6.200000 3.163582 0.244016
6.300000 3.171797 0.243726
6.400000 3.179873 0.243598
6.500000 3.187662 0.242970
6.600000 3.195216 0.243014
6.700000 3.202468 0.244180
6.800000 3.209045 0.245537
6.900000 3.214912 0.248217
7.000000 3.220518 0.251260
7.100000 3.226018 0.254002
7.200000 3.231690 0.256498
7.300000 3.238511 0.258596
7.400000 3.248125 0.260796
7.500000 3.260676 0.263326
7.600000 3.276597 0.266180
7.700000 3.295726 0.268979
7.800000 3.318469 0.270935
7.900000 3.344428 0.271797
8.000000 3.372946 0.271134
8.100000 3.402886 0.268974
8.200000 3.432902 0.265739
8.300000 3.462109 0.261886
8.400000 3.489635 0.258168
8.500000 3.514172 0.254975
8.600000 3.535211 0.252483
8.700000 3.553663 0.248375
8.800000 3.569539 0.245202
8.900000 3.582365 0.244412
9.000000 3.593803 0.244220
9.100000 3.605088 0.243946
9.200000 3.616380 0.241652
9.300000 3.628011 0.238315
9.400000 3.640617 0.237366
9.500000 3.654142 0.237063
9.600000 3.668602 0.237021
9.700000 3.683847 0.237025
9.800000 3.700047 0.237106
9.900000 3.716607 0.237029
10.000000 3.733445 0.236706
10.100000 3.750536 0.236172
10.200000 3.767764 0.235385
10.300000 3.785099 0.234362
10.400000 3.802576 0.233134
10.500000 3.819967 0.231718
10.600000 3.837278 0.230076
10.700000 3.854751 0.228125
10.800000 3.871812 0.226024
10.900000 3.888706 0.223613
11.000000 3.905447 0.221006
11.100000 3.921805 0.218193
11.200000 3.937983 0.215240
11.300000 3.953927 0.212190
11.400000 3.969635 0.209197
11.500000 3.984806 0.206170
11.600000 3.998987 0.202835
11.700000 4.012271 0.199249
11.800000 4.024713 0.195636
11.900000 4.036135 0.191962
12.000000 4.046601 0.188254
12.100000 4.055629 0.184691
12.200000 4.063243 0.181219
12.300000 4.068978 0.178063
12.400000 4.072145 0.175559
12.500000 4.073258 0.173552
12.600000 4.073293 0.171697
12.700000 4.072515 0.169914
12.800000 4.071327 0.168181
12.900000 4.070467 0.166356
13.000000 4.071042 0.164354
13.100000 4.074361 0.162367
13.200000 4.081247 0.160529
13.300000 4.093005 0.159291
13.400000 4.111488 0.158482
13.500000 4.135774 0.158192
13.600000 4.164526 0.158365
13.700000 4.195070 0.158592
13.800000 4.226049 0.158996
13.900000 4.254871 0.160152
14.000000 4.280173 0.161915
14.100000 4.301597 0.164064
14.200000 4.320537 0.166211
14.300000 4.337400 0.168350
14.400000 4.353414 0.170201
14.500000 4.369297 0.171488
14.600000 4.385180 0.172178
14.700000 4.401064 0.172292
14.800000 4.416950 0.171823
14.900000 4.432837 0.170748
15.000000 4.448607 0.169094
15.100000 4.464140 0.166944
15.200000 4.479165 0.164573
15.300000 4.493418 0.162230
15.400000 4.506514 0.160340
15.500000 4.518766 0.158961
15.600000 4.530367 0.158137
15.700000 4.541888 0.157630
15.800000 4.553655 0.157630
15.900000 4.566208 0.158167
16.000000 4.579732 0.158931
16.100000 4.594400 0.159713
16.200000 4.609715 0.160180
16.300000 4.625358 0.160342
16.400000 4.640139 0.160216
16.500000 4.653500 0.159867
16.600000 4.664813 0.159427
16.700000 4.673715 0.158705
16.800000 4.679850 0.158019
16.900000 4.683738 0.157392
17.000000 4.686228 0.156587
17.100000 4.687878 0.155436
17.200000 4.689592 0.153901
17.300000 4.691767 0.152449
17.400000 4.693694 0.151386
17.500000 4.695068 0.150615
17.600000 4.695734 0.150167
17.700000 4.695568 0.150070
17.800000 4.694006 0.150469
17.900000 4.691636 0.151288
18.000000 4.688949 0.151957
18.100000 4.686530 0.152411
18.200000 4.684855 0.152250
18.300000 4.684206 0.151848
18.400000 4.684862 0.151757
18.500000 4.686617 0.151989
18.600000 4.689329 0.152553
18.700000 4.692690 0.153230
18.800000 4.697244 0.154110
18.900000 4.702970 0.155083
19.000000 4.709707 0.155979
19.100000 4.716891 0.156701
19.200000 4.724596 0.157124
19.300000 4.732447 0.157392
19.400000 4.740004 0.157605
19.500000 4.747462 0.157700
19.600000 4.755003 0.157603
19.700000 4.762180 0.157292
19.800000 4.768680 0.156797
19.900000 4.774849 0.156390
20.000000 4.780331 0.156100
20.100000 4.785539 0.155986
20.200000 4.789830 0.156092
20.300000 4.793060 0.156747
20.400000 4.794753 0.158023
20.500000 4.794461 0.159700
20.600000 4.792150 0.161396
20.700000 4.788870 0.163112
20.800000 4.784306 0.164732
20.900000 4.778249 0.166149
21.000000 4.771883 0.167122
21.100000 4.764846 0.167691
21.200000 4.757319 0.167873
21.300000 4.749166 0.167940
21.400000 4.740664 0.167881
21.500000 4.731640 0.167791
21.600000 4.722002 0.167626
21.700000 4.712108 0.167517
21.800000 4.703094 0.167615
21.900000 4.695170 0.168229
22.000000 4.688563 0.169256
22.100000 4.683592 0.170734
22.200000 4.680020 0.172333
22.300000 4.677478 0.173837
22.400000 4.675876 0.175270
22.500000 4.674810 0.176597
22.600000 4.674169 0.178031
22.700000 4.673548 0.179656
22.800000 4.672867 0.181616
22.900000 4.672096 0.184381
23.000000 4.671196 0.187781
23.100000 4.670188 0.191688
23.200000 4.669143 0.195876
23.300000 4.668039 0.200373
23.400000 4.666907 0.204933
23.500000 4.665745 0.209537
23.600000 4.664575 0.214055
23.700000 4.663406 0.218462
23.800000 4.662221 0.222847
23.900000 4.661034 0.227135
24.000000 4.659849 0.231321
24.100000 4.658666 0.235410
24.200000 4.657486 0.239408
24.300000 4.656308 0.243319
24.400000 4.655131 0.247149
24.500000 4.653958 0.250901
24.600000 4.652786 0.254579
24.700000 4.651617 0.258187
24.800000 4.650449 0.261729
24.900000 4.649284 0.265206
25.000000 4.648121 0.268623
25.100000 4.646960 0.271982
25.200000 4.645802 0.275285
25.300000 4.644645 0.278536
25.400000 4.643491 0.281735
25.500000 4.642338 0.284885
25.600000 4.641188 0.287988
25.700000 4.640040 0.291046
25.800000 4.638895 0.294061
25.900000 4.637751 0.297034
26.000000 4.636609 0.299966
26.100000 4.635470 0.302860
26.200000 4.634333 0.305715
26.300000 4.633197 0.308535
26.400000 4.632064 0.311319
26.500000 4.630933 0.314069
