depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.986061 2.357169 2.668687 2.669263 2.982274 3.368661
0.090000 3.041111 3.442884 3.741718 3.751928 4.076242 4.472981
0.170000 8.593094 9.001333 9.317665 9.320272 9.635272 10.076859
0.210000 10.381270 10.803716 11.184446 11.187980 11.562221 12.031141
0.250000 12.993467 13.316494 13.597790 13.630299 13.937659 14.521435
0.290000 13.480877 13.815090 14.169903 14.200991 14.610231 15.027322
0.490000 17.237879 17.684666 18.032681 18.015433 18.347384 18.688388
0.610000 18.989483 19.366926 19.700357 19.702561 20.026797 20.429039
0.730000 20.667295 21.074951 21.436985 21.426535 21.777522 22.142252
0.850000 24.117270 24.556099 24.915702 24.902611 25.251226 25.606090
