depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.055000 2.219535 2.465483 2.724159 2.743338 3.032747 3.307025
0.060000 2.290227 2.548370 2.809413 2.828322 3.120939 3.395070
0.090000 2.954225 3.247897 3.585819 3.574734 3.871722 4.186256
0.105000 3.404368 3.656225 3.912011 3.909314 4.151010 4.443902
0.120000 3.587403 3.888937 4.154761 4.174336 4.477524 4.855371
0.140000 3.847375 4.144267 4.472705 4.505861 4.860545 5.354916
0.155000 4.013570 4.344001 4.724893 4.764307 5.180594 5.779786
0.170000 4.224756 4.535952 4.975319 5.026662 5.500393 6.136612
0.190000 4.540636 4.910527 5.376042 5.434455 6.016087 6.618531
0.220000 5.060938 5.591562 6.322795 6.324000 7.116927 7.472603
0.255000 7.361235 7.556515 7.755097 7.763588 7.972533 8.207836
0.305000 9.553627 10.191005 10.696744 10.629146 11.069093 11.393796
0.320000 9.923538 10.489959 10.967642 10.903070 11.288601 11.575846
0.340000 10.621969 10.985608 11.263479 11.248331 11.522537 11.761711
0.355000 10.911514 11.214468 11.434743 11.432529 11.668359 11.887381
0.405000 11.274112 11.553137 11.806474 11.809871 12.074441 12.355550
0.455000 11.595897 11.876617 12.149238 12.156631 12.453657 12.730035
0.505000 11.893510 12.226284 12.490965 12.504511 12.816636 13.091379
0.605000 12.541794 12.852283 13.185688 13.188077 13.532997 13.837463
0.705000 13.192302 13.516464 13.870049 13.870502 14.238576 14.573781
0.805000 13.834307 14.164082 14.527962 14.514087 14.858610 15.209097
0.921667 14.514885 14.854198 15.217169 15.225240 15.587962 15.926132
1.038333 15.233629 15.590384 15.929890 15.924961 16.259185 16.571106
1.155000 16.045210 16.365280 16.648635 16.641837 16.929836 17.203602
1.205000 16.425349 16.724495 16.982241 16.975175 17.232017 17.499130
1.255000 16.876225 17.100866 17.346446 17.352166 17.607716 17.840012
1.355000 17.591591 17.820921 18.077220 18.063224 18.300475 18.501572
1.405000 17.892837 18.149554 18.393491 18.385283 18.621705 18.829038
1.505000 18.493639 18.724444 18.943230 18.945176 19.166471 19.436628
1.555000 18.810481 19.057134 19.246665 19.258655 19.474551 19.734358
1.630000 19.305402 19.518088 19.729554 19.722212 19.914818 20.146162
1.705000 19.807956 20.001881 20.171650 20.173992 20.346284 20.531144
1.740000 20.098732 20.263750 20.445249 20.454350 20.635983 20.874761
1.755000 20.206477 20.379589 20.574434 20.595404 20.801068 21.109297
1.805000 20.497394 20.718162 20.983815 21.041755 21.370497 21.930175
1.905000 21.120872 21.387974 21.771381 21.940915 22.476941 23.677550
1.955000 21.459032 21.765610 22.202373 22.431517 23.156413 24.521791
1.995000 21.754755 22.078707 22.613611 22.857540 23.704356 25.039133
