depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 2.277492 2.519904 2.743251 2.751709 2.986191 3.252370
0.090000 3.264371 3.470668 3.684714 3.699296 3.930574 4.226459
0.130000 5.562222 6.658835 7.794242 7.610458 8.389815 8.929567
0.170000 8.837221 9.130564 9.389345 9.395365 9.678064 10.023141
0.210000 10.527999 10.772979 11.084923 11.076069 11.356461 11.704308
0.250000 13.105801 13.317575 13.534131 13.538480 13.764256 13.990718
0.290000 13.840281 14.065727 14.302374 14.315846 14.586695 14.807808
0.330000 14.373254 14.690509 15.009952 15.019806 15.354263 15.730398
0.370000 14.955019 15.397091 15.725731 15.716840 16.045876 16.370063
0.410000 15.791702 16.191849 16.484557 16.474003 16.761321 17.073287
0.450000 16.732288 17.001623 17.226596 17.230966 17.481525 17.721885
0.490000 17.488502 17.724720 17.912409 17.906403 18.093453 18.269165
0.530000 18.067206 18.255927 18.456873 18.457204 18.668160 18.859651
0.570000 18.673076 18.856386 19.037741 19.036568 19.219613 19.435175
0.610000 19.272276 19.483526 19.659038 19.661109 19.840515 20.053220
0.650000 19.797499 20.021378 20.267618 20.274499 20.512899 20.727368
0.690000 20.371593 20.646491 20.882086 20.892617 21.151172 21.369924
0.730000 21.053548 21.330817 21.576260 21.572995 21.821522 22.047339
0.770000 21.693181 22.051334 22.504019 22.598003 23.173335 23.870409
0.810000 22.508599 23.181848 23.787295 23.747762 24.312370 24.706433
0.850000 24.267112 24.573945 24.883622 24.875182 25.172134 25.474593
0.890000 24.935603 25.353522 25.758322 25.846763 26.306084 27.165790
0.930000 25.502693 26.037194 26.551046 26.714374 27.395064 28.682426
0.970000 26.245823 26.749834 27.420340 27.615827 28.531761 29.930211
