age(kyr) mean(permil) sigma(permil)
0.000000 2.785694 0.232083
0.100000 2.784597 0.228088
0.200000 2.783498 0.224095
0.300000 2.782399 0.220115
0.400000 2.781299 0.216153
0.500000 2.780197 0.212202
0.600000 2.779095 0.208250
0.700000 2.777992 0.204281
0.800000 2.776887 0.200280
0.900000 2.775782 0.196235
1.000000 2.774676 0.192131
1.100000 2.773568 0.187955
1.200000 2.772460 0.183692
1.300000 2.771351 0.179325
1.400000 2.770240 0.174836
1.500000 2.769129 0.170207
1.600000 2.768017 0.165427
1.700000 2.766904 0.160497
1.800000 2.765789 0.155423
1.900000 2.764674 0.150191
2.000000 2.763558 0.144767
2.100000 2.762461 0.139131
2.200000 2.761468 0.133413
2.300000 2.760555 0.127585
2.400000 2.760101 0.122054
2.500000 2.760142 0.116911
2.600000 2.760864 0.113004
2.700000 2.762228 0.110263
2.800000 2.764092 0.108176
2.900000 2.766158 0.107197
3.000000 2.768078 0.106709
3.100000 2.769640 0.106729
3.200000 2.770600 0.107055
3.300000 2.771105 0.107414
3.400000 2.771305 0.108147
3.500000 2.771640 0.108991
3.600000 2.772507 0.110436
3.700000 2.774125 0.112472
3.800000 2.776575 0.114790
3.900000 2.780155 0.117747
4.000000 2.784612 0.120791
4.100000 2.789914 0.124129
4.200000 2.795886 0.127389
4.300000 2.801950 0.130530
4.400000 2.807957 0.134050
4.500000 2.813983 0.137842
4.600000 2.819960 0.142020
4.700000 2.825695 0.146701
4.800000 2.831578 0.151638
4.900000 2.837755 0.157084
5.000000 2.844151 0.162994
5.100000 2.850825 0.169497
5.200000 2.857846 0.176409
5.300000 2.864787 0.183566
5.400000 2.871919 0.190996
5.500000 2.879072 0.198549
5.600000 2.886390 0.206292
5.700000 2.893813 0.214158
5.800000 2.901347 0.222038
5.900000 2.909182 0.229842
6.000000 2.917493 0.237467
6.100000 2.925858 0.244895
6.200000 2.934514 0.252026
6.300000 2.943495 0.258782
6.400000 2.952801 0.265199
6.500000 2.961846 0.271224
6.600000 2.971154 0.276845
6.700000 2.980964 0.282154
6.800000 2.991213 0.287176
6.900000 3.001664 0.291955
7.000000 3.012321 0.296461
7.100000 3.023129 0.300728
7.200000 3.034104 0.304787
7.300000 3.045007 0.308541
7.400000 3.055830 0.312088
7.500000 3.066773 0.315478
7.600000 3.077774 0.318733
7.700000 3.088874 0.321834
7.800000 3.100265 0.324776
7.900000 3.111910 0.327641
8.000000 3.123725 0.330455
8.100000 3.136015 0.333205
8.200000 3.148354 0.335842
8.300000 3.160825 0.338271
8.400000 3.173804 0.340471
8.500000 3.187325 0.342355
8.600000 3.201798 0.343890
8.700000 3.217142 0.345049
8.800000 3.232797 0.345794
8.900000 3.248989 0.346125
9.000000 3.265517 0.345999
9.100000 3.282162 0.345447
9.200000 3.298819 0.344497
9.300000 3.315567 0.343105
9.400000 3.332270 0.341323
9.500000 3.348916 0.339129
9.600000 3.365493 0.336566
9.700000 3.381955 0.333553
9.800000 3.398434 0.329981
9.900000 3.415025 0.325847
10.000000 3.431635 0.321163
10.100000 3.448525 0.316084
10.200000 3.465792 0.310793
10.300000 3.483126 0.305358
10.400000 3.500897 0.299951
10.500000 3.518968 0.294687
10.600000 3.537468 0.289970
10.700000 3.556308 0.286151
10.800000 3.575772 0.283220
10.900000 3.595724 0.280539
11.000000 3.616515 0.277354
11.100000 3.638165 0.273699
11.200000 3.660488 0.269360
11.300000 3.682971 0.264379
11.400000 3.705960 0.259200
11.500000 3.729172 0.253731
11.600000 3.751917 0.248620
11.700000 3.774511 0.244364
11.800000 3.797147 0.241187
11.900000 3.819872 0.239342
12.000000 3.842622 0.239238
12.100000 3.865894 0.241437
12.200000 3.889655 0.246020
12.300000 3.914116 0.252754
12.400000 3.939574 0.261466
12.500000 3.965887 0.271793
12.600000 3.993301 0.283412
12.700000 4.021795 0.295888
12.800000 4.050719 0.308705
12.900000 4.080111 0.321329
13.000000 4.109921 0.333047
