depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.105000 3.831114 4.233211 4.559745 4.556249 4.870089 5.264539
0.155000 6.145164 6.468524 6.749090 6.746478 7.028938 7.330785
0.205000 8.480509 8.865427 9.194677 9.193001 9.489639 9.934426
0.255000 10.529364 10.953579 11.330546 11.334590 11.708320 12.164071
0.305000 12.416458 12.783167 13.015977 13.024340 13.280206 13.661394
0.355000 13.213331 13.558355 13.870069 13.910572 14.276890 14.812388
0.405000 13.549242 13.897445 14.264719 14.287050 14.693809 15.135536
0.455000 14.257110 14.807859 15.192354 15.171735 15.532396 15.944796
0.555000 16.888150 17.271916 17.593330 17.582214 17.898089 18.224463
0.605000 17.680037 18.080635 18.362321 18.349837 18.614003 18.963144
0.705000 19.187214 19.576541 19.904066 19.898664 20.217332 20.571068
0.755000 19.638298 20.076632 20.393083 20.392357 20.708703 21.164706
0.805000 20.369972 20.772725 21.094007 21.104657 21.447242 21.866716
