depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.168236 0.438067 0.652651 0.668391 0.894902 1.214964
0.090000 5.399712 5.738351 6.022736 6.014995 6.278197 6.624767
0.130000 7.281907 7.575678 7.816909 7.824622 8.074036 8.421040
0.170000 8.555500 8.954308 9.280891 9.281841 9.607094 10.056789
0.250000 10.634456 11.092332 11.436297 11.442175 11.801561 12.256067
0.330000 13.269767 13.604346 13.920349 13.960866 14.322364 14.843609
0.370000 13.514467 13.875820 14.228272 14.255745 14.661538 15.072308
0.450000 14.362611 14.982286 15.336688 15.316504 15.667634 16.069644
0.490000 15.000582 15.455273 15.801152 15.791863 16.135635 16.534458
0.590000 15.411318 15.851737 16.193681 16.190701 16.538291 16.921561
0.890000 16.549984 16.972318 17.286079 17.288497 17.628112 17.979286
0.970000 16.652450 17.066432 17.383544 17.389983 17.733177 18.089791
1.050000 17.066364 17.437278 17.764509 17.750216 18.055781 18.422834
1.150000 17.450066 17.879951 18.190412 18.179401 18.494917 18.810048
1.250000 18.001542 18.355110 18.653701 18.653634 18.943915 19.344965
1.370000 18.638643 18.964550 19.261297 19.273430 19.581377 19.991633
1.530000 18.917438 19.283666 19.609166 19.609431 19.930586 20.321507
