depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 0.468169 1.384569 2.307414 2.193270 2.927032 3.308800
0.012500 0.743813 1.567431 2.486487 2.371685 3.060231 3.473648
0.017500 0.923609 1.701691 2.599414 2.490810 3.162219 3.602062
0.022500 1.072583 1.863483 2.722961 2.610336 3.263408 3.691238
0.027500 1.221387 2.003810 2.832027 2.721582 3.357633 3.778549
0.032500 1.384562 2.128939 2.954606 2.835832 3.440373 3.839879
0.037500 1.540650 2.292715 3.070944 2.955776 3.518684 3.919051
0.042500 1.693581 2.429323 3.181013 3.074152 3.613371 4.002080
0.047500 1.887532 2.601087 3.290541 3.189812 3.705834 4.086645
0.052500 2.020004 2.760513 3.389197 3.302608 3.803309 4.173250
0.057500 2.156085 2.917822 3.515114 3.423472 3.912698 4.246751
0.062500 2.366495 3.068821 3.624915 3.540358 4.010124 4.338517
0.067500 2.590264 3.208104 3.731742 3.666875 4.092984 4.407557
0.072500 2.801838 3.372341 3.847948 3.792431 4.184199 4.503969
0.077500 3.027296 3.548479 3.966619 3.924694 4.286155 4.593965
0.085000 3.403101 3.820419 4.163624 4.138020 4.448531 4.730413
0.092500 3.767435 4.084619 4.358623 4.342201 4.589674 4.883257
0.097500 3.964937 4.245577 4.470200 4.472745 4.697975 4.992633
0.102500 4.156647 4.391133 4.595890 4.603381 4.812818 5.105898
0.105000 4.229164 4.452699 4.667203 4.671068 4.875824 5.172753
0.107500 4.293404 4.516354 4.745114 4.744375 4.962379 5.234445
0.112500 4.452987 4.670181 4.894371 4.913366 5.161144 5.463981
0.117500 4.620102 4.839553 5.074789 5.097740 5.360695 5.656406
0.122500 4.771875 5.006355 5.275020 5.295382 5.597313 5.875640
0.127500 4.950761 5.206096 5.491976 5.503573 5.814480 6.069421
0.132500 5.117317 5.421262 5.712915 5.716535 6.010615 6.273730
0.137500 5.385943 5.667348 5.948556 5.940395 6.216432 6.486000
0.142500 5.634860 5.898032 6.174796 6.167404 6.432373 6.666490
0.147500 5.876502 6.129286 6.388250 6.385035 6.623682 6.866643
0.152500 6.212482 6.390607 6.604960 6.607775 6.811876 7.048245
0.155000 6.327318 6.481399 6.706590 6.701449 6.903898 7.123347
0.157500 6.392650 6.562727 6.795378 6.790697 7.007951 7.236278
0.165000 6.656458 6.853989 7.146376 7.182281 7.507327 7.893188
0.172500 6.949679 7.214643 7.585135 7.598568 7.999413 8.351334
0.177500 7.081286 7.412256 7.783556 7.800410 8.206681 8.572609
0.182500 7.272559 7.612087 7.980096 7.995859 8.394349 8.770956
0.187500 7.477951 7.817275 8.178543 8.193998 8.587788 8.939644
0.192500 7.623801 8.007483 8.396124 8.391397 8.782394 9.102061
0.202500 8.467897 8.722133 8.999216 8.984769 9.233795 9.426998
0.205000 8.576942 8.822181 9.092254 9.076642 9.309835 9.525520
0.207500 8.656738 8.915862 9.173830 9.164326 9.405241 9.632855
0.222500 9.178162 9.508342 9.886388 9.920296 10.337618 10.776470
0.232500 9.589470 10.001613 10.422386 10.403679 10.799231 11.188557
0.237500 9.793698 10.228620 10.635640 10.612281 11.005472 11.345563
0.245000 10.241124 10.612593 10.954313 10.940518 11.249156 11.603487
0.252500 10.782560 11.019136 11.248360 11.270709 11.539273 11.826993
0.255000 10.859577 11.108923 11.337044 11.353258 11.613543 11.887147
0.257500 10.950375 11.188205 11.423862 11.435486 11.695352 11.952373
0.262500 11.097384 11.349554 11.591250 11.605493 11.866217 12.128744
0.267500 11.272021 11.538504 11.809408 11.806626 12.088751 12.307739
0.272500 11.472679 11.727328 11.991638 11.987260 12.254805 12.473614
0.277500 11.645007 11.918373 12.156749 12.151076 12.388826 12.589316
0.282500 11.825058 12.099246 12.317966 12.306024 12.532228 12.705714
0.287500 12.046631 12.264877 12.473700 12.463072 12.661865 12.822369
0.292500 12.210266 12.422174 12.606850 12.603723 12.788282 12.937414
0.297500 12.405919 12.611382 12.756559 12.757752 12.931348 13.076191
0.302500 12.604260 12.747854 12.898620 12.900473 13.053134 13.184025
0.305000 12.661219 12.817597 12.964037 12.962617 13.106189 13.243485
0.307500 12.723771 12.876374 13.019938 13.019263 13.161300 13.306239
0.312500 12.825084 12.974761 13.115936 13.115420 13.258555 13.408587
0.317500 12.912458 13.058405 13.201203 13.203495 13.354225 13.506992
0.325000 13.036418 13.179566 13.328635 13.327781 13.483159 13.629815
0.332500 13.140122 13.291099 13.451107 13.448496 13.610836 13.751216
0.337500 13.207449 13.375608 13.534371 13.531584 13.700380 13.823390
0.342500 13.288374 13.454298 13.621055 13.615400 13.776298 13.896272
