depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.966317 1.223297 1.507819 1.544419 1.864651 2.294721
0.020000 1.346839 1.539794 1.765073 1.804758 2.056755 2.488126
0.050000 3.052435 3.227235 3.438784 3.453266 3.679278 3.959992
0.090000 5.327180 5.495010 5.669558 5.680670 5.870646 6.061302
0.130000 7.330146 7.527664 7.717442 7.708219 7.894115 8.055902
0.170000 8.720930 9.013530 9.244588 9.240775 9.478729 9.719207
0.210000 9.679779 10.402039 10.924833 10.843858 11.283390 11.518759
0.250000 11.047198 11.286314 11.558716 11.558962 11.828348 12.133169
0.290000 11.817258 12.348753 12.780878 12.750343 13.167181 13.448666
0.330000 13.263636 13.462459 13.646942 13.650424 13.841049 14.069186
0.370000 13.698784 13.877320 14.085517 14.107078 14.343434 14.612202
0.410000 14.030800 14.290643 14.582369 14.565977 14.835990 15.007524
0.450000 14.761823 14.955206 15.099268 15.085488 15.220452 15.323731
0.490000 15.125315 15.232399 15.336878 15.338251 15.442212 15.545463
0.530000 15.313631 15.409448 15.515709 15.516224 15.622119 15.730438
0.570000 15.488812 15.595162 15.689861 15.693494 15.793161 15.900877
0.590000 15.592108 15.692149 15.787958 15.792032 15.890323 16.003887
0.610000 15.689891 15.784184 15.883794 15.885852 15.985377 16.100244
0.650000 15.842338 15.954415 16.056290 16.056186 16.160330 16.277707
0.690000 16.022774 16.126763 16.235327 16.236088 16.339205 16.456040
0.730000 16.207356 16.305348 16.412163 16.413251 16.518041 16.637517
0.770000 16.375789 16.494675 16.595457 16.595704 16.701849 16.805157
0.810000 16.578531 16.685740 16.779207 16.784937 16.892725 16.989975
0.850000 16.781404 16.879763 16.982404 16.981697 17.086749 17.188329
0.890000 16.969337 17.063072 17.169875 17.167754 17.267393 17.360134
0.930000 17.148886 17.247424 17.351017 17.348747 17.447274 17.535767
0.970000 17.326918 17.429528 17.526064 17.525759 17.625733 17.700122
1.010000 17.509287 17.602521 17.691953 17.695321 17.793185 17.878954
1.050000 17.679999 17.768273 17.860677 17.861755 17.951935 18.063617
1.090000 17.843623 17.934058 18.032180 18.033245 18.129801 18.229277
1.130000 18.009216 18.105607 18.205497 18.204838 18.305343 18.396828
1.150000 18.100704 18.196652 18.297060 18.297970 18.402629 18.498193
1.170000 18.197044 18.288183 18.389010 18.392242 18.497817 18.589667
1.210000 18.359060 18.455750 18.561254 18.564400 18.669869 18.781437
1.250000 18.526716 18.622727 18.730747 18.729699 18.834680 18.941382
1.290000 18.669515 18.780783 18.903485 18.899196 19.008833 19.139940
1.330000 18.829492 18.946122 19.070547 19.070746 19.190385 19.315406
1.370000 18.999693 19.114000 19.243940 19.244810 19.372959 19.514245
1.410000 19.140777 19.283435 19.410473 19.415654 19.552416 19.705586
1.450000 19.302904 19.441373 19.582339 19.589188 19.734122 19.888758
1.490000 19.488306 19.602480 19.759343 19.763449 19.920723 20.071622
1.530000 19.650275 19.781108 19.937513 19.945589 20.106401 20.285735
1.570000 19.834367 19.973186 20.152265 20.186198 20.368182 20.765267
1.650000 20.114456 20.339421 20.590640 20.711203 21.023109 22.260891
1.690000 20.302549 20.541036 20.822788 20.977571 21.334232 22.923171
1.730000 20.496401 20.747807 21.078785 21.262113 21.732445 23.383659
1.760000 20.662239 20.926717 21.299565 21.504306 22.019401 23.676158
1.800000 20.850656 21.175225 21.630097 21.816659 22.405363 24.004698
