age(kyr) mean(permil) sigma(permil)
0.000000 2.562247 0.148490
0.100000 2.561582 0.145278
0.200000 2.560916 0.141998
0.300000 2.560251 0.138641
0.400000 2.559585 0.135201
0.500000 2.558918 0.131676
0.600000 2.558192 0.128117
0.700000 2.557428 0.124507
0.800000 2.556647 0.120826
0.900000 2.555777 0.117116
1.000000 2.554828 0.113346
1.100000 2.553907 0.109538
1.200000 2.552732 0.105982
1.300000 2.551052 0.103068
1.400000 2.548992 0.100646
1.500000 2.546754 0.099031
1.600000 2.544319 0.098169
1.700000 2.541549 0.098290
1.800000 2.538342 0.099337
1.900000 2.534820 0.100921
2.000000 2.530724 0.102683
2.100000 2.526347 0.104406
2.200000 2.522012 0.106085
2.300000 2.517865 0.107744
2.400000 2.513840 0.109319
2.500000 2.510162 0.110745
2.600000 2.506769 0.111687
2.700000 2.503550 0.111979
2.800000 2.500917 0.111451
2.900000 2.499097 0.109936
3.000000 2.497604 0.107931
3.100000 2.496259 0.105319
3.200000 2.495818 0.102235
3.300000 2.496291 0.100849
3.400000 2.497163 0.100550
3.500000 2.498959 0.100353
3.600000 2.501741 0.100239
3.700000 2.505218 0.100810
3.800000 2.509866 0.102491
3.900000 2.515689 0.103895
4.000000 2.522807 0.104594
4.100000 2.530332 0.104645
4.200000 2.538350 0.104370
4.300000 2.546335 0.104252
4.400000 2.553562 0.104161
4.500000 2.559317 0.104279
4.600000 2.563874 0.104552
4.700000 2.566839 0.105333
4.800000 2.567611 0.106932
4.900000 2.567066 0.109327
5.000000 2.565384 0.112545
5.100000 2.563272 0.116357
5.200000 2.560455 0.120702
5.300000 2.557133 0.125449
5.400000 2.553590 0.130428
5.500000 2.549882 0.135316
5.600000 2.546221 0.140125
5.700000 2.542739 0.144396
5.800000 2.540354 0.148161
5.900000 2.538809 0.151790
6.000000 2.538750 0.155311
6.100000 2.539773 0.159807
6.200000 2.542886 0.164768
6.300000 2.548410 0.170278
6.400000 2.555854 0.176386
6.500000 2.564849 0.183481
6.600000 2.574822 0.191442
6.700000 2.585635 0.200710
6.800000 2.596560 0.211627
6.900000 2.607484 0.224302
7.000000 2.618122 0.238315
7.100000 2.628571 0.252293
7.200000 2.638418 0.264480
7.300000 2.647702 0.273764
7.400000 2.656684 0.280359
7.500000 2.665544 0.285019
7.600000 2.674545 0.288373
7.700000 2.684213 0.291178
7.800000 2.694996 0.293176
7.900000 2.706481 0.294840
8.000000 2.718576 0.296797
8.100000 2.731035 0.298962
8.200000 2.743703 0.301584
8.300000 2.756324 0.304386
8.400000 2.768838 0.306759
8.500000 2.781286 0.308478
8.600000 2.793419 0.309438
8.700000 2.805184 0.309876
8.800000 2.816386 0.309366
8.900000 2.826993 0.308423
9.000000 2.837450 0.306775
9.100000 2.848030 0.305691
9.200000 2.859041 0.303422
9.300000 2.871124 0.300551
9.400000 2.884293 0.296804
9.500000 2.898474 0.292823
9.600000 2.913234 0.287958
9.700000 2.928551 0.282808
9.800000 2.944442 0.277867
9.900000 2.960639 0.273616
10.000000 2.976927 0.269705
10.100000 2.993393 0.265765
10.200000 3.010227 0.261895
10.300000 3.027370 0.258083
10.400000 3.044983 0.254235
10.500000 3.062975 0.250805
10.600000 3.081409 0.246964
10.700000 3.099965 0.242113
10.800000 3.118428 0.239863
10.900000 3.136634 0.232042
11.000000 3.154624 0.227728
11.100000 3.172241 0.223483
11.200000 3.189575 0.219863
11.300000 3.206745 0.216838
11.400000 3.223475 0.214653
11.500000 3.239787 0.212163
11.600000 3.255822 0.207522
11.700000 3.271836 0.200636
11.800000 3.287467 0.192045
11.900000 3.303066 0.182299
12.000000 3.318472 0.170573
12.100000 3.333743 0.156891
12.200000 3.349015 0.143393
12.300000 3.364657 0.131592
12.400000 3.381206 0.121718
12.500000 3.398896 0.114093
12.600000 3.417755 0.108073
12.700000 3.437475 0.103189
12.800000 3.457734 0.099084
12.900000 3.476742 0.095082
13.000000 3.494070 0.091384
13.100000 3.509104 0.088595
13.200000 3.521236 0.087459
13.300000 3.530318 0.089098
13.400000 3.538683 0.094025
13.500000 3.547349 0.101557
13.600000 3.557462 0.112006
13.700000 3.570288 0.127385
13.800000 3.586906 0.147927
13.900000 3.605842 0.175572
14.000000 3.626042 0.207671
14.100000 3.646560 0.227777
14.200000 3.666364 0.235817
14.300000 3.684445 0.237629
14.400000 3.701414 0.234637
14.500000 3.718172 0.221952
14.600000 3.735564 0.212312
14.700000 3.754897 0.208745
14.800000 3.777610 0.208062
14.900000 3.802730 0.202813
15.000000 3.829748 0.190926
15.100000 3.857257 0.176806
15.200000 3.884206 0.158390
15.300000 3.909198 0.143260
15.400000 3.932125 0.139149
15.500000 3.952778 0.134658
15.600000 3.971572 0.137395
15.700000 3.988236 0.152338
15.800000 4.002927 0.171034
15.900000 4.017015 0.187057
16.000000 4.030632 0.209836
16.100000 4.044619 0.244334
16.200000 4.059653 0.276213
16.300000 4.076608 0.297961
16.400000 4.095493 0.315978
16.500000 4.116777 0.339843
16.600000 4.140044 0.365973
16.700000 4.166128 0.374318
16.800000 4.195118 0.350097
16.900000 4.225306 0.303661
17.000000 4.255651 0.255321
17.100000 4.285238 0.219141
17.200000 4.312666 0.197908
17.300000 4.337002 0.180590
17.400000 4.358537 0.159959
17.500000 4.377913 0.135072
17.600000 4.395947 0.111462
17.700000 4.412937 0.100668
17.800000 4.428333 0.098687
17.900000 4.442343 0.101761
18.000000 4.454404 0.102200
18.100000 4.464659 0.094785
18.200000 4.471801 0.085446
18.300000 4.475620 0.079959
18.400000 4.478004 0.079347
18.500000 4.479498 0.081632
18.600000 4.480631 0.085980
18.700000 4.481909 0.091461
18.800000 4.483260 0.096426
18.900000 4.484087 0.099344
19.000000 4.484009 0.098492
19.100000 4.483072 0.096152
19.200000 4.480665 0.096058
19.300000 4.476698 0.097875
19.400000 4.472075 0.100519
19.500000 4.467125 0.103646
19.600000 4.462410 0.105805
19.700000 4.458701 0.106464
19.800000 4.456529 0.107329
19.900000 4.455212 0.108589
20.000000 4.454718 0.110387
20.100000 4.454423 0.112352
20.200000 4.453957 0.114688
20.300000 4.452740 0.117577
20.400000 4.451319 0.120767
20.500000 4.449895 0.123578
20.600000 4.448642 0.125417
20.700000 4.447681 0.126259
20.800000 4.447404 0.126284
20.900000 4.447105 0.125562
21.000000 4.446547 0.124327
21.100000 4.445533 0.122781
21.200000 4.443495 0.121274
21.300000 4.440485 0.119951
21.400000 4.437217 0.118789
21.500000 4.433535 0.117815
21.600000 4.429997 0.116873
21.700000 4.427064 0.115982
21.800000 4.424575 0.115330
21.900000 4.422222 0.114680
22.000000 4.419987 0.114032
22.100000 4.417924 0.113346
22.200000 4.416147 0.112738
22.300000 4.414961 0.112221
22.400000 4.414398 0.111878
22.500000 4.414696 0.111767
22.600000 4.415566 0.111717
22.700000 4.416874 0.111755
22.800000 4.418250 0.111870
22.900000 4.419690 0.111888
23.000000 4.421260 0.111863
23.100000 4.422756 0.111647
23.200000 4.423995 0.111335
23.300000 4.425152 0.111138
23.400000 4.426074 0.111032
23.500000 4.426776 0.111013
23.600000 4.427069 0.110973
23.700000 4.427336 0.110943
23.800000 4.427462 0.110976
23.900000 4.427432 0.110979
24.000000 4.427070 0.111093
24.100000 4.426653 0.111197
24.200000 4.426100 0.111410
24.300000 4.425387 0.111804
24.400000 4.424671 0.112103
24.500000 4.423993 0.112286
24.600000 4.423314 0.112285
24.700000 4.422366 0.112395
24.800000 4.421245 0.112666
24.900000 4.419971 0.112999
25.000000 4.418433 0.113365
25.100000 4.416711 0.113798
25.200000 4.414673 0.114330
25.300000 4.412237 0.115083
25.400000 4.409497 0.115939
25.500000 4.406498 0.116859
25.600000 4.403291 0.117791
25.700000 4.399957 0.118667
25.800000 4.396180 0.119703
25.900000 4.392225 0.120736
26.000000 4.387951 0.121946
26.100000 4.383441 0.123150
26.200000 4.378769 0.124364
26.300000 4.373856 0.125697
26.400000 4.368639 0.127176
26.500000 4.363242 0.128631
26.600000 4.357676 0.130054
26.700000 4.352032 0.131398
26.800000 4.346077 0.132815
26.900000 4.339774 0.134293
27.000000 4.333475 0.135612
27.100000 4.327152 0.136807
27.200000 4.320881 0.137835
27.300000 4.315056 0.138498
27.400000 4.309489 0.138922
27.500000 4.304016 0.139227
27.600000 4.298673 0.139411
27.700000 4.293624 0.139392
27.800000 4.288823 0.139254
27.900000 4.284442 0.138939
28.000000 4.280215 0.138521
28.100000 4.276297 0.137950
28.200000 4.272246 0.137362
28.300000 4.268254 0.136795
28.400000 4.264098 0.136216
28.500000 4.260042 0.135644
28.600000 4.256183 0.135022
28.700000 4.252434 0.134504
28.800000 4.248897 0.134057
28.900000 4.245492 0.133624
29.000000 4.242319 0.133113
29.100000 4.239206 0.132563
29.200000 4.236546 0.132077
29.300000 4.234437 0.131664
29.400000 4.232719 0.131242
29.500000 4.231437 0.130851
29.600000 4.230085 0.130484
29.700000 4.228922 0.130174
29.800000 4.227686 0.129865
29.900000 4.226678 0.129507
30.000000 4.225672 0.129137
30.100000 4.224913 0.128843
30.200000 4.224173 0.128668
30.300000 4.223749 0.128694
30.400000 4.223456 0.128857
30.500000 4.223187 0.129140
30.600000 4.222877 0.129392
30.700000 4.222658 0.129679
