depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 3.270646 3.670979 4.019384 4.018378 4.364835 4.767143
0.180000 6.643647 6.989777 7.260114 7.248291 7.498136 7.811954
0.260000 9.954452 10.380075 10.732981 10.731806 11.065328 11.556336
0.300000 10.831085 11.313593 11.671572 11.675206 12.057462 12.441535
0.340000 12.732902 13.040281 13.295816 13.316616 13.587596 14.035746
0.380000 13.717556 14.122313 14.498621 14.498807 14.880544 15.263676
0.420000 14.773938 15.290096 15.615879 15.613444 15.948744 16.381423
0.740000 20.099837 20.517706 20.839166 20.858382 21.221065 21.704308
0.900000 20.261842 20.632895 20.956900 20.968261 21.307093 21.742147
0.980000 21.284296 21.758729 22.082033 22.059341 22.353631 22.748798
