depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.305000 4.297939 4.699031 5.016438 5.005061 5.301918 5.639791
0.405000 6.031294 6.384160 6.651302 6.656263 6.937588 7.264552
0.405000 6.026529 6.371233 6.643148 6.642790 6.921280 7.227782
0.505000 7.584191 7.858146 8.118035 8.133008 8.384859 8.830762
0.575000 8.219634 8.538658 8.839099 8.846351 9.153034 9.490594
0.605000 8.961862 9.389431 9.697249 9.705339 10.034932 10.454584
0.655000 9.389040 9.731505 10.082218 10.088630 10.432942 10.909181
0.675000 10.690991 11.148587 11.481491 11.489891 11.846921 12.305764
0.705000 11.114838 11.500879 11.880744 11.870883 12.247389 12.559326
0.755000 11.410838 11.891037 12.257343 12.223533 12.547455 12.850947
0.805000 12.074449 12.574083 12.823407 12.810694 13.066362 13.394894
0.855000 13.259816 13.583263 13.890945 13.934366 14.298280 14.810450
0.905000 13.534522 13.899754 14.273396 14.287875 14.689883 15.084987
0.955000 13.057321 13.378945 13.658528 13.690584 13.990976 14.556831
1.005000 13.545092 13.896528 14.263611 14.284151 14.690209 15.084216
1.055000 14.190824 14.719581 15.132197 15.103486 15.474632 15.886131
1.105000 14.425732 15.026393 15.371685 15.354889 15.693475 16.108709
1.155000 14.822838 15.269745 15.597015 15.592478 15.928409 16.321495
1.205000 14.286199 14.847534 15.217572 15.201141 15.560317 15.992116
1.255000 14.986397 15.438722 15.775931 15.766743 16.101526 16.520522
1.305000 15.259032 15.683664 16.017722 16.013875 16.351771 16.764639
1.345000 15.757034 16.174724 16.514130 16.507029 16.832955 17.242351
1.405000 15.374894 15.802616 16.137102 16.133491 16.471890 16.867451
1.465000 16.867955 17.291841 17.619641 17.615135 17.944588 18.323473
1.505000 17.165833 17.586244 17.922800 17.911129 18.217153 18.595970
1.805000 19.527159 19.915600 20.232992 20.236137 20.548967 20.973305
1.825000 19.577869 20.004396 20.330300 20.331630 20.654041 21.111636
1.855000 21.031027 21.458293 21.800074 21.779447 22.096944 22.427728
1.905000 21.739917 22.160034 22.432526 22.429618 22.714579 23.048015
