depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 1.344363 2.099292 2.700900 2.665647 3.225418 3.705327
0.040000 1.957591 2.535848 3.050037 3.029368 3.501725 3.971250
0.060000 2.446050 3.016913 3.434645 3.409816 3.798102 4.219500
0.100000 3.610389 3.907360 4.164789 4.176063 4.434871 4.773235
0.120000 4.006910 4.357396 4.764756 4.911610 5.548910 6.327411
0.140000 4.533632 4.958195 5.783568 5.728014 6.435292 6.845044
0.180000 6.773435 7.022732 7.257958 7.238861 7.452020 7.633183
0.200000 7.233200 7.501793 7.818060 7.888398 8.276063 8.859586
0.220000 7.617847 8.040607 8.497587 8.601813 9.226205 9.927448
0.260000 10.140510 10.330850 10.533663 10.542592 10.760348 10.966715
0.280000 10.581379 10.780373 10.981452 10.982056 11.185291 11.389719
0.300000 11.116479 11.270628 11.478495 11.498478 11.714153 12.018634
0.340000 12.880053 13.091484 13.283103 13.272591 13.453543 13.636685
0.360000 13.442324 13.653980 13.847128 13.835198 14.014389 14.189511
0.380000 14.028937 14.192300 14.391057 14.393241 14.585897 14.776264
0.420000 15.181864 15.354052 15.552507 15.575832 15.814581 16.078181
0.440000 15.918549 16.157561 16.494476 16.489717 16.816904 17.071961
0.460000 16.259050 16.555260 16.864694 16.848141 17.148648 17.400856
0.500000 16.786431 17.124432 17.423108 17.396022 17.656767 17.835534
0.520000 17.098153 17.444280 17.698553 17.669274 17.902059 18.081022
0.540000 17.398020 17.738997 17.960469 17.929878 18.134167 18.298848
0.580000 17.968722 18.285513 18.452478 18.442646 18.623094 18.789859
0.600000 18.230987 18.515585 18.685839 18.679223 18.858798 19.005106
0.620000 18.522327 18.736560 18.908106 18.902877 19.069360 19.238215
0.660000 18.951731 19.155976 19.334539 19.331665 19.514908 19.671142
0.680000 19.182283 19.376836 19.552752 19.551482 19.737627 19.871024
0.700000 19.404287 19.589398 19.770405 19.765208 19.944582 20.086610
0.740000 19.842586 19.987858 20.154225 20.157099 20.327736 20.471339
0.760000 20.026666 20.183049 20.346817 20.344745 20.511287 20.639073
0.780000 20.197115 20.374209 20.538043 20.533893 20.699388 20.849114
0.820000 20.501046 20.658268 20.832235 20.825995 20.985422 21.133304
0.840000 20.669674 20.840063 21.016580 21.011956 21.180301 21.330529
0.860000 20.837953 21.017360 21.191337 21.192800 21.364108 21.513663
0.900000 21.201913 21.333752 21.513098 21.503612 21.666645 21.804128
0.920000 21.410084 21.556436 21.720300 21.714208 21.874191 22.027810
0.940000 21.608594 21.763051 21.930216 21.925914 22.081787 22.229692
0.980000 22.025217 22.175515 22.313385 22.323836 22.474269 22.682725
1.000000 22.267522 22.430134 22.588604 22.609205 22.782332 23.043736
