depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.448885 1.396660 2.334108 2.236061 3.057074 3.478520
0.040000 0.774483 1.774523 2.625078 2.530294 3.277715 3.682016
0.080000 1.305519 2.229678 3.011910 2.912174 3.592891 3.972945
0.120000 1.777740 2.651069 3.411296 3.286964 3.904538 4.228570
0.160000 2.312457 3.050910 3.767221 3.660293 4.210332 4.537209
0.200000 2.813206 3.520931 4.128868 4.029776 4.502350 4.789205
0.240000 3.479996 4.049790 4.487920 4.431383 4.806666 5.091148
0.280000 4.152790 4.544245 4.875296 4.840660 5.122577 5.389068
0.305000 4.616445 4.873468 5.133932 5.120415 5.355827 5.587774
0.320000 4.773056 5.067934 5.326748 5.330143 5.586668 5.869762
0.360000 5.306583 5.614739 5.961333 5.936604 6.247698 6.481245
0.400000 6.215725 6.397558 6.561870 6.567925 6.740820 6.936796
0.405000 6.323832 6.473116 6.638771 6.642569 6.805749 6.994437
0.440000 6.680980 6.883117 7.127187 7.149703 7.402550 7.748053
0.480000 7.150181 7.445117 7.735156 7.719397 7.978193 8.218838
0.505000 7.689730 7.898193 8.099774 8.093823 8.284322 8.485495
0.520000 7.878061 8.092925 8.299218 8.292676 8.490089 8.718121
0.560000 8.324925 8.570635 8.787242 8.790720 9.018297 9.215363
0.575000 8.603808 8.795275 9.009616 9.008631 9.225498 9.384345
0.600000 9.064484 9.301973 9.502484 9.514433 9.733971 9.984389
0.605000 9.169460 9.386361 9.579165 9.592539 9.796055 10.076157
0.640000 9.684703 9.873935 10.113525 10.137561 10.409853 10.770643
0.655000 9.928961 10.123803 10.365177 10.386488 10.655736 10.990739
0.675000 10.608640 10.917750 11.228108 11.196762 11.462344 11.656000
0.680000 10.688335 10.999638 11.305619 11.276004 11.538174 11.737177
0.705000 11.304401 11.504355 11.727146 11.726756 11.941012 12.141223
0.720000 11.498542 11.721514 11.934778 11.928416 12.143898 12.317774
0.755000 11.930463 12.130797 12.329370 12.318485 12.498950 12.656683
0.800000 12.475316 12.635951 12.800950 12.800633 12.964369 13.106577
0.805000 12.527241 12.709804 12.866193 12.860680 13.023185 13.157178
0.840000 12.930904 13.093437 13.258191 13.254636 13.417553 13.552689
0.855000 13.139393 13.292638 13.429651 13.430869 13.579155 13.709414
0.880000 13.340432 13.470958 13.614595 13.615012 13.756430 13.883532
0.905000 13.518623 13.645902 13.782050 13.782653 13.918558 14.063543
0.920000 13.603614 13.749566 13.875611 13.877674 14.009861 14.163206
0.955000 13.811234 13.953875 14.080789 14.083491 14.213039 14.374095
0.960000 13.847847 13.991673 14.115030 14.120693 14.247846 14.403307
1.000000 14.132247 14.268971 14.393187 14.392431 14.517178 14.657647
1.005000 14.167888 14.303872 14.430313 14.429926 14.554401 14.696352
1.040000 14.427307 14.543368 14.665320 14.663325 14.778469 14.896111
1.055000 14.540978 14.651521 14.772244 14.771531 14.888167 15.009413
1.080000 14.720645 14.823109 14.929917 14.931048 15.041233 15.152460
1.105000 14.878343 14.973764 15.083933 15.082645 15.189070 15.306289
1.120000 14.964546 15.065871 15.169947 15.172183 15.276616 15.393177
1.155000 15.167478 15.262725 15.356875 15.357720 15.456170 15.559799
1.160000 15.193360 15.295330 15.389111 15.389708 15.486964 15.594046
1.200000 15.381512 15.474306 15.573562 15.574841 15.677123 15.766728
1.205000 15.410254 15.507691 15.606216 15.606931 15.706471 15.810855
1.240000 15.610655 15.686407 15.792238 15.791928 15.893162 15.997266
1.255000 15.693598 15.782070 15.880630 15.881596 15.975323 16.076773
1.280000 15.833510 15.924769 16.026236 16.026296 16.120719 16.230980
1.305000 15.970476 16.071624 16.170490 16.172974 16.277250 16.378437
1.320000 16.068783 16.163013 16.263596 16.267896 16.373484 16.478983
1.345000 16.210192 16.304100 16.420177 16.420105 16.532375 16.639203
1.360000 16.301261 16.397459 16.510987 16.515798 16.630227 16.742893
1.405000 16.526037 16.638489 16.774313 16.776663 16.908403 17.045434
1.410000 16.576066 16.682091 16.822354 16.824055 16.958316 17.109736
1.440000 16.836551 16.985101 17.148652 17.165895 17.344162 17.593696
1.465000 17.107798 17.277951 17.477573 17.490832 17.697902 17.915923
1.480000 17.263171 17.446929 17.670420 17.670720 17.886190 18.104047
1.505000 17.473635 17.717601 17.945744 17.932077 18.133622 18.342480
1.520000 17.601340 17.863863 18.106822 18.095067 18.323311 18.553295
1.560000 17.916219 18.177097 18.457195 18.449709 18.711599 18.982788
1.600000 18.204347 18.472111 18.753533 18.757023 19.053551 19.324871
1.640000 18.481588 18.751311 19.056846 19.052699 19.360676 19.598463
1.680000 18.734984 19.048270 19.350911 19.343885 19.640180 19.863914
1.720000 19.036553 19.356248 19.653360 19.634319 19.916171 20.134909
1.760000 19.397316 19.702034 19.958085 19.945776 20.195934 20.368506
1.800000 19.924710 20.096696 20.283867 20.289397 20.485218 20.661497
1.805000 19.989847 20.165561 20.344563 20.346560 20.527772 20.713358
1.825000 20.271737 20.435375 20.621624 20.625934 20.794866 21.047911
1.840000 20.591061 20.779363 21.046437 21.062359 21.338355 21.649293
1.855000 21.010800 21.280046 21.506720 21.513001 21.755362 21.960779
1.880000 21.430531 21.694461 21.967452 21.947507 22.188947 22.434569
1.905000 21.910110 22.124548 22.317447 22.320267 22.517892 22.737147
1.920000 22.057489 22.272622 22.482200 22.497553 22.735807 22.957383
1.960000 22.356566 22.588250 22.867187 22.912058 23.220751 23.771071
2.000000 22.644969 22.906637 23.259064 23.345460 23.774939 24.471066
2.040000 22.916031 23.219830 23.640207 23.751685 24.313305 24.981046
2.080000 23.182392 23.531484 24.031184 24.147380 24.818723 25.540533
2.120000 23.462839 23.840729 24.403780 24.518437 25.239144 26.057928
2.160000 23.720058 24.139782 24.798466 24.882614 25.668071 26.495167
2.200000 24.011027 24.430771 25.130798 25.245655 26.103929 26.856317
2.240000 24.311787 24.787429 25.522361 25.622667 26.532924 27.259681
2.280000 24.629094 25.123917 25.872208 25.985570 26.891552 27.750682
2.320000 24.879221 25.440468 26.265690 26.343361 27.235419 28.290462
2.360000 25.186446 25.794733 26.629797 26.721703 27.633235 28.869914
2.400000 25.485907 26.137258 27.054958 27.108196 27.996233 29.350288
2.440000 25.816727 26.485928 27.439799 27.513810 28.422736 29.791061
2.480000 26.114584 26.871194 27.802464 27.917881 28.879122 30.406360
2.520000 26.437453 27.241325 28.160136 28.304908 29.294354 31.205180
2.560000 26.736774 27.584542 28.578672 28.715726 29.711186 31.868775
2.600000 27.183467 27.936609 28.971528 29.147799 30.196889 32.491318
2.640000 27.548143 28.336522 29.409768 29.594005 30.713794 33.018006
2.680000 27.895515 28.727349 29.846206 30.042967 31.325332 33.454740
2.720000 28.234184 29.186880 30.257437 30.466153 31.731685 34.108418
