age(kyr) mean(permil) sigma(permil)
0.000000 2.502494 0.165915
0.100000 2.501775 0.162934
0.200000 2.501047 0.159901
0.300000 2.500249 0.156894
0.400000 2.499351 0.153915
0.500000 2.498406 0.150686
0.600000 2.497433 0.146910
0.700000 2.496424 0.143253
0.800000 2.495342 0.139979
0.900000 2.494221 0.136859
1.000000 2.493045 0.133780
1.100000 2.491766 0.130781
1.200000 2.490408 0.127741
1.300000 2.489129 0.124673
1.400000 2.487700 0.121685
1.500000 2.486077 0.118761
1.600000 2.484219 0.115963
1.700000 2.482294 0.113194
1.800000 2.480339 0.110550
1.900000 2.478551 0.108238
2.000000 2.477033 0.106113
2.100000 2.475734 0.104472
2.200000 2.474549 0.103077
2.300000 2.473086 0.101565
2.400000 2.471587 0.100249
2.500000 2.469833 0.099366
2.600000 2.468221 0.099119
2.700000 2.466653 0.100091
2.800000 2.465388 0.101021
2.900000 2.464247 0.101293
3.000000 2.463293 0.101152
3.100000 2.462451 0.102894
3.200000 2.461304 0.105030
3.300000 2.459928 0.107285
3.400000 2.458199 0.108362
3.500000 2.456066 0.108284
3.600000 2.453302 0.108338
3.700000 2.451088 0.108194
3.800000 2.449534 0.106203
3.900000 2.448455 0.104935
4.000000 2.448411 0.103557
4.100000 2.449638 0.103309
4.200000 2.451026 0.103354
4.300000 2.452388 0.106176
4.400000 2.454123 0.108361
4.500000 2.455742 0.109435
4.600000 2.457282 0.111974
4.700000 2.458144 0.115796
4.800000 2.458497 0.118665
4.900000 2.458935 0.120157
5.000000 2.459780 0.123311
5.100000 2.461110 0.126586
5.200000 2.463446 0.129128
5.300000 2.466725 0.131400
5.400000 2.470407 0.133304
5.500000 2.474623 0.132671
5.600000 2.479426 0.132389
5.700000 2.484676 0.133093
5.800000 2.490199 0.133345
5.900000 2.496018 0.132357
6.000000 2.501479 0.130489
6.100000 2.506415 0.128455
6.200000 2.511027 0.127247
6.300000 2.515364 0.125794
6.400000 2.519335 0.123378
6.500000 2.523252 0.122173
6.600000 2.527270 0.121336
6.700000 2.531216 0.120536
6.800000 2.535189 0.119766
6.900000 2.539035 0.119046
7.000000 2.542713 0.118240
7.100000 2.546176 0.117173
7.200000 2.549476 0.116166
7.300000 2.552546 0.115274
7.400000 2.555726 0.114353
7.500000 2.559228 0.113816
7.600000 2.563242 0.114333
7.700000 2.567618 0.114605
7.800000 2.572387 0.115609
7.900000 2.577254 0.115754
8.000000 2.582375 0.116141
8.100000 2.587693 0.116442
8.200000 2.592857 0.117198
8.300000 2.597882 0.117706
8.400000 2.602972 0.119804
8.500000 2.607938 0.122860
8.600000 2.612875 0.125843
8.700000 2.617928 0.127931
8.800000 2.623263 0.132196
8.900000 2.628905 0.137266
9.000000 2.634745 0.141068
9.100000 2.640649 0.145127
9.200000 2.646675 0.148120
9.300000 2.652568 0.151262
9.400000 2.657913 0.154116
9.500000 2.662545 0.155139
9.600000 2.666549 0.155274
9.700000 2.670126 0.154648
9.800000 2.673570 0.152623
9.900000 2.677418 0.149753
10.000000 2.682238 0.147028
10.100000 2.688105 0.143451
10.200000 2.694661 0.138532
10.300000 2.701873 0.132866
10.400000 2.709947 0.130082
10.500000 2.718639 0.127857
10.600000 2.727960 0.126564
10.700000 2.737848 0.126661
10.800000 2.748227 0.128373
10.900000 2.759084 0.131963
11.000000 2.771135 0.137183
11.100000 2.785057 0.144900
11.200000 2.800161 0.153390
11.300000 2.816855 0.164095
11.400000 2.835383 0.175637
11.500000 2.855804 0.186841
11.600000 2.878835 0.196854
11.700000 2.903092 0.204643
11.800000 2.928051 0.216110
11.900000 2.953341 0.227689
12.000000 2.978549 0.237607
12.100000 3.003154 0.247343
12.200000 3.027315 0.256989
12.300000 3.050828 0.266075
12.400000 3.073882 0.274414
12.500000 3.096468 0.281692
12.600000 3.118567 0.286442
12.700000 3.140508 0.287356
12.800000 3.162328 0.285934
12.900000 3.184176 0.283525
13.000000 3.206186 0.277014
13.100000 3.228866 0.271617
13.200000 3.251787 0.261911
13.300000 3.275137 0.252664
13.400000 3.298826 0.242052
13.500000 3.323007 0.228881
13.600000 3.348110 0.212040
13.700000 3.373696 0.193336
13.800000 3.400168 0.183176
13.900000 3.428230 0.174122
14.000000 3.457958 0.166516
14.100000 3.489371 0.162801
14.200000 3.521914 0.158151
14.300000 3.554874 0.153206
14.400000 3.588064 0.148301
14.500000 3.620883 0.143392
14.600000 3.652268 0.137958
14.700000 3.682550 0.131186
14.800000 3.711491 0.122250
14.900000 3.738400 0.113622
15.000000 3.762982 0.105498
15.100000 3.784901 0.099131
15.200000 3.805718 0.095105
15.300000 3.826222 0.094327
15.400000 3.846746 0.096035
15.500000 3.868376 0.099643
15.600000 3.891638 0.106139
15.700000 3.915474 0.113950
15.800000 3.939862 0.121997
15.900000 3.964600 0.128577
16.000000 3.988780 0.133679
16.100000 4.012525 0.137315
16.200000 4.036356 0.139398
16.300000 4.059594 0.140112
16.400000 4.081891 0.139174
16.500000 4.103452 0.137482
16.600000 4.123625 0.135637
16.700000 4.142370 0.133911
16.800000 4.159776 0.132936
16.900000 4.175770 0.133848
17.000000 4.189685 0.136319
17.100000 4.200937 0.140858
17.200000 4.210775 0.147401
17.300000 4.218839 0.155702
17.400000 4.224620 0.164382
17.500000 4.227884 0.173068
17.600000 4.227683 0.179275
17.700000 4.225640 0.182577
17.800000 4.222792 0.184182
17.900000 4.220098 0.182369
18.000000 4.219209 0.174700
18.100000 4.221367 0.161235
18.200000 4.225858 0.145399
18.300000 4.232511 0.127289
18.400000 4.240043 0.110408
18.500000 4.246532 0.099407
18.600000 4.250943 0.094085
18.700000 4.253288 0.091279
18.800000 4.252876 0.090274
18.900000 4.250117 0.088939
19.000000 4.245282 0.087644
19.100000 4.238732 0.086352
19.200000 4.231845 0.085435
19.300000 4.225664 0.084199
19.400000 4.220806 0.082674
19.500000 4.218165 0.081406
19.600000 4.218005 0.080440
19.700000 4.219064 0.078588
19.800000 4.220340 0.076498
19.900000 4.221106 0.074916
20.000000 4.220107 0.075632
20.100000 4.216124 0.078639
20.200000 4.210008 0.083215
20.300000 4.202159 0.087082
20.400000 4.192595 0.089398
20.500000 4.182328 0.090671
20.600000 4.172467 0.092006
20.700000 4.163966 0.092379
20.800000 4.157557 0.092345
20.900000 4.154385 0.093618
21.000000 4.155411 0.097833
21.100000 4.161537 0.104729
21.200000 4.170241 0.114797
21.300000 4.180728 0.125198
21.400000 4.191783 0.131733
21.500000 4.201326 0.134938
21.600000 4.207491 0.134732
21.700000 4.210447 0.131931
21.800000 4.209903 0.129549
21.900000 4.205654 0.128427
22.000000 4.198475 0.128959
22.100000 4.188975 0.130384
22.200000 4.179144 0.129680
22.300000 4.169586 0.125887
22.400000 4.160752 0.119771
22.500000 4.152577 0.116690
22.600000 4.144847 0.114228
22.700000 4.136781 0.115226
22.800000 4.128195 0.118192
22.900000 4.118758 0.122154
23.000000 4.108625 0.126392
23.100000 4.097734 0.130854
23.200000 4.086782 0.134885
23.300000 4.076119 0.138402
23.400000 4.065856 0.141388
23.500000 4.056054 0.143842
23.600000 4.047021 0.145583
23.700000 4.038730 0.146479
23.800000 4.030809 0.146798
23.900000 4.023543 0.146718
24.000000 4.016766 0.146405
24.100000 4.010445 0.145929
24.200000 4.004458 0.145268
24.300000 3.998890 0.144388
24.400000 3.993841 0.143363
24.500000 3.989460 0.142217
24.600000 3.985493 0.141079
24.700000 3.981724 0.139857
24.800000 3.978062 0.138557
24.900000 3.974474 0.137255
25.000000 3.970732 0.136039
25.100000 3.967252 0.134982
25.200000 3.963677 0.133878
25.300000 3.960139 0.132724
25.400000 3.956427 0.131697
25.500000 3.952821 0.130856
25.600000 3.949329 0.130266
25.700000 3.945883 0.129727
25.800000 3.942443 0.129178
25.900000 3.939187 0.128673
26.000000 3.935869 0.128405
26.100000 3.932645 0.128538
26.200000 3.929337 0.128665
26.300000 3.926105 0.128863
26.400000 3.922537 0.129198
26.500000 3.918898 0.129594
26.600000 3.914891 0.130195
26.700000 3.910820 0.130886
26.800000 3.906653 0.131527
26.900000 3.902567 0.132204
27.000000 3.898177 0.132955
27.100000 3.893398 0.134074
27.200000 3.888313 0.135382
27.300000 3.883006 0.136648
27.400000 3.877567 0.137907
27.500000 3.872151 0.139212
27.600000 3.866650 0.140488
27.700000 3.861124 0.141494
27.800000 3.855243 0.142547
27.900000 3.848946 0.143765
28.000000 3.842691 0.144930
28.100000 3.836551 0.146085
28.200000 3.830572 0.147137
28.300000 3.824667 0.148121
28.400000 3.818762 0.148914
28.500000 3.812616 0.149763
28.600000 3.806365 0.150978
28.700000 3.800176 0.152124
28.800000 3.793990 0.153246
28.900000 3.788171 0.154306
29.000000 3.782485 0.155201
29.100000 3.776825 0.155997
29.200000 3.771191 0.156789
29.300000 3.765717 0.157485
29.400000 3.760654 0.158153
29.500000 3.755939 0.158890
29.600000 3.751530 0.159643
29.700000 3.747413 0.160348
29.800000 3.743824 0.161178
29.900000 3.740442 0.162073
30.000000 3.737345 0.163052
30.100000 3.734724 0.164119
30.200000 3.732347 0.165237
30.300000 3.730095 0.166366
30.400000 3.727903 0.167497
30.500000 3.725999 0.168671
30.600000 3.724196 0.169996
30.700000 3.722344 0.171335
30.800000 3.720453 0.172680
30.900000 3.718730 0.174032
31.000000 3.717226 0.175461
31.100000 3.715904 0.176994
31.200000 3.714682 0.178563
31.300000 3.713603 0.180199
31.400000 3.712480 0.181850
31.500000 3.711347 0.183552
31.600000 3.710618 0.185432
31.700000 3.710033 0.187327
31.800000 3.709400 0.189209
31.900000 3.708929 0.191094
32.000000 3.708509 0.192973
32.100000 3.708083 0.194864
32.200000 3.707703 0.196782
32.300000 3.707230 0.198675
32.400000 3.706747 0.200571
32.500000 3.706303 0.202469
32.600000 3.705857 0.204411
32.700000 3.705436 0.206367
32.800000 3.705171 0.208352
32.900000 3.704922 0.210347
33.000000 3.704698 0.212338
33.100000 3.704489 0.214319
33.200000 3.704286 0.216285
33.300000 3.704171 0.218249
33.400000 3.704097 0.220197
33.500000 3.704024 0.222130
33.600000 3.703953 0.224048
33.700000 3.703883 0.225947
33.800000 3.703851 0.227866
33.900000 3.703830 0.229776
34.000000 3.703833 0.231689
34.100000 3.703932 0.233616
34.200000 3.704031 0.235523
34.300000 3.704134 0.237429
34.400000 3.704236 0.239316
34.500000 3.704301 0.241168
34.600000 3.704355 0.242993
34.700000 3.704409 0.244803
34.800000 3.704466 0.246607
34.900000 3.704527 0.248408
35.000000 3.704589 0.250197
35.100000 3.704644 0.251986
35.200000 3.704700 0.253763
35.300000 3.704755 0.255529
35.400000 3.704811 0.257283
35.500000 3.704865 0.259030
35.600000 3.704917 0.260770
35.700000 3.704970 0.262500
35.800000 3.705022 0.264217
35.900000 3.705074 0.265924
36.000000 3.705119 0.267621
36.100000 3.705152 0.269311
36.200000 3.705185 0.270992
36.300000 3.705219 0.272664
36.400000 3.705252 0.274327
36.500000 3.705304 0.275987
36.600000 3.705381 0.277644
36.700000 3.705459 0.279291
36.800000 3.705536 0.280927
36.900000 3.705614 0.282552
37.000000 3.705708 0.284175
37.100000 3.705826 0.285799
37.200000 3.705945 0.287414
37.300000 3.706063 0.289019
37.400000 3.706181 0.290616
37.500000 3.706299 0.292204
37.600000 3.706417 0.293783
37.700000 3.706535 0.295354
37.800000 3.706653 0.296916
37.900000 3.706771 0.298470
38.000000 3.706888 0.300016
38.100000 3.707006 0.301554
38.200000 3.707124 0.303084
38.300000 3.707242 0.304606
38.400000 3.707359 0.306121
38.500000 3.707477 0.307628
38.600000 3.707594 0.309127
38.700000 3.707712 0.310619
38.800000 3.707829 0.312104
38.900000 3.707947 0.313581
39.000000 3.708064 0.315051
39.100000 3.708181 0.316515
39.200000 3.708298 0.317971
39.300000 3.708416 0.319420
39.400000 3.708533 0.320863
39.500000 3.708650 0.322298
39.600000 3.708767 0.323727
39.700000 3.708884 0.325150
39.800000 3.709001 0.326565
39.900000 3.709118 0.327975
40.000000 3.709235 0.329378
