depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 4.688476 5.140001 5.497946 5.488117 5.828994 6.237424
0.090000 6.251104 6.626408 6.942144 6.931130 7.229712 7.562966
0.250000 8.573839 9.034272 9.402860 9.421112 9.818213 10.320824
0.350000 9.907226 10.470775 10.938261 10.946891 11.436186 12.054853
0.450000 9.645413 10.190968 10.607353 10.608039 11.028842 11.591263
0.550000 10.767620 11.328802 11.782883 11.771761 12.238639 12.629763
0.650000 12.663901 13.050654 13.381860 13.418048 13.783129 14.475194
0.750000 14.004632 14.690161 15.311635 15.283098 15.840424 16.513007
0.830000 15.819933 16.406431 16.833419 16.824444 17.250248 17.787373
0.870000 16.174378 16.763351 17.240487 17.226019 17.695981 18.183174
0.990000 17.133567 17.670618 18.101566 18.093041 18.508415 19.016192
1.140000 18.283534 18.826451 19.276634 19.291052 19.776439 20.352525
1.300000 19.524537 20.117945 20.566505 20.571708 21.040670 21.637543
1.540000 22.258200 22.838405 23.309570 23.317385 23.784935 24.477220
1.650000 23.523035 24.242079 24.843526 24.823207 25.396426 26.053663
1.660000 24.280593 24.943417 25.416251 25.388600 25.818852 26.396920
1.750000 23.440985 24.180026 24.768621 24.752821 25.326487 25.900064
1.760000 24.353400 24.962975 25.385392 25.364410 25.752872 26.295894
1.990000 26.828632 27.415557 27.851364 27.873422 28.366059 28.925794
2.250000 28.172339 28.983222 29.609671 29.601848 30.212982 30.931046
2.520000 30.987115 31.840407 32.736775 32.733139 33.625258 34.530637
