depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 4.705910 5.158114 5.504214 5.493484 5.826789 6.233943
0.095000 6.257482 6.626027 6.940872 6.930686 7.228569 7.574402
0.255000 8.553068 9.033850 9.416629 9.421722 9.822102 10.321667
0.355000 9.969025 10.484210 10.938780 10.949535 11.416578 12.019197
0.455000 9.648982 10.194225 10.603701 10.605170 11.025801 11.595981
0.555000 10.769555 11.334903 11.779062 11.773581 12.243973 12.629241
0.655000 12.659906 13.046602 13.380614 13.417724 13.783492 14.493377
0.755000 13.975744 14.707054 15.320932 15.291208 15.846781 16.464144
0.835000 15.838056 16.406614 16.828431 16.820235 17.233178 17.769317
0.875000 16.196803 16.775084 17.235499 17.227806 17.691129 18.190824
0.995000 17.107965 17.677531 18.104424 18.088765 18.511112 18.947643
1.145000 18.266136 18.839876 19.276055 19.296799 19.781577 20.424752
1.305000 19.529729 20.108699 20.558420 20.565631 21.032388 21.636597
1.545000 22.256021 22.841182 23.318251 23.327947 23.810772 24.517387
1.655000 23.515688 24.243899 24.842620 24.825957 25.413149 26.050406
1.665000 24.271099 24.929536 25.402010 25.384459 25.819291 26.426455
1.755000 23.466438 24.188739 24.766222 24.754792 25.325661 25.931044
1.765000 24.319718 24.958683 25.394087 25.368537 25.761848 26.317223
1.995000 26.829047 27.416197 27.863928 27.885103 28.375296 28.964848
2.255000 28.172262 28.989299 29.614564 29.608963 30.228482 30.926612
2.525000 30.948124 31.810475 32.725289 32.718342 33.615938 34.549928
