depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 1.085959 1.409777 1.691086 1.702675 1.994504 2.397571
0.280000 6.709606 7.068234 7.335433 7.326587 7.576262 7.912902
0.535000 9.459503 9.830105 10.197181 10.198245 10.554236 11.006925
0.710000 11.581161 12.080196 12.451102 12.406752 12.705006 13.043706
0.980000 13.754280 14.161623 14.568963 14.557492 14.933695 15.359928
1.010000 13.588565 13.949330 14.320027 14.343176 14.745505 15.177741
1.080000 13.750075 14.137124 14.533492 14.530803 14.919251 15.328277
1.180000 18.044221 18.361540 18.660781 18.663067 18.951437 19.342196
1.460000 17.955108 18.305741 18.584615 18.587005 18.867645 19.275102
1.935000 29.773448 30.087437 30.356168 30.361337 30.653181 30.911416
