depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.597065 0.777298 0.981877 0.996295 1.210051 1.481501
0.020000 0.692466 0.879781 1.087610 1.107230 1.339136 1.619104
0.060000 0.982129 1.208352 1.527778 1.611173 1.980504 2.920248
0.080000 1.109731 1.368624 1.737042 1.849338 2.305746 3.266445
0.100000 1.289607 1.561218 1.952873 2.084024 2.617260 3.510301
0.120000 1.439251 1.769371 2.172888 2.328017 2.937505 3.810538
0.160000 1.769713 2.151848 2.733345 2.831442 3.563022 4.327274
0.180000 1.909737 2.376680 2.974289 3.073289 3.859401 4.648470
0.200000 2.092674 2.579852 3.238801 3.317070 4.137693 4.843517
0.220000 2.305900 2.826001 3.502625 3.572073 4.362599 5.105908
0.260000 2.695970 3.337660 4.108735 4.104909 4.862880 5.409930
0.280000 2.935150 3.638564 4.380778 4.355424 5.093648 5.582358
0.300000 3.203915 3.908165 4.650101 4.616472 5.314879 5.745519
0.320000 3.519160 4.223814 4.926399 4.868852 5.515595 5.873833
0.360000 4.374380 4.933548 5.460335 5.417884 5.881549 6.151210
0.380000 4.775531 5.280255 5.731082 5.675920 6.056401 6.324138
0.400000 5.216289 5.578510 5.968851 5.923587 6.233854 6.483686
0.420000 5.655554 5.914883 6.189167 6.168416 6.405080 6.645386
0.435000 5.919508 6.139457 6.366502 6.358860 6.574049 6.782257
0.460000 6.165999 6.382785 6.615901 6.630807 6.875955 7.198945
0.480000 6.345408 6.571140 6.837713 6.864808 7.162264 7.555758
0.500000 6.517010 6.775361 7.071898 7.103903 7.430672 7.881806
0.520000 6.705200 6.986756 7.328459 7.361493 7.758562 8.215201
0.560000 7.116992 7.461788 7.892411 7.949313 8.422228 8.946505
0.580000 7.329488 7.709389 8.198155 8.219788 8.701598 9.265923
0.600000 7.517509 7.970725 8.442609 8.458759 8.979708 9.455821
0.620000 7.719613 8.166850 8.663553 8.686567 9.222482 9.698398
0.660000 8.123206 8.620376 9.163132 9.157594 9.686122 10.121864
0.680000 8.343840 8.857689 9.408680 9.405781 9.943778 10.365954
0.700000 8.585568 9.115860 9.676032 9.651482 10.161650 10.566933
0.720000 8.857078 9.406336 9.935003 9.896059 10.365253 10.731973
0.760000 9.465052 9.961518 10.426979 10.395678 10.819410 11.188756
0.780000 9.735633 10.223022 10.661459 10.632584 11.044323 11.419156
0.800000 9.978870 10.472066 10.901265 10.884377 11.307310 11.642761
0.820000 10.237678 10.743160 11.167917 11.141269 11.541648 11.865381
0.860000 11.043768 11.428681 11.752055 11.731666 12.025606 12.274042
0.880000 11.444839 11.739169 12.015622 12.000320 12.266609 12.472023
0.890000 11.583495 11.870255 12.125294 12.116800 12.372829 12.572564
0.900000 11.667194 11.961087 12.221349 12.216060 12.465006 12.693417
0.920000 11.859317 12.139662 12.397412 12.398454 12.676680 12.924808
0.960000 12.141444 12.422202 12.704073 12.722901 13.018823 13.352710
0.980000 12.299656 12.573735 12.885993 12.897685 13.204589 13.591252
1.000000 12.433031 12.737661 13.065839 13.077768 13.401876 13.844084
1.020000 12.593333 12.896697 13.240332 13.256731 13.605502 14.064035
1.060000 12.871882 13.196850 13.573405 13.598385 14.014512 14.480762
1.080000 13.014056 13.358294 13.771668 13.796224 14.240786 14.644002
1.100000 13.204857 13.526966 13.973981 13.998194 14.467808 14.907358
1.120000 13.366151 13.747837 14.189341 14.207964 14.669339 15.067903
1.160000 13.718200 14.138134 14.673120 14.649343 15.125454 15.545420
1.180000 13.921991 14.376172 14.905344 14.871852 15.349489 15.750831
1.200000 14.164715 14.601137 15.141598 15.098369 15.545917 15.925000
1.220000 14.402599 14.868943 15.363200 15.328588 15.766889 16.153398
1.260000 14.867138 15.330743 15.755808 15.731823 16.122116 16.469803
1.280000 15.103089 15.561293 15.943755 15.931387 16.290752 16.655379
1.300000 15.336895 15.786705 16.128467 16.114323 16.467475 16.828091
1.320000 15.576819 15.964845 16.299572 16.289689 16.616669 16.969053
1.360000 16.024854 16.349356 16.618791 16.621206 16.907792 17.213124
1.380000 16.295699 16.541441 16.798535 16.806771 17.076175 17.376391
1.390000 16.385949 16.638261 16.894258 16.898897 17.157288 17.448979
1.400000 16.494232 16.728718 16.989332 17.000905 17.279702 17.574364
1.420000 16.654818 16.898027 17.176333 17.204348 17.524287 17.897603
1.440000 16.793739 17.079906 17.392450 17.415532 17.758485 18.219628
1.460000 16.931230 17.252806 17.641485 17.653330 18.063395 18.461721
1.480000 17.078602 17.437698 17.897530 17.905095 18.367438 18.847571
1.500000 17.239858 17.620206 18.171533 18.147433 18.637859 19.068118
1.520000 17.372162 17.802505 18.424429 18.376502 18.898659 19.297738
