depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 5.190834 5.452364 5.697541 5.705920 5.952020 6.208182
0.030000 5.451395 5.722663 5.983147 5.991297 6.263745 6.539625
0.040000 5.560907 5.848412 6.132885 6.127275 6.400901 6.677115
0.050000 5.693607 5.989500 6.268415 6.265258 6.540097 6.786486
0.070000 6.017051 6.316098 6.574570 6.568268 6.824358 7.047732
0.090000 6.438684 6.625230 6.868074 6.867417 7.098099 7.312949
0.110000 6.647874 6.869493 7.130205 7.147294 7.407466 7.757701
0.120000 6.731251 6.988052 7.265809 7.283059 7.563200 7.924613
0.130000 6.823427 7.107851 7.405353 7.423647 7.733111 8.133292
0.150000 7.072261 7.400769 7.742063 7.759779 8.121001 8.552332
0.160000 7.196735 7.534045 7.883699 7.909636 8.302894 8.718755
0.170000 7.324775 7.680521 8.045936 8.057532 8.448457 8.862431
0.190000 7.663496 8.055937 8.389257 8.400319 8.764574 9.119590
0.200000 7.817137 8.212609 8.538249 8.544669 8.907960 9.235378
0.210000 7.984855 8.361331 8.691415 8.688773 9.036269 9.339316
0.230000 8.399183 8.716393 8.992375 8.994225 9.289699 9.529542
0.240000 8.564760 8.875268 9.137602 9.134867 9.399409 9.645896
0.250000 8.752430 9.032765 9.270632 9.270708 9.499441 9.756029
0.260000 8.905052 9.166407 9.393832 9.391073 9.627752 9.851015
0.270000 9.039159 9.271262 9.489144 9.492712 9.724912 9.945101
0.290000 9.238630 9.451123 9.668189 9.672538 9.906749 10.096418
0.310000 9.399133 9.618681 9.843381 9.840940 10.066623 10.262371
0.320000 9.484274 9.708133 9.935280 9.929979 10.147158 10.359257
0.330000 9.584771 9.806758 10.035092 10.021891 10.228687 10.414797
0.350000 9.784834 9.980477 10.226746 10.205773 10.409924 10.590858
0.360000 9.877819 10.066161 10.312461 10.290939 10.496764 10.674427
0.370000 9.954710 10.155292 10.390464 10.370142 10.580936 10.743812
0.390000 10.093814 10.292142 10.527898 10.509040 10.716264 10.884117
