depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 5.104066 5.380541 5.632335 5.638267 5.908822 6.165723
0.020000 5.169316 5.435307 5.697880 5.705528 5.979418 6.223025
0.050000 5.583009 5.858601 6.162323 6.162826 6.447672 6.765375
0.095000 6.379792 6.637521 6.879850 6.875914 7.114038 7.344699
0.120000 6.637562 6.940485 7.244740 7.258030 7.562147 7.981808
0.150000 6.942680 7.288569 7.668649 7.691288 8.089435 8.543631
0.180000 7.228610 7.695753 8.170460 8.160224 8.634955 9.040947
0.250000 8.733260 9.017938 9.336601 9.314680 9.598500 9.863089
0.255000 8.779781 9.090220 9.401740 9.378460 9.651507 9.916866
0.280000 9.066653 9.383257 9.657104 9.644086 9.912734 10.118701
0.355000 9.825164 10.106309 10.309320 10.300279 10.496172 10.733667
0.380000 10.010937 10.296630 10.489978 10.488135 10.683188 10.913388
0.420000 10.344443 10.593340 10.775695 10.777464 10.955657 11.204180
0.450000 10.632602 10.813290 10.994998 10.996329 11.166889 11.414111
0.455000 10.677760 10.860960 11.034457 11.038363 11.207354 11.469355
0.480000 10.904114 11.064628 11.249803 11.266346 11.454594 11.699718
0.520000 11.192462 11.391077 11.582218 11.597416 11.808711 12.091487
0.550000 11.420237 11.630237 11.845242 11.863146 12.115031 12.385757
0.555000 11.469672 11.681619 11.904132 11.919117 12.173681 12.429762
0.580000 11.755933 12.001836 12.304616 12.315874 12.628327 12.955662
0.620000 12.228310 12.543848 12.876620 12.880271 13.209514 13.524212
0.650000 12.851980 13.098845 13.369174 13.376316 13.657794 13.954434
0.655000 12.923735 13.168497 13.439512 13.448257 13.729587 14.016629
0.680000 13.250559 13.520304 13.866820 13.887290 14.268235 14.646877
0.720000 13.755108 14.103698 14.550173 14.552632 14.996418 15.444068
0.750000 14.135754 14.586918 15.025842 15.017455 15.427365 15.813964
0.755000 14.191152 14.662102 15.121035 15.094372 15.508934 15.877392
0.780000 14.499680 15.108558 15.565116 15.547491 16.005712 16.356371
0.820000 15.863477 16.179271 16.481511 16.462838 16.741479 16.936191
0.835000 16.193405 16.465028 16.727637 16.704095 16.939565 17.134941
0.850000 16.397046 16.648069 16.902268 16.881636 17.103416 17.332529
0.875000 16.669532 16.908545 17.130893 17.127847 17.345944 17.567299
0.880000 16.711029 16.957460 17.175691 17.175815 17.395832 17.619592
0.920000 17.038760 17.271837 17.498459 17.493198 17.704757 17.945839
0.950000 17.267870 17.515534 17.733715 17.730323 17.954458 18.203502
0.980000 17.502936 17.747574 17.961019 17.969693 18.203364 18.456512
0.995000 17.626546 17.874232 18.095814 18.095306 18.319560 18.555417
1.020000 17.813409 18.072211 18.286879 18.295148 18.533004 18.790373
1.050000 18.064726 18.304870 18.513555 18.530355 18.776101 19.042948
1.080000 18.280911 18.518199 18.753163 18.768955 19.028472 19.327947
1.120000 18.591398 18.819834 19.061584 19.083919 19.367039 19.638881
1.145000 18.793788 19.019525 19.278400 19.295695 19.582395 19.872345
1.150000 18.831831 19.062505 19.330528 19.342553 19.631488 19.912020
1.180000 19.060483 19.297946 19.600310 19.609518 19.905985 20.213952
1.220000 19.335629 19.621493 19.936548 19.944662 20.277494 20.584280
1.250000 19.603263 19.880175 20.194186 20.201945 20.519531 20.849129
1.280000 19.885776 20.159235 20.450906 20.466164 20.774658 21.137794
1.305000 20.120763 20.399646 20.683395 20.701225 21.032148 21.399916
1.320000 20.261019 20.559006 20.851759 20.869525 21.191986 21.571536
1.350000 20.532524 20.854066 21.213938 21.247556 21.632856 22.137090
1.380000 20.830938 21.214786 21.637300 21.655014 22.081763 22.566128
1.420000 21.186152 21.624086 22.121868 22.116094 22.625874 23.039518
1.450000 21.464745 21.992978 22.468283 22.455211 22.926885 23.311640
1.480000 21.873795 22.334885 22.812363 22.784374 23.227043 23.562271
1.520000 22.415726 22.808137 23.235220 23.197359 23.561869 23.873866
1.545000 22.715690 23.126046 23.510076 23.467332 23.800779 24.069251
1.550000 22.782449 23.176465 23.568803 23.522811 23.850369 24.112120
1.580000 23.115306 23.533721 23.889050 23.853196 24.175982 24.372246
1.620000 23.710166 24.018602 24.304109 24.281544 24.526444 24.759160
1.650000 24.123097 24.371757 24.603304 24.588423 24.786915 25.007696
1.655000 24.184790 24.428326 24.648757 24.638827 24.846377 25.062359
1.665000 24.295566 24.528085 24.736907 24.729002 24.933602 25.142035
1.680000 24.405496 24.639354 24.851677 24.839588 25.041910 25.268480
1.720000 24.660932 24.918987 25.103434 25.100928 25.302176 25.496854
1.750000 24.874955 25.122839 25.312148 25.305013 25.493436 25.701659
1.755000 24.931567 25.165268 25.355388 25.348969 25.532977 25.739663
1.765000 25.019113 25.252553 25.443467 25.440759 25.622028 25.836249
1.780000 25.144451 25.383857 25.589970 25.594880 25.801562 26.079044
1.820000 25.446953 25.698618 25.946131 25.974182 26.279048 26.604070
1.850000 25.708631 25.948782 26.214858 26.263846 26.613053 26.953647
1.880000 25.967425 26.209846 26.545927 26.575939 26.929223 27.316294
1.920000 26.293065 26.623091 26.989048 26.990086 27.348426 27.771535
1.950000 26.564616 26.936693 27.273358 27.279604 27.624692 27.995289
1.980000 26.964082 27.283523 27.592905 27.597330 27.926528 28.269197
1.995000 27.174228 27.446630 27.748216 27.759928 28.088094 28.419957
2.020000 27.385844 27.676228 27.990886 28.002888 28.338098 28.724481
2.050000 27.615641 27.924321 28.250984 28.275158 28.625517 29.018574
2.080000 27.848019 28.153716 28.504746 28.532240 28.905967 29.340099
2.120000 28.164489 28.473444 28.847386 28.872392 29.262424 29.682673
2.150000 28.390446 28.739702 29.108478 29.132838 29.532328 30.002108
2.180000 28.609903 28.984101 29.374241 29.389278 29.808307 30.242343
2.220000 28.933339 29.299538 29.716205 29.719298 30.150010 30.561182
2.250000 29.220719 29.553037 29.976807 29.984579 30.422738 30.777978
2.255000 29.284611 29.608207 30.026499 30.035148 30.469113 30.819993
2.280000 29.502249 29.857016 30.348404 30.331915 30.770622 31.132280
2.320000 29.864132 30.346630 30.861881 30.868143 31.370101 31.968622
2.350000 30.071969 30.661897 31.198706 31.200703 31.734582 32.349945
2.380000 30.352506 30.922306 31.467094 31.483300 32.033658 32.640315
2.420000 30.732286 31.299359 31.835779 31.856368 32.426312 32.981895
2.450000 31.021250 31.575388 32.089107 32.134651 32.733621 33.311501
2.480000 31.309354 31.830704 32.362895 32.406602 33.049083 33.629634
2.520000 31.706743 32.196972 32.714363 32.771636 33.441139 33.996484
2.525000 31.759472 32.242108 32.772921 32.819471 33.476881 34.041791
2.550000 31.983130 32.448573 32.982247 33.061916 33.732783 34.352572
2.580000 32.252330 32.697827 33.299077 33.366001 34.044873 34.750938
2.620000 32.607872 33.062159 33.683298 33.774039 34.527235 35.370389
2.680000 32.996395 33.517438 34.233971 34.366658 35.236392 36.304482
2.720000 33.259318 33.858271 34.655640 34.775449 35.704239 37.080583
2.750000 33.451496 34.097361 34.944218 35.083229 36.056013 37.594037
2.780000 33.709533 34.342616 35.260106 35.380320 36.372500 38.082087
2.820000 33.994875 34.653286 35.654794 35.794929 36.893247 38.654443
2.850000 34.191537 34.933644 35.950570 36.094948 37.242963 38.996506
2.880000 34.447496 35.159316 36.245555 36.401560 37.625638 39.366831
2.920000 34.723802 35.490881 36.755329 36.827005 38.076728 39.724399
2.950000 35.061778 35.757123 37.022452 37.139532 38.445458 40.045048
2.980000 35.318529 36.061131 37.349338 37.465317 38.785711 40.327823
3.020000 35.634662 36.476284 37.775051 37.900721 39.250278 40.869270
3.050000 35.894810 36.790963 38.112961 38.220961 39.631318 41.124404
3.080000 36.114750 37.154876 38.448164 38.551676 39.943093 41.435189
3.120000 36.440176 37.526905 38.946807 39.001193 40.457287 41.853875
3.150000 36.787067 37.844991 39.305419 39.332026 40.792485 42.190486
3.180000 37.023764 38.162061 39.626897 39.651889 41.169342 42.484420
3.220000 37.333942 38.586390 40.102647 40.093476 41.649106 42.959507
3.250000 37.553721 38.892928 40.417276 40.434637 42.022883 43.461361
3.280000 37.804317 39.206830 40.711801 40.752294 42.377521 43.801392
3.320000 38.202406 39.692947 41.089571 41.195665 42.832816 44.390282
3.350000 38.526541 40.040233 41.373673 41.519538 43.199093 44.664156
3.380000 38.724304 40.326832 41.663535 41.836025 43.520279 44.957026
3.420000 39.080993 40.777280 42.061669 42.260070 44.011660 45.512797
3.450000 39.440805 41.045455 42.364413 42.567532 44.335098 45.809246
3.480000 39.645802 41.323477 42.676981 42.872726 44.638130 46.207058
3.520000 39.974198 41.724710 43.055776 43.263999 45.032329 46.733582
3.550000 40.476759 42.039089 43.375189 43.557984 45.289238 47.049716
3.580000 40.806419 42.280696 43.688949 43.855905 45.596882 47.488389
3.620000 41.315114 42.681409 44.091757 44.277248 45.972163 47.921907
3.650000 41.709170 42.953534 44.373058 44.582693 46.254983 48.226958
3.680000 42.018576 43.216865 44.653428 44.884749 46.578437 48.792607
3.720000 42.504498 43.586895 45.099931 45.301749 47.018930 49.438415
3.750000 42.815774 43.865024 45.406056 45.616149 47.286199 49.960577
3.780000 43.133153 44.155690 45.709736 45.921780 47.538218 50.296356
3.820000 43.471821 44.546477 46.108996 46.354240 47.992366 50.867450
3.850000 43.833392 44.799936 46.432525 46.681366 48.348044 51.256737
3.880000 44.099969 45.134357 46.711708 47.013879 48.775228 51.592699
3.920000 44.437253 45.566657 47.106387 47.437663 49.296597 52.223578
3.950000 44.663628 45.894510 47.382721 47.756730 49.677416 52.884168
3.980000 44.974784 46.241763 47.673512 48.083110 50.094669 53.496060
4.020000 45.419393 46.760451 48.078204 48.537779 50.446315 54.046217
4.050000 45.642160 47.090056 48.347892 48.857304 50.857981 54.301717
4.080000 45.907266 47.413640 48.621910 49.158830 51.151441 54.764818
4.120000 46.157946 47.724564 48.971481 49.540671 51.594788 55.455692
4.150000 46.403937 48.032388 49.225502 49.826337 51.943325 55.790440
4.180000 46.709118 48.298477 49.482392 50.106343 52.200828 56.191912
4.220000 47.088153 48.634471 49.842194 50.484098 52.621883 56.682406
4.250000 47.269645 48.902716 50.085091 50.774101 52.976088 57.021007
4.280000 47.462023 49.103970 50.365395 51.057907 53.392031 57.327519
4.320000 47.778344 49.442671 50.770775 51.438631 53.919043 57.543293
4.350000 48.139804 49.698877 51.057980 51.725628 54.201088 57.976867
4.380000 48.387297 49.927748 51.375625 52.011525 54.478823 58.395602
4.420000 48.691517 50.262405 51.792582 52.407346 54.930079 58.936115
4.450000 49.040905 50.549675 52.090661 52.717310 55.258723 59.306372
