depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.420586 1.649164 3.199267 3.005705 4.208829 5.109748
0.050000 0.904499 2.294908 3.702787 3.521253 4.675441 5.456606
0.110000 1.431969 2.969365 4.298427 4.103463 5.175567 5.844709
0.140000 1.791516 3.304382 4.566186 4.395417 5.435709 6.068405
0.170000 2.107305 3.673204 4.844166 4.690091 5.677203 6.339673
0.220000 2.673048 4.239035 5.302538 5.151523 6.059027 6.698145
0.250000 2.988695 4.545572 5.559847 5.421333 6.285036 6.944826
0.280000 3.324553 4.876672 5.818671 5.693738 6.519498 7.154368
0.320000 3.732314 5.227780 6.173964 6.042995 6.853251 7.421592
0.380000 4.403237 5.790382 6.640387 6.540105 7.282002 7.949436
0.410000 4.738826 6.068590 6.872504 6.790202 7.549225 8.177386
0.440000 5.106566 6.362743 7.107781 7.051963 7.790934 8.413554
0.470000 5.464431 6.686023 7.376893 7.324957 8.050584 8.642032
0.500000 5.969846 6.970922 7.647441 7.616023 8.299583 8.900784
0.530000 6.531431 7.302843 7.944014 7.938471 8.574985 9.205980
0.560000 7.096562 7.647772 8.275474 8.274879 8.885584 9.516376
0.590000 7.509943 7.997361 8.603940 8.603019 9.181930 9.764926
0.620000 7.900669 8.362865 8.947881 8.934885 9.472056 10.032105
0.650000 8.233189 8.709843 9.287192 9.255938 9.770724 10.276910
0.680000 8.672590 9.085308 9.610966 9.601070 10.106076 10.555856
0.710000 8.996758 9.460220 9.946223 9.931387 10.416308 10.835318
0.740000 9.346260 9.819880 10.258918 10.258292 10.710620 11.136473
0.770000 9.713438 10.178931 10.602522 10.607094 11.038113 11.453506
0.800000 10.177392 10.565351 10.996878 10.992988 11.424452 11.779118
0.830000 10.526248 10.931684 11.333529 11.326483 11.736838 12.112273
0.860000 10.878751 11.259909 11.667727 11.665002 12.056968 12.411707
0.890000 11.252598 11.644677 12.045410 12.029505 12.426210 12.767422
0.920000 11.667042 12.106439 12.454585 12.450147 12.801580 13.131798
0.950000 12.249564 12.540137 12.869066 12.861286 13.161262 13.527544
0.980000 12.665048 12.940360 13.210156 13.213682 13.479772 13.819198
1.000000 13.003576 13.227524 13.447330 13.467687 13.712108 13.987806
1.020000 13.295694 13.503104 13.816840 13.870801 14.259161 14.762741
