depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.022378 0.083738 0.193475 0.200718 0.310229 0.437455
0.140000 0.463677 0.708088 1.052930 1.335863 1.975109 3.820287
0.160000 0.554548 0.815154 1.227277 1.504092 2.215422 3.923352
0.240000 0.958597 1.275828 2.048449 2.246321 3.303634 4.636058
0.320000 1.357750 1.769750 2.821695 2.954333 4.184063 5.301525
0.360000 1.588627 2.068489 3.210288 3.293708 4.600638 5.547355
0.420000 1.941019 2.575981 3.762934 3.817752 5.058108 5.956870
0.480000 2.317132 3.165682 4.313790 4.345803 5.580708 6.341254
0.560000 2.884357 3.987159 5.101158 5.032698 6.117400 6.889503
0.640000 3.545971 4.766784 5.788382 5.723328 6.637159 7.386265
0.720000 4.407951 5.641500 6.524866 6.460843 7.304354 8.180248
0.790000 5.036824 6.350545 7.161052 7.136354 8.004624 8.905552
0.800000 5.109053 6.433103 7.236519 7.216900 8.080178 8.967195
0.840000 5.453631 6.799457 7.558064 7.546027 8.377205 9.179064
0.940000 6.843744 7.682557 8.382071 8.386114 9.156484 9.701233
0.980000 7.215674 7.950252 8.659490 8.669150 9.509231 9.912783
1.000000 7.320431 8.144319 8.790296 8.809014 9.628042 10.026926
1.020000 7.473265 8.266600 8.939796 8.952288 9.769320 10.151927
1.040000 7.593407 8.377055 9.071101 9.082373 9.883543 10.275637
1.060000 7.735274 8.501813 9.221532 9.219528 10.005058 10.407057
1.100000 7.986880 8.722471 9.491127 9.470304 10.269421 10.598530
1.120000 8.098153 8.842889 9.608716 9.594694 10.387910 10.697672
1.130000 8.179907 8.918683 9.669181 9.658231 10.445116 10.768362
1.140000 8.223457 8.984287 9.742088 9.719905 10.510801 10.808783
1.160000 8.404108 9.112153 9.853380 9.840382 10.620544 10.897230
1.180000 8.582772 9.275049 9.961572 9.965421 10.730044 10.977583
1.200000 8.807289 9.410157 10.091813 10.089663 10.833544 11.070120
1.220000 8.939032 9.567114 10.249280 10.211612 10.932262 11.165067
1.260000 9.277526 9.824160 10.466485 10.448430 11.123893 11.376765
1.300000 9.523641 10.072673 10.720404 10.695821 11.323391 11.563254
1.320000 9.663412 10.189651 10.848972 10.814833 11.425953 11.699198
1.340000 9.772185 10.299329 10.988377 10.928127 11.530617 11.808497
1.360000 9.902512 10.431224 11.123417 11.042660 11.622107 11.926690
1.380000 10.026652 10.544961 11.231014 11.155533 11.733451 12.021089
1.400000 10.141398 10.640003 11.336637 11.262949 11.822173 12.121034
1.460000 10.479463 10.913865 11.617672 11.537071 12.072691 12.419392
1.480000 10.574012 11.038862 11.722800 11.640705 12.167918 12.541643
1.500000 10.714014 11.156432 11.823620 11.748653 12.265578 12.681302
1.540000 10.947544 11.416373 12.036890 11.970896 12.484606 12.923967
1.560000 11.070331 11.529803 12.139883 12.081332 12.580031 13.065781
1.620000 11.392359 11.840251 12.423132 12.389069 12.878693 13.443400
1.660000 11.589397 12.103308 12.647047 12.630928 13.087501 13.783845
1.680000 11.694023 12.225815 12.775891 12.765887 13.236349 13.946222
1.700000 11.846337 12.389636 12.918745 12.914928 13.411947 14.110829
1.780000 12.389070 12.954419 13.541425 13.556646 14.191715 14.815871
1.820000 12.673722 13.260564 13.887124 13.906239 14.582689 15.154027
1.840000 12.842749 13.409325 14.062502 14.077933 14.794045 15.285973
1.860000 13.056662 13.593986 14.261378 14.268790 14.968139 15.483942
1.900000 13.447202 14.015911 14.707201 14.707231 15.410105 15.939472
1.940000 13.784365 14.434385 15.121809 15.104585 15.783076 16.304571
1.980000 14.130373 14.790882 15.520323 15.494364 16.150428 16.646890
2.020000 14.508457 15.170345 15.892192 15.863902 16.544898 17.093153
2.060000 14.820098 15.488389 16.224231 16.198462 16.873492 17.501445
2.100000 15.145576 15.797643 16.543501 16.539698 17.258455 17.938348
