depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 0.260055 0.483776 0.712300 0.712410 0.938493 1.147755
0.200000 0.571217 0.836033 1.101359 1.178976 1.508077 2.211801
0.300000 0.890727 1.153062 1.538331 1.664288 2.165914 3.141783
0.400000 1.184446 1.450993 1.978047 2.140356 2.903296 3.901557
0.500000 1.436240 1.790948 2.457749 2.594285 3.411799 4.630213
0.600000 1.731761 2.180578 2.971909 3.062271 3.944662 5.142887
0.700000 2.060388 2.561154 3.483551 3.529240 4.491908 5.524767
0.800000 2.341184 2.931550 3.992168 3.986689 4.973600 5.949435
0.900000 2.657136 3.451240 4.445165 4.453304 5.386393 6.404221
1.000000 3.064961 4.007600 4.958358 4.944519 5.875588 6.756966
1.100000 3.531290 4.482882 5.422625 5.407745 6.355836 7.119365
1.200000 3.940141 5.001304 5.893898 5.874925 6.779905 7.581306
1.300000 4.467212 5.525877 6.374779 6.376630 7.245610 8.214163
1.350000 4.652467 5.802258 6.666739 6.641049 7.500819 8.553215
1.390000 4.880512 5.992209 6.870169 6.832367 7.644064 8.737288
1.450000 5.169411 6.376160 7.144903 7.141245 7.933172 8.996940
1.500000 5.455332 6.675379 7.411947 7.404866 8.174376 9.235085
1.510000 5.564332 6.737900 7.462186 7.455866 8.216653 9.281763
1.550000 5.817366 6.994097 7.729797 7.700360 8.448618 9.493443
1.600000 6.164606 7.304455 8.017995 7.988539 8.724317 9.651473
1.700000 7.255702 8.035734 8.629469 8.663968 9.326325 10.011872
1.800000 8.100351 8.728374 9.322268 9.316382 9.932769 10.431017
1.900000 8.764486 9.308375 9.872722 9.842748 10.364484 10.786948
2.000000 9.260983 9.851669 10.358471 10.330866 10.790098 11.223436
2.100000 9.833472 10.374575 10.815112 10.798385 11.222172 11.574287
2.200000 10.398545 10.792193 11.229589 11.226871 11.691083 12.041756
2.250000 10.575149 11.013804 11.453720 11.452553 11.898040 12.298062
2.300000 10.725784 11.210862 11.673995 11.676500 12.127425 12.596558
2.350000 10.884139 11.421270 11.914017 11.906917 12.369044 12.849798
2.400000 11.117213 11.669941 12.192065 12.181252 12.661369 13.309177
2.450000 11.291924 11.910643 12.495996 12.503639 13.093806 13.798791
2.490000 11.442960 12.097702 12.730424 12.747953 13.423415 14.239737
2.500000 11.468648 12.148682 12.780110 12.797650 13.473265 14.311789
2.550000 11.842947 12.400343 13.030979 13.075107 13.741179 14.549113
2.600000 12.173861 12.749765 13.319009 13.381279 14.025624 14.820755
2.650000 12.459475 13.016680 13.614793 13.672511 14.330105 15.126767
2.700000 12.792415 13.324647 13.936835 13.981034 14.673428 15.345502
2.750000 13.147789 13.636645 14.278932 14.306833 14.983554 15.700588
2.800000 13.383638 13.946980 14.599134 14.624307 15.300714 16.060635
2.850000 13.621516 14.215742 14.928451 14.939297 15.638314 16.405762
2.900000 13.778419 14.470234 15.246914 15.244609 16.004200 16.736210
2.950000 13.943784 14.729119 15.520854 15.535038 16.338623 17.102264
2.995000 14.108572 14.957265 15.815724 15.820821 16.712997 17.484570
3.050000 14.289979 15.208633 16.114627 16.159987 17.076524 18.078201
3.100000 14.460691 15.417580 16.407628 16.430149 17.412517 18.525840
3.150000 14.642481 15.579367 16.621195 16.667909 17.727425 19.047021
3.200000 14.797259 15.733365 16.870712 16.886875 18.022461 19.311853
3.250000 14.994712 15.891859 17.061646 17.091722 18.292514 19.660315
3.300000 15.132678 16.055906 17.203508 17.282383 18.542901 19.922261
3.350000 15.288605 16.223248 17.373177 17.470902 18.748202 20.284760
3.400000 15.489585 16.341931 17.507315 17.646507 18.991067 20.645385
3.450000 15.638018 16.488820 17.640491 17.816083 19.177265 21.044008
3.500000 15.772544 16.650569 17.786638 17.977687 19.370337 21.215819
3.550000 15.913271 16.803603 17.940692 18.144269 19.572892 21.342109
3.600000 16.112866 16.971150 18.104322 18.313353 19.709833 21.482465
3.700000 16.406605 17.262655 18.423188 18.612132 20.036733 21.698330
3.800000 16.728476 17.579986 18.706512 18.911091 20.360757 21.930613
3.900000 17.059004 17.899996 18.995316 19.211927 20.657902 22.115337
4.000000 17.312465 18.196284 19.287710 19.494479 20.914746 22.375873
4.100000 17.622097 18.450848 19.591893 19.769658 21.148813 22.604589
4.240500 17.993362 18.869875 19.963757 20.132542 21.447926 22.838701
4.381000 18.400777 19.289499 20.400458 20.496049 21.759601 23.121034
4.521500 18.780388 19.657606 20.756069 20.865405 22.068455 23.425925
4.662000 19.162456 20.039755 21.143484 21.222180 22.339421 23.685089
4.802500 19.596565 20.426498 21.503114 21.573490 22.654737 23.920498
4.943000 20.023459 20.832480 21.851239 21.929481 22.995890 24.205713
5.083500 20.443784 21.265221 22.242023 22.285117 23.320694 24.463819
5.224000 20.908047 21.644297 22.609866 22.640840 23.606501 24.686765
5.364500 21.273665 22.043236 22.955855 23.003009 23.898428 24.929203
5.505000 21.698281 22.472201 23.323470 23.354892 24.206795 25.222457
5.645500 22.132193 22.909922 23.684427 23.710164 24.501348 25.425253
5.786000 22.544164 23.340331 24.080132 24.079867 24.815532 25.694331
5.926500 22.972949 23.751261 24.440368 24.442454 25.147882 25.963587
6.067000 23.379074 24.134504 24.829104 24.800573 25.468715 26.190245
6.207500 23.748711 24.533012 25.186205 25.152276 25.769909 26.486344
6.348000 24.165602 24.952688 25.536343 25.510711 26.101419 26.715661
6.488500 24.678455 25.370985 25.867875 25.869554 26.397251 26.979857
6.629000 25.218953 25.757192 26.241647 26.238493 26.699930 27.228412
6.769500 25.815498 26.220379 26.617043 26.623784 27.037223 27.526883
6.910000 26.369534 26.694151 27.047386 27.059551 27.421145 27.822643
