depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.500000 3.091390 3.824964 4.498783 4.431699 5.050420 5.517135
0.550000 3.494233 4.201361 4.853146 4.806943 5.411878 5.872075
0.600000 3.904333 4.599332 5.203306 5.163391 5.752491 6.221735
0.650000 4.236731 4.990371 5.544165 5.511470 6.043660 6.536780
0.700000 4.625915 5.359040 5.858867 5.852311 6.377908 6.822738
0.750000 5.028071 5.689320 6.224911 6.197079 6.712819 7.170498
0.800000 5.426057 6.049571 6.551936 6.537579 7.049739 7.516548
0.850000 5.813446 6.380453 6.896312 6.886424 7.390368 7.847913
0.900000 6.205589 6.748642 7.232866 7.239430 7.752684 8.218236
0.950000 6.604745 7.129264 7.579340 7.599995 8.091751 8.550454
1.000000 6.966764 7.484225 7.968477 7.978087 8.477692 8.958917
1.050000 7.339723 7.849836 8.351033 8.359869 8.879603 9.365815
1.100000 7.828200 8.260559 8.784080 8.776683 9.298561 9.722816
1.150000 8.280065 8.717921 9.218125 9.221258 9.715096 10.113384
1.200000 8.687740 9.237350 9.735090 9.691356 10.167595 10.524072
1.250000 9.230554 9.735344 10.192132 10.168006 10.607059 10.978799
1.300000 9.722362 10.210293 10.641606 10.616464 11.038385 11.423389
1.350000 10.220506 10.628643 11.053342 11.052202 11.469479 11.968574
1.400000 10.712544 11.092208 11.494235 11.504392 11.915771 12.402898
1.450000 11.141567 11.550226 11.985867 12.005530 12.470201 13.054048
1.500000 11.604320 12.062039 12.549670 12.598572 13.119852 13.913488
1.550000 12.261103 12.730048 13.374613 13.453293 14.201377 14.924010
1.600000 13.073358 13.738453 14.532576 14.533028 15.320776 16.042032
1.650000 14.000746 14.863726 15.680468 15.654854 16.432935 17.109008
1.700000 15.122136 15.875959 16.618177 16.660890 17.445832 18.223454
1.750000 15.845031 16.629432 17.458168 17.478743 18.394639 19.145213
1.800000 16.537060 17.267686 18.060935 18.123466 19.021108 19.986510
1.850000 17.049142 17.838747 18.608517 18.690489 19.648750 20.470492
1.900000 17.453214 18.316608 19.127776 19.202110 20.173577 21.053255
1.950000 17.859692 18.739756 19.602930 19.676904 20.649418 21.560435
2.000000 18.316244 19.175703 20.087716 20.149296 21.183546 22.097924
2.050000 18.837176 19.601193 20.515086 20.619772 21.683161 22.594582
2.100000 19.261848 20.066130 21.013767 21.115667 22.239132 23.176555
2.150000 19.754542 20.598560 21.571620 21.632194 22.727160 23.707737
2.200000 20.158858 21.116369 22.141272 22.161668 23.246905 24.128835
2.250000 20.676063 21.630687 22.716124 22.686965 23.721805 24.585810
2.300000 21.328826 22.174691 23.267488 23.215481 24.184335 25.000465
2.350000 21.865014 22.708247 23.828932 23.740622 24.664936 25.400742
2.400000 22.431810 23.299714 24.302246 24.241268 25.135697 25.786629
2.450000 22.979817 23.827776 24.783423 24.724654 25.556143 26.209921
2.500000 23.456864 24.353150 25.275586 25.228854 26.057847 26.678912
