depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.245000 0.479520 0.735355 0.971540 0.985838 1.226939 1.593616
0.545000 1.409110 1.766561 2.067979 2.075041 2.393499 2.755026
1.045000 3.259870 3.647744 3.972659 3.972784 4.301256 4.709910
1.545000 4.269426 4.686291 5.005961 4.997949 5.310698 5.652926
1.545000 4.311260 4.737538 5.051069 5.036862 5.340659 5.680900
1.845000 5.633258 5.985316 6.267793 6.268645 6.548452 6.927401
2.045000 6.259061 6.589196 6.865101 6.859814 7.133540 7.431278
2.245000 7.384650 7.686004 7.931715 7.942842 8.196262 8.582228
2.845000 8.886329 9.302004 9.613342 9.626151 9.967746 10.374867
3.045000 10.864310 11.314667 11.669216 11.675079 12.058195 12.445825
3.545000 11.304304 11.769819 12.149144 12.115762 12.459845 12.732748
4.585000 14.560081 15.132031 15.487073 15.477125 15.839670 16.274125
4.595000 14.485104 15.062282 15.419997 15.403901 15.758276 16.174281
4.810000 15.023335 15.485593 15.841438 15.832710 16.180055 16.596131
5.385000 16.218840 16.639053 16.966429 16.963120 17.282809 17.705424
5.395000 16.151729 16.562711 16.896801 16.893725 17.221595 17.655846
5.605000 16.715860 17.146165 17.478616 17.473913 17.807079 18.148497
6.405000 18.234766 18.614669 18.897816 18.911223 19.227384 19.651623
6.585000 18.760442 19.102146 19.441207 19.449278 19.792680 20.219871
7.405000 21.010277 21.471049 21.850418 21.822548 22.160592 22.519029
8.000000 22.403817 22.890954 23.269201 23.271557 23.661294 24.176982
8.415000 23.404340 23.829586 24.129907 24.142605 24.474378 24.886691
9.185000 24.977492 25.377028 25.673951 25.661419 25.931073 26.310565
9.215000 24.933390 25.347811 25.665211 25.653712 25.938749 26.353199
10.120000 27.377358 27.853697 28.279205 28.286009 28.709865 29.231472
10.195000 27.619483 27.913569 28.226603 28.228076 28.535611 28.876109
10.480000 28.022804 28.671449 29.127841 29.126864 29.606093 30.073626
10.785000 28.931297 29.264728 29.570378 29.560002 29.840381 30.193463
10.795000 28.735866 29.098178 29.383850 29.384397 29.685258 29.973226
11.750000 31.186428 31.813140 32.454477 32.478685 33.142457 33.892321
11.995000 31.997312 32.609728 33.194114 33.145836 33.648380 34.076873
12.030000 32.261844 32.899870 33.299350 33.264145 33.643182 33.994979
12.160000 32.035539 32.899750 33.543272 33.488858 34.060413 34.682431
12.670000 34.723171 35.463151 36.059945 36.095914 36.727053 37.756671
12.795000 34.317187 34.886162 35.421478 35.431383 35.947924 36.672230
12.830000 35.102884 35.524564 35.885368 35.884475 36.213908 36.735065
13.360000 36.023817 37.174187 38.269193 38.228447 39.246213 40.253516
13.405000 36.163405 36.919063 37.666550 37.672350 38.451121 39.123252
13.510000 36.575857 37.139781 37.652941 37.673014 38.240124 38.806347
13.615000 37.585605 38.762040 39.444951 39.377980 40.020142 40.662088
13.785000 38.019046 39.217969 39.824312 39.767566 40.391215 40.980256
14.040000 38.080191 39.360981 40.070982 40.001988 40.701489 41.346812
14.160000 37.715104 39.419852 40.505245 40.382506 41.385461 42.208794
14.390000 39.651780 40.665255 41.324654 41.250369 41.842202 42.377566
14.740000 42.222493 42.545337 42.868322 42.944118 43.377128 44.019315
14.815000 41.716002 42.724616 43.627670 43.691483 44.651472 46.108733
14.830000 42.320768 43.208531 44.213892 44.293954 45.324460 46.963479
15.350000 45.946043 47.356673 48.729970 48.813624 50.280505 52.000963
15.405000 43.357344 45.095720 46.804086 46.896050 48.707908 51.000070
15.460000 44.892718 45.875905 46.810502 46.865955 47.816336 49.298611
15.480000 44.746415 46.687414 48.638195 48.755072 50.893463 53.357608
15.815000 44.045315 45.894707 47.763220 47.881143 49.912836 52.248313
15.980000 46.382601 48.294790 50.151309 50.232664 52.194548 54.340514
