depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.125000 0.197839 0.558752 0.868360 0.896408 1.219524 1.759298
0.298000 0.652851 0.945222 1.214278 1.231649 1.514678 1.925687
0.497500 2.384145 2.831506 3.155049 3.162066 3.505665 3.965771
0.695000 3.902082 4.521848 5.013417 4.995507 5.457390 5.991965
0.898000 5.053347 5.515715 5.838913 5.836594 6.164470 6.594320
1.110000 6.739387 7.171627 7.483205 7.482447 7.786642 8.211280
1.295000 7.648062 8.002509 8.303141 8.332947 8.673408 9.155806
1.410000 8.937805 9.403593 9.766000 9.773475 10.136010 10.661475
1.495000 9.634052 10.149988 10.548902 10.552514 10.969919 11.481690
1.695000 11.086058 11.553859 11.997086 11.967766 12.376168 12.703329
1.800000 10.835014 11.389241 11.845019 11.824206 12.274073 12.633473
1.895000 11.351834 11.919447 12.342138 12.300054 12.667106 13.061747
2.000000 11.719570 12.312234 12.729269 12.701803 13.065156 13.570582
2.085000 12.727794 13.159840 13.552814 13.597318 14.026905 14.785226
2.295000 13.317740 13.768967 14.207022 14.235015 14.725046 15.241173
2.495000 13.561896 14.041869 14.485856 14.495927 14.944648 15.482117
2.600000 13.798164 14.312813 14.819946 14.808696 15.280772 15.819141
2.800000 14.976716 15.591393 16.049038 16.035482 16.492516 17.033413
2.990000 15.524863 16.089103 16.520043 16.513741 16.936764 17.460256
3.295000 16.339318 16.901599 17.318760 17.318883 17.747994 18.215825
3.600000 16.999776 17.583538 18.064332 18.053059 18.511915 19.092750
4.000000 19.191809 19.756211 20.241039 20.238972 20.698125 21.360694
4.410000 18.214557 18.736504 19.163500 19.174470 19.627385 20.203686
5.210000 23.550597 24.085455 24.539414 24.535850 24.990301 25.482826
5.510000 21.854085 22.430363 22.847290 22.854977 23.303585 23.842445
6.310000 25.804804 26.218818 26.616677 26.611503 26.992234 27.442073
6.910000 24.634449 25.239437 25.653769 25.640224 26.040415 26.640919
