depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.047289 0.212943 0.488354 0.498075 0.774043 1.047529
0.040000 0.133086 0.332237 0.583541 0.595556 0.861662 1.139561
0.120000 0.330545 0.552010 0.771745 0.782437 1.020312 1.259177
0.200000 0.584621 0.757794 0.966295 0.970176 1.177638 1.403687
0.245000 0.714749 0.882280 1.088016 1.089390 1.272869 1.486946
0.322500 0.906412 1.097219 1.330423 1.329252 1.557265 1.789758
0.400000 1.107239 1.341199 1.580691 1.583752 1.837547 2.057377
0.545000 1.584166 1.810594 2.047043 2.053088 2.289551 2.533597
0.600000 1.726322 1.970499 2.245960 2.256029 2.539038 2.822663
0.733333 2.088065 2.407944 2.738383 2.758021 3.128065 3.466962
0.866667 2.545091 2.903176 3.267519 3.250819 3.611050 3.903313
1.000000 3.138482 3.449974 3.733543 3.721901 3.981631 4.222550
1.045000 3.356464 3.624482 3.875840 3.865348 4.109285 4.314127
1.122500 3.559530 3.816897 4.080004 4.067335 4.322132 4.512099
1.200000 3.751729 4.006015 4.265632 4.259533 4.514247 4.721561
1.300000 3.989494 4.255715 4.510707 4.499973 4.748695 4.939422
1.400000 4.272927 4.532416 4.757822 4.742370 4.962163 5.128994
1.545000 4.779506 4.932091 5.107187 5.101659 5.257785 5.422186
1.600000 4.918787 5.094953 5.283544 5.299540 5.497014 5.753135
1.700000 5.199657 5.429170 5.684694 5.694505 5.951453 6.206272
1.800000 5.618363 5.856288 6.091279 6.082062 6.300288 6.499026
1.845000 5.849430 6.048683 6.265401 6.253071 6.441117 6.604733
1.922500 6.117893 6.325327 6.520343 6.522479 6.720114 6.938459
2.000000 6.380974 6.581591 6.780092 6.780992 6.983469 7.161496
2.045000 6.568233 6.751662 6.942191 6.941979 7.132778 7.291130
2.122500 6.816860 7.042404 7.282643 7.275764 7.498835 7.709298
2.200000 7.195633 7.415465 7.608778 7.614129 7.817262 8.005423
