depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.100000 0.237013 0.485246 0.701256 0.701721 0.927823 1.109816
0.125000 0.365324 0.586262 0.804821 0.798598 1.021398 1.189765
0.200000 0.639808 0.833148 1.047665 1.042916 1.244951 1.413630
0.298000 0.970202 1.145719 1.397363 1.379924 1.554740 1.856440
0.300000 0.978784 1.152509 1.406847 1.390156 1.566874 1.870298
0.400000 1.440790 1.755707 2.262062 2.282429 2.767479 3.231308
0.497500 2.663362 2.893285 3.216946 3.209479 3.485078 3.835057
0.500000 2.681052 2.909246 3.229874 3.224807 3.498239 3.843967
0.600000 3.262590 3.618375 4.063923 4.073545 4.530959 5.008229
0.695000 4.158494 4.472366 4.830081 4.827216 5.193831 5.472739
0.700000 4.181240 4.500222 4.856174 4.854524 5.219035 5.512228
0.800000 4.757682 5.068332 5.435085 5.407529 5.719064 5.977514
0.898000 5.444100 5.594808 5.973385 5.916291 6.130003 6.436616
0.900000 5.453592 5.603991 5.983271 5.927582 6.137624 6.445352
1.000000 5.879887 6.244121 6.647099 6.627245 7.015073 7.351438
1.100000 6.872829 7.148704 7.389515 7.382415 7.604851 7.853561
1.110000 6.944067 7.215586 7.448343 7.440387 7.660803 7.900718
1.200000 7.412533 7.686769 7.933041 7.945745 8.210854 8.498840
1.295000 7.995474 8.226522 8.465217 8.480392 8.752092 9.030946
1.300000 8.028145 8.255583 8.497365 8.509726 8.777751 9.063278
1.350000 8.533671 8.814280 9.180740 9.167254 9.490139 9.753207
1.390000 9.062428 9.307040 9.565760 9.563808 9.830945 10.050977
1.410000 9.191356 9.468476 9.702394 9.703229 9.944020 10.165400
1.450000 9.472123 9.758376 10.023855 10.024528 10.304244 10.597005
1.495000 9.875189 10.146871 10.422776 10.451201 10.811858 11.069739
1.500000 9.899819 10.164935 10.444006 10.477046 10.837120 11.101872
1.510000 9.957324 10.216953 10.497625 10.529419 10.882599 11.152995
1.550000 10.125487 10.428064 10.766778 10.776254 11.125892 11.453121
1.600000 10.332835 10.731028 11.103939 11.083010 11.434627 11.718805
1.695000 11.157972 11.402335 11.714058 11.687392 11.933008 12.141980
1.700000 11.198569 11.425718 11.737998 11.710792 11.952882 12.160528
1.800000 11.647308 11.879679 12.103400 12.085947 12.282399 12.454310
1.895000 12.041404 12.250834 12.437825 12.433112 12.623469 12.774009
1.900000 12.065696 12.270925 12.460683 12.453648 12.647841 12.799208
2.000000 12.472389 12.657186 12.838152 12.833953 12.994856 13.205753
2.085000 12.879886 13.052827 13.252343 13.259636 13.470258 13.701542
2.100000 12.924418 13.110721 13.319862 13.323633 13.544085 13.776925
2.200000 13.239115 13.427357 13.650494 13.658842 13.871810 14.097157
2.250000 13.409228 13.597673 13.838357 13.840439 14.066744 14.325130
2.295000 13.559970 13.761181 14.002537 14.001006 14.229509 14.518464
2.300000 13.582841 13.777373 14.020424 14.019134 14.247500 14.542632
2.350000 13.706346 13.923676 14.166396 14.172172 14.408536 14.706409
2.400000 13.869932 14.071147 14.323317 14.328488 14.584357 14.840758
2.450000 14.016334 14.213156 14.489934 14.492283 14.766796 15.037788
2.490000 14.125679 14.341707 14.628275 14.627072 14.915186 15.157110
2.495000 14.138449 14.363556 14.650440 14.645552 14.932771 15.181491
2.500000 14.154382 14.385126 14.669038 14.666210 14.950152 15.205022
2.550000 14.395756 14.658351 14.911649 14.909060 15.165914 15.371433
2.600000 14.666281 14.919086 15.157082 15.151584 15.387700 15.562761
2.650000 14.940586 15.177440 15.391637 15.374662 15.580592 15.747495
2.700000 15.237673 15.423708 15.598011 15.600786 15.776553 15.969503
2.750000 15.464292 15.609421 15.784566 15.788580 15.955820 16.159494
2.800000 15.614671 15.771125 15.937845 15.946140 16.120064 16.331075
2.850000 15.737406 15.909597 16.076957 16.093429 16.296410 16.515411
2.900000 15.864375 16.034583 16.202806 16.226326 16.444360 16.651660
2.950000 15.987222 16.152901 16.324900 16.359933 16.610951 16.816609
2.990000 16.089121 16.267205 16.432753 16.480947 16.748211 16.944868
2.995000 16.102939 16.284957 16.447938 16.498436 16.765546 16.960070
3.050000 16.290542 16.470965 16.639815 16.682224 16.944378 17.123501
3.100000 16.444927 16.613014 16.789242 16.829639 17.102918 17.284851
3.150000 16.558429 16.741577 16.922542 16.966846 17.242270 17.432711
3.200000 16.693265 16.866038 17.057764 17.097975 17.383445 17.565041
3.250000 16.812434 16.992404 17.188638 17.226285 17.506069 17.682282
3.295000 16.923092 17.097695 17.297926 17.340443 17.631385 17.817779
3.300000 16.935999 17.113958 17.316460 17.356203 17.648304 17.834587
3.350000 17.075219 17.250660 17.468234 17.497259 17.786123 17.980623
3.400000 17.214100 17.385698 17.604825 17.631938 17.914412 18.111712
3.450000 17.312614 17.515238 17.745236 17.762203 18.032751 18.222244
3.500000 17.447966 17.656154 17.897388 17.898517 18.164398 18.344325
3.550000 17.592660 17.794942 18.034001 18.038118 18.293745 18.488837
3.600000 17.751924 17.943914 18.165655 18.181057 18.429390 18.640153
3.700000 18.008368 18.214329 18.438752 18.449051 18.691911 18.894609
3.800000 18.288146 18.490069 18.722026 18.731260 18.964165 19.240830
3.900000 18.569708 18.762786 19.005943 19.016574 19.257298 19.556076
4.000000 18.827668 19.026230 19.272479 19.291860 19.542249 19.876664
4.100000 19.041232 19.247409 19.512655 19.519452 19.783938 20.115478
4.203333 19.255402 19.470107 19.743125 19.751844 20.019485 20.404215
4.306667 19.464930 19.682647 19.973513 19.982609 20.251046 20.637900
4.410000 19.698687 19.922682 20.213762 20.223007 20.492874 20.881676
4.543333 19.994527 20.299309 20.617045 20.661307 21.036295 21.560610
4.676667 20.402658 20.704333 21.068179 21.145631 21.638230 22.144840
4.810000 20.810236 21.139721 21.630879 21.647081 22.133532 22.652249
4.943333 21.225534 21.638859 22.144406 22.131412 22.580160 23.124805
5.076667 21.759471 22.137804 22.626067 22.602192 23.007607 23.536924
5.210000 22.336936 22.668933 23.037550 23.044992 23.392904 23.894479
5.310000 22.551697 22.894842 23.247747 23.263134 23.618938 24.092707
5.410000 22.791940 23.109199 23.463016 23.479221 23.856345 24.305127
5.510000 23.011402 23.332047 23.672557 23.693276 24.050163 24.508774
5.643333 23.309350 23.672122 24.000971 24.027003 24.391266 24.841554
5.776667 23.624596 23.988136 24.351579 24.356349 24.730512 25.149121
5.910000 23.942127 24.310646 24.696245 24.693441 25.070637 25.437290
6.043333 24.273605 24.676124 25.039001 25.029082 25.393518 25.747747
6.176667 24.582842 24.995034 25.392905 25.363813 25.718360 26.051430
6.310000 24.916820 25.322384 25.722705 25.691304 26.028840 26.324500
6.430000 25.146922 25.558200 25.966307 25.928835 26.265646 26.587152
6.550000 25.430620 25.810756 26.184743 26.163850 26.500502 26.838676
6.670000 25.637692 26.035085 26.426336 26.394067 26.736198 27.084071
