depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 2.970473 3.376026 3.688383 3.695437 4.019491 4.444537
0.130000 6.184204 6.535407 6.815484 6.813023 7.096551 7.397923
0.200000 9.551559 9.943622 10.327276 10.333088 10.704807 11.147429
0.265000 9.748306 10.199377 10.529885 10.539236 10.901839 11.320491
0.295000 11.253123 11.701630 12.071025 12.047739 12.400002 12.674819
0.330000 14.275541 14.843006 15.218394 15.202266 15.566713 15.984167
0.430000 18.060316 18.664209 19.167871 19.181202 19.715908 20.395615
0.600000 21.009220 21.423116 21.772436 21.750091 22.066955 22.402747
0.830000 26.347035 26.755665 27.078636 27.056250 27.337509 27.673138
0.970000 28.952639 29.426210 29.856830 29.842100 30.247495 30.733115
1.170000 32.332034 33.115472 33.552293 33.508128 33.923783 34.313212
1.330000 35.228045 35.652936 36.009801 36.015248 36.362769 36.873035
1.530000 41.310852 41.754964 42.018991 41.993823 42.238831 42.519627
